sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,refrigerant_species_id,refrigerant_inchikey,refrigerant_formula
[emim]__[Ac]__R32__303.15__0.0294__#0,0,0,[emim],[Ac],R32,303.15,0.0294,0.0117,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[Ac]__R32__303.15__0.0928__#1,1,1,[emim],[Ac],R32,303.15,0.0928,0.0444,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[Ac]__R32__303.15__0.2102__#2,2,2,[emim],[Ac],R32,303.15,0.2102,0.1056,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[Ac]__R32__303.15__0.2507__#3,3,3,[emim],[Ac],R32,303.15,0.2507,0.1223,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[Ac]__R32__303.15__0.3221__#4,4,4,[emim],[Ac],R32,303.15,0.3221,0.1505,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[Ac]__R32__303.15__0.3539__#5,5,5,[emim],[Ac],R32,303.15,0.3539,0.1633,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[Ac]__R32__303.15__0.4248__#6,6,6,[emim],[Ac],R32,303.15,0.4248,0.1897,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[Ac]__R32__303.15__0.4277__#7,7,7,[emim],[Ac],R32,303.15,0.4277,0.1899,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[Ac]__R32__303.15__0.5246__#8,8,8,[emim],[Ac],R32,303.15,0.5246,0.2229,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCF,Table S3. VLE HFCs,REF_R32,RWRIWBAIICGTTQ-UHFFFAOYSA-N,CH2F2
[emim]__[Ac]__R134a__303.15__0.0259__#9,9,9,[emim],[Ac],R134a,303.15,0.0259,0.0111,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCC(F)(F)F,Table S3. VLE HFCs,REF_R134A,LVGUZGTVOIAKKC-UHFFFAOYSA-N,C2H2F4
[emim]__[Ac]__R134a__303.15__0.0503__#10,10,10,[emim],[Ac],R134a,303.15,0.0503,0.0266,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCC(F)(F)F,Table S3. VLE HFCs,REF_R134A,LVGUZGTVOIAKKC-UHFFFAOYSA-N,C2H2F4
[emim]__[Ac]__R134a__303.15__0.0902__#11,11,11,[emim],[Ac],R134a,303.15,0.0902,0.0455,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCC(F)(F)F,Table S3. VLE HFCs,REF_R134A,LVGUZGTVOIAKKC-UHFFFAOYSA-N,C2H2F4
[emim]__[Ac]__R134a__303.15__0.1477__#12,12,12,[emim],[Ac],R134a,303.15,0.1477,0.0857,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCC(F)(F)F,Table S3. VLE HFCs,REF_R134A,LVGUZGTVOIAKKC-UHFFFAOYSA-N,C2H2F4
[emim]__[Ac]__R134a__303.15__0.2__#13,13,13,[emim],[Ac],R134a,303.15,0.2,0.1115,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCC(F)(F)F,Table S3. VLE HFCs,REF_R134A,LVGUZGTVOIAKKC-UHFFFAOYSA-N,C2H2F4
[emim]__[Ac]__R134a__303.15__0.245__#14,14,14,[emim],[Ac],R134a,303.15,0.245,0.1407,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCC(F)(F)F,Table S3. VLE HFCs,REF_R134A,LVGUZGTVOIAKKC-UHFFFAOYSA-N,C2H2F4
[emim]__[Ac]__R134a__303.15__0.2963__#15,15,15,[emim],[Ac],R134a,303.15,0.2963,0.1662,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCC(F)(F)F,Table S3. VLE HFCs,REF_R134A,LVGUZGTVOIAKKC-UHFFFAOYSA-N,C2H2F4
[emim]__[Ac]__R134a__303.15__0.3454__#16,16,16,[emim],[Ac],R134a,303.15,0.3454,0.1986,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,FCC(F)(F)F,Table S3. VLE HFCs,REF_R134A,LVGUZGTVOIAKKC-UHFFFAOYSA-N,C2H2F4
