case_id,sample_id,total_atoms,specific_smarts_atoms,other_atoms,primary_assignment_coverage,specific_smarts_coverage,other_atom_fraction,refri_specific_coverage,cation_specific_coverage,anion_specific_coverage
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,19,19,0,100.0,100.0,0.0,100.0,100.0,100.0
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,20,20,0,100.0,100.0,0.0,100.0,100.0,100.0
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,21,21,0,100.0,100.0,0.0,100.0,100.0,100.0
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,24,24,0,100.0,100.0,0.0,100.0,100.0,100.0
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,35,31,4,100.0,88.57142857142857,11.428571428571429,100.0,100.0,80.95238095238095
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,35,31,4,100.0,88.57142857142857,11.428571428571429,100.0,100.0,80.95238095238095
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,35,31,4,100.0,88.57142857142857,11.428571428571429,100.0,100.0,80.95238095238095
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,35,31,4,100.0,88.57142857142857,11.428571428571429,100.0,100.0,80.95238095238095
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,35,31,4,100.0,88.57142857142857,11.428571428571429,100.0,100.0,80.95238095238095
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,35,31,4,100.0,88.57142857142857,11.428571428571429,100.0,100.0,80.95238095238095
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,35,31,4,100.0,88.57142857142857,11.428571428571429,100.0,100.0,80.95238095238095
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,35,31,4,100.0,88.57142857142857,11.428571428571429,100.0,100.0,80.95238095238095
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,18,18,0,100.0,100.0,0.0,100.0,100.0,100.0
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,20,20,0,100.0,100.0,0.0,100.0,100.0,100.0
Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,18,18,0,100.0,100.0,0.0,100.0,100.0,100.0
Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,20,20,0,100.0,100.0,0.0,100.0,100.0,100.0
