check_id,layer,category,status,canonical,found,location,detail
L1_M1_N_test,L1,quantitative,PASS,1403,1403.0,"CSV row «M1», col «N»",Integer: 1403 vs 1403
L1_M1_M0_MAE,L1,quantitative,PASS,0.1049,0.1049,"CSV row «M1», col «M0 MAE»","Precision 4d: round(0.1049, 4) = 0.1049 vs displayed 0.1049  (diff=0.00e+00, thr=6.00e-05)"
L1_M1_Mred_MAE,L1,quantitative,PASS,0.0666,0.0666,"CSV row «M1», col «Mred MAE»","Precision 4d: round(0.0666, 4) = 0.0666 vs displayed 0.0666  (diff=0.00e+00, thr=6.00e-05)"
L1_M1_M0_R2,L1,quantitative,PASS,-0.4158,-0.4158,"CSV row «M1», col «M0 R2»","Precision 4d: round(-0.4158, 4) = -0.4158 vs displayed -0.4158  (diff=0.00e+00, thr=6.00e-05)"
L1_M1_Mred_R2,L1,quantitative,PASS,0.3824,0.3824,"CSV row «M1», col «Mred R2»","Precision 4d: round(0.3824, 4) = 0.3824 vs displayed 0.3824  (diff=0.00e+00, thr=6.00e-05)"
L1_M1_delta_MAE_pct,L1,quantitative,PASS,-36.51096282173498,-36.5,"CSV row «M1», col «delta_MAE»","Precision 1d: round(-36.510963, 1) = -36.5 vs displayed -36.5  (diff=0.00e+00, thr=6.00e-02)"
L1_B1_N_test,L1,quantitative,PASS,513,513.0,"CSV row «B1», col «N»",Integer: 513 vs 513
L1_B1_M0_MAE,L1,quantitative,PASS,0.0304,0.0304,"CSV row «B1», col «M0 MAE»","Precision 4d: round(0.0304, 4) = 0.0304 vs displayed 0.0304  (diff=0.00e+00, thr=6.00e-05)"
L1_B1_Mred_MAE,L1,quantitative,PASS,0.0302,0.0302,"CSV row «B1», col «Mred MAE»","Precision 4d: round(0.0302, 4) = 0.0302 vs displayed 0.0302  (diff=0.00e+00, thr=6.00e-05)"
L1_B1_M0_R2,L1,quantitative,PASS,0.9265,0.9265,"CSV row «B1», col «M0 R2»","Precision 4d: round(0.9265, 4) = 0.9265 vs displayed 0.9265  (diff=0.00e+00, thr=6.00e-05)"
L1_B1_Mred_R2,L1,quantitative,PASS,0.9285,0.9285,"CSV row «B1», col «Mred R2»","Precision 4d: round(0.9285, 4) = 0.9285 vs displayed 0.9285  (diff=0.00e+00, thr=6.00e-05)"
L1_B1_Mred_mean_sigma,L1,quantitative,PASS,0.0092,0.0092,"CSV row «B1», col «Mred sigma»","Precision 4d: round(0.0092, 4) = 0.0092 vs displayed 0.0092  (diff=0.00e+00, thr=6.00e-05)"
