axis,bin,count,sigma_min,sigma_max,mean_sigma,observed_mae,observed_rmse
M1,Q1,281,0.0006197418995240086,0.015172967514119708,0.010522232736523404,0.03373289899370266,0.050174571416352405
M1,Q2,280,0.015255584427633981,0.02253486671915827,0.01872628356473408,0.059835231347076065,0.08001005338011086
M1,Q3,281,0.022573921274231183,0.030768634311812086,0.02671879829215725,0.08024609886106514,0.110586290616041
M1,Q4,280,0.030776092256295087,0.04269005160727645,0.03616149310284309,0.07973944934783503,0.11039513560717003
M1,Q5,281,0.042799785823191785,0.1387275270841709,0.0632699358412098,0.10653384383005551,0.15102373731908383
B1,Q1,103,0.0011262111819631301,0.00389779488354304,0.002845987879067344,0.00845204157917534,0.011639542938714996
B1,Q2,102,0.003938958392285812,0.005953694519796336,0.004888228203171799,0.014876859635114675,0.02274323523614757
B1,Q3,103,0.00606193261805708,0.009367680273045286,0.007592124140468274,0.028433041423740035,0.038727133182748244
B1,Q4,102,0.009409075029450684,0.014170780226197208,0.01180378019452992,0.03858208178049502,0.04995376952225591
B1,Q5,103,0.014186097490677315,0.029960182630566306,0.01898221225585034,0.05570129285593635,0.07694938906740435
B2,Q1,120,0.0,0.004889714249546,0.003396664061454391,0.014654628310236142,0.021085665726372008
B2,Q2,119,0.004894680087626381,0.0073365910460566975,0.006085803735470131,0.022323034411812773,0.03320093479963899
B2,Q3,120,0.007356426827934109,0.010618121100505116,0.008852715048431622,0.047535716762455806,0.0645344832418736
B2,Q4,119,0.010804438852007645,0.016895334251621406,0.01355229108600641,0.060327970706114245,0.07588778336363378
B2,Q5,120,0.016959445875654015,0.042695382485082096,0.023213770358291752,0.09130249430735905,0.10938774797117098
L2,Q1,75,0.002950970087852923,0.007909474152706718,0.006042515835041769,0.019684941023588174,0.03702979575406374
L2,Q2,75,0.007930192337419678,0.01189099066628282,0.009850264499632007,0.020548814949889974,0.03224918829597824
L2,Q3,74,0.011926902473458132,0.01568305463565724,0.013639983319637939,0.028664291090004755,0.04327878158239522
L2,Q4,75,0.015710783700463197,0.01877332949408642,0.01706946139276998,0.028639148503541954,0.0399110302305233
L2,Q5,75,0.01884879584171241,0.03813541391109821,0.024629620716086473,0.03793027520676455,0.051533347501205654
HFO/HCFO,Q1,222,0.0036881412255852,0.0085414903070529,0.006917761721767398,0.012985317394942858,0.038789862363722144
HFO/HCFO,Q2,221,0.0085443728425014,0.0114308921392872,0.00994493614675722,0.02051109646052932,0.043389061567013144
HFO/HCFO,Q3,221,0.011435486942784,0.015099603009759,0.013255555933607598,0.03203963350640164,0.06031170788330673
HFO/HCFO,Q4,221,0.0151019168596918,0.0195453169233117,0.017283278201630666,0.03199098391214646,0.049187797322806925
HFO/HCFO,Q5,221,0.0195592547366169,0.0433704378040512,0.024640091758095797,0.052673718360079905,0.08120497059849033
