split,partition,variable,n,mean,std,min,q05,q25,median,q75,q95,max
Random-L0,train,T_K,2465,313.3096653144016,20.13476125112909,273.13,283.15,298.15,303.8,323.2,348.1,353.15
Random-L0,val,T_K,274,313.0063795620438,19.943652392774748,273.14,283.15,298.15,303.15,323.2,348.1,353.15
Random-L0,train,P_MPa,2465,0.33650801703853955,0.3459022995508868,0.0095,0.019200000000000002,0.1,0.2399,0.4342,1.0,2.16
Random-L0,val,P_MPa,274,0.3577858102189781,0.32100868848594377,0.0094,0.0248822,0.11555,0.2504,0.5242,1.000084,1.9992
Random-L0,train,x1,2465,0.21439239756592293,0.1799838314797404,0.0,0.0139999999999999,0.0686,0.1712,0.32,0.575,0.98
Random-L0,val,x1,274,0.23523802919708028,0.18272139860907047,0.0,0.013299999999999935,0.088225,0.196,0.356925,0.614639999999999,0.823
Grouped-L0,train,T_K,2464,313.2754346590909,20.01101599173084,273.13,283.15,298.15,303.6,323.2,348.1,353.15
Grouped-L0,val,T_K,275,313.3141890909091,21.03603820195683,273.24,283.15,298.15,303.27,323.2,348.106,353.15
Grouped-L0,train,P_MPa,2464,0.33943507305194803,0.34299165699918804,0.0094,0.024811100000000003,0.1,0.245,0.4493,1.0,2.16
Grouped-L0,val,P_MPa,275,0.33148201454545456,0.3485422163109495,0.0095,0.0103,0.100075,0.2399,0.40285000000000004,0.99972,2.0007
Grouped-L0,train,x1,2464,0.21773922077922078,0.1808473383971141,0.0,0.0139999999999999,0.07196999999999999,0.17485,0.323575,0.5808499999999999,0.98
Grouped-L0,val,x1,275,0.2051746909090909,0.17558818330467524,0.0,0.011995000000000002,0.06225,0.155,0.314,0.5576000000000003,0.803
