model_source,descriptor_mode,scope,chemical_class,N,MAE,RMSE,R2,mean_sigma,pearson_r_sigma_err,spearman_rho_sigma_err
HFC_all,M0,Overall_Unsaturated_Universe,HFO+HCFO,1106,0.037424126340148134,0.06466482012377844,0.6226927782560876,0.03450474470018969,0.32061567481768805,0.3406813822337859
HFC_all,M0,Anchor_R1336mzz_Combined,HFO,23,0.20611351192256677,0.24758356631362854,-0.681875864110481,0.05146713900047926,-0.4399911665884796,-0.35375494071146246
HFC_all,M0,Anchor_R1336mzz(E),HFO,11,0.11964540539546448,0.1263861759267937,-9.066611048506315,0.07739983164492961,0.0,0.0
HFC_all,M0,Anchor_R1336mzz(Z),HFO,12,0.2853759429057439,0.3206941940252219,-3.3084913681878794,0.02769550407639978,0.0,0.0
HFC_all,M0,Species_R1233ZD(E),HCFO,90,0.029740438145067962,0.03508170596668938,-0.40740910499904004,0.01719378024277652,0.0,0.0
HFC_all,M0,Species_R1234YF,HFO,685,0.032025234255822904,0.056876249740245244,0.7240448617780828,0.0301443697767585,0.0,0.0
HFC_all,M0,Species_R1234ZE(E),HFO,308,0.039079701492499994,0.053702511418779346,0.5432657035645194,0.04799405818983542,0.0,0.0
HFC_all,M0,Species_R1336MZZ(E),HFO,11,0.11964540539546448,0.1263861759267937,-9.066611048506315,0.07739983164492961,0.0,0.0
HFC_all,M0,Species_R1336MZZ(Z),HFO,12,0.2853759429057439,0.3206941940252219,-3.3084913681878794,0.02769550407639978,0.0,0.0
HFC_all,Mreduced,Overall_Unsaturated_Universe,HFO+HCFO,1106,0.030024729644241487,0.056622881887253486,0.7107036800838138,0.014401552091403787,0.28599273050701846,0.4925930397808066
HFC_all,Mreduced,Anchor_R1336mzz_Combined,HFO,23,0.21811624546672984,0.24930177183783744,-0.705300972137842,0.01627162744262455,0.26820855764383084,0.05928853754940712
HFC_all,Mreduced,Anchor_R1336mzz(E),HFO,11,0.2884813180403276,0.29387972993995326,-53.428129041766496,0.021332434348088396,0.0,0.0
HFC_all,Mreduced,Anchor_R1336mzz(Z),HFO,12,0.15361492894093196,0.19988816389604394,-0.6738525179137937,0.011632554445949355,0.0,0.0
HFC_all,Mreduced,Species_R1233ZD(E),HCFO,90,0.019270062532358696,0.025936719056589442,0.23071188402979714,0.016491047958455768,0.0,0.0
HFC_all,Mreduced,Species_R1234YF,HFO,685,0.025007109731417943,0.04820903743126643,0.8017407311087033,0.013434737677052281,0.0,0.0
HFC_all,Mreduced,Species_R1234ZE(E),HFO,308,0.030280849178125718,0.03881193017789534,0.7614359962324063,0.01580155700282595,0.0,0.0
HFC_all,Mreduced,Species_R1336MZZ(E),HFO,11,0.2884813180403276,0.29387972993995326,-53.428129041766496,0.021332434348088396,0.0,0.0
HFC_all,Mreduced,Species_R1336MZZ(Z),HFO,12,0.15361492894093196,0.19988816389604394,-0.6738525179137937,0.011632554445949355,0.0,0.0
