model_source,descriptor_mode,scope,chemical_class,N,MAE,RMSE,R2,mean_sigma,pearson_r_sigma_err,spearman_rho_sigma_err
L2,M0,Overall_Unsaturated_Universe,HFO+HCFO,1106,0.035030327437655835,0.06424741050333108,0.6275480724255417,0.022889169875992054,0.5040731860781,0.49456604896373896
L2,M0,Anchor_R1336mzz_Combined,HFO,23,0.20832655936738717,0.2444578246136927,-0.63967658485102,0.033868664964988214,-0.32693249394389423,-0.23517786561264822
L2,M0,Anchor_R1336mzz(E),HFO,11,0.13905890222029252,0.14563915275723946,-12.367199482903287,0.05986738109674281,0.0,0.0
L2,M0,Anchor_R1336mzz(Z),HFO,12,0.2718219117522239,0.30837653571667917,-2.983874814072762,0.010036508510879817,0.0,0.0
L2,M0,Species_R1233ZD(E),HCFO,90,0.024948445682848493,0.03089678061002677,-0.09165499412682054,0.015251334909999375,0.0,0.0
L2,M0,Species_R1234YF,HFO,685,0.0279917415232219,0.05544313586398734,0.7377761726714744,0.018436026485404527,0.0,0.0
L2,M0,Species_R1234ZE(E),HFO,308,0.0406893773562795,0.05695842842509809,0.48620434434136917,0.03420501397483908,0.0,0.0
L2,M0,Species_R1336MZZ(E),HFO,11,0.13905890222029252,0.14563915275723946,-12.367199482903287,0.05986738109674281,0.0,0.0
L2,M0,Species_R1336MZZ(Z),HFO,12,0.2718219117522239,0.30837653571667917,-2.983874814072762,0.010036508510879817,0.0,0.0
L2,Mreduced,Overall_Unsaturated_Universe,HFO+HCFO,1106,0.0285991534570455,0.05308681026520975,0.7457082720340222,0.015524467515856443,0.4586263077361102,0.33013397884545487
L2,Mreduced,Anchor_R1336mzz_Combined,HFO,23,0.22056169550315197,0.24747024193928513,-0.6803365542722171,0.01982077049107034,0.165767057505927,0.22035573122529645
L2,Mreduced,Anchor_R1336mzz(E),HFO,11,0.2706958469044079,0.2755736976941487,-46.858564615416434,0.01823673947683507,0.0,0.0
L2,Mreduced,Anchor_R1336mzz(Z),HFO,12,0.17460539005200068,0.2185569116151719,-1.0011153471271599,0.021272798920786002,0.0,0.0
L2,Mreduced,Species_R1233ZD(E),HCFO,90,0.015535572739607758,0.0201945768151278,0.5336323029418873,0.018223343758100963,0.0,0.0
L2,Mreduced,Species_R1234YF,HFO,685,0.023183807916329725,0.041704061211598566,0.851634379023171,0.015575925788398571,0.0,0.0
L2,Mreduced,Species_R1234ZE(E),HFO,308,0.030125437524900225,0.03948981004697348,0.7530298182095092,0.014300562493378252,0.0,0.0
L2,Mreduced,Species_R1336MZZ(E),HFO,11,0.2706958469044079,0.2755736976941487,-46.858564615416434,0.01823673947683507,0.0,0.0
L2,Mreduced,Species_R1336MZZ(Z),HFO,12,0.17460539005200068,0.2185569116151719,-1.0011153471271599,0.021272798920786002,0.0,0.0
