axis,coverage,risk_MAE
M1,1.0,0.072
M1,0.9,0.0663
M1,0.8,0.0634
M1,0.7,0.0618
M1,0.6,0.0579
M1,0.5,0.0524
B1,1.0,0.0292
B1,0.9,0.0255
B1,0.8,0.0219
B1,0.7,0.0185
B1,0.6,0.0163
B1,0.5,0.0139
B2,1.0,0.0472
B2,0.9,0.0416
B2,0.8,0.0362
B2,0.7,0.0333
B2,0.6,0.0282
B2,0.5,0.0231
L2,1.0,0.027089294162952363
L2,0.9,0.025847262260434933
L2,0.8,0.024359263735823287
L2,0.7,0.024615701795946618
L2,0.6,0.023011011226723544
L2,0.5,0.020094825742756256
HFO/HCFO,1.0,0.030024729644241435
HFO/HCFO,0.9,0.026426145604740194
HFO/HCFO,0.8,0.024368880484693087
HFO/HCFO,0.7,0.023044896963426712
HFO/HCFO,0.6,0.021832005699350933
HFO/HCFO,0.5,0.019684967612303466
