Mode,Target,R2_mean,R2_std,MAE_mean,MAE_std
M0,loro_R32,0.533293,0.193689,0.095245,0.024959
M0,loro_R134a,0.070635,0.065327,0.152463,0.006805
M0,loro_R125,0.023972,0.368526,0.109423,0.021819
M0,loro_R23,-0.107754,1.050881,0.092816,0.044639
M0,loro_R41,0.889184,0.129672,0.040306,0.027636
M0,loro_R152a,0.471408,0.149218,0.100615,0.017787
M0,loro_R134,-0.333132,0.447456,0.208618,0.036637
M0,loro_R161,0.362459,0.26885,0.085033,0.020479
M0,loro_R143a,-0.972102,0.41486,0.115569,0.021141
M0,loro_R245fa,-2.275114,1.478105,0.076384,0.020586
M0,loro_R236fa,-2.975945,0.498551,0.117331,0.006996
M0,loro_R227ea,-0.301829,1.699061,0.060226,0.044819
Mthermo,loro_R32,0.515525,0.220041,0.105691,0.027335
Mthermo,loro_R134a,0.629736,0.031152,0.09558,0.005521
Mthermo,loro_R125,0.783524,0.022003,0.035256,0.001689
Mthermo,loro_R23,0.720698,0.066824,0.051344,0.006214
Mthermo,loro_R41,0.955352,0.012608,0.029841,0.004348
Mthermo,loro_R152a,0.905395,0.04347,0.040112,0.008648
Mthermo,loro_R134,0.379428,0.251715,0.149553,0.028823
Mthermo,loro_R161,0.792416,0.104179,0.046591,0.012306
Mthermo,loro_R143a,0.25612,0.178488,0.062519,0.007064
Mthermo,loro_R245fa,-8.715887,2.263042,0.135328,0.017172
Mthermo,loro_R236fa,0.372126,0.293852,0.04316,0.011252
Mthermo,loro_R227ea,0.656453,0.320012,0.034341,0.017182
Mreduced,loro_R32,0.517755,0.090666,0.103587,0.008215
Mreduced,loro_R134a,0.729237,0.039736,0.076937,0.00502
Mreduced,loro_R125,0.778957,0.042578,0.036895,0.009736
Mreduced,loro_R23,0.72643,0.311639,0.043404,0.021522
Mreduced,loro_R41,0.853835,0.091508,0.052823,0.020109
Mreduced,loro_R152a,0.846561,0.12618,0.056141,0.032273
Mreduced,loro_R134,0.4197,0.281475,0.141374,0.030273
Mreduced,loro_R161,0.585379,0.15822,0.068146,0.012618
Mreduced,loro_R143a,0.217184,0.285387,0.064599,0.013476
Mreduced,loro_R245fa,-3.976988,4.531697,0.085197,0.048467
Mreduced,loro_R236fa,0.659733,0.247573,0.030436,0.0121
Mreduced,loro_R227ea,0.797335,0.151848,0.026702,0.011095
Mphys,loro_R32,0.274992,0.148853,0.110222,0.013567
Mphys,loro_R134a,0.104255,0.087286,0.155551,0.00938
Mphys,loro_R125,0.641539,0.119152,0.067515,0.016733
Mphys,loro_R23,-0.296698,1.076167,0.109961,0.05417
Mphys,loro_R41,0.782931,0.076028,0.059045,0.012299
Mphys,loro_R152a,0.467971,0.126411,0.104887,0.015766
Mphys,loro_R134,-1.29977,0.261263,0.284585,0.020419
Mphys,loro_R161,0.598424,0.371831,0.061298,0.028338
Mphys,loro_R143a,-2.78742,1.599212,0.153153,0.036457
Mphys,loro_R245fa,-2.954568,1.677117,0.083481,0.022869
Mphys,loro_R236fa,-2.464655,1.034388,0.10848,0.016819
Mphys,loro_R227ea,-1.137805,1.457452,0.077518,0.03616
Mphys+Gate,loro_R32,-0.01786,0.692849,0.139134,0.054343
Mphys+Gate,loro_R134a,0.074489,0.045538,0.15366,0.004819
Mphys+Gate,loro_R125,-0.07724,0.530086,0.112279,0.034414
Mphys+Gate,loro_R23,-0.373307,0.808283,0.103182,0.035922
Mphys+Gate,loro_R41,0.713675,0.384625,0.059411,0.043182
Mphys+Gate,loro_R152a,0.277938,0.494631,0.126393,0.050559
Mphys+Gate,loro_R134,-0.298495,0.355856,0.213059,0.022399
Mphys+Gate,loro_R161,0.582213,0.127042,0.065995,0.011903
Mphys+Gate,loro_R143a,-1.16985,0.536477,0.115438,0.015141
Mphys+Gate,loro_R245fa,-3.191859,1.166801,0.088252,0.013708
Mphys+Gate,loro_R236fa,-2.581073,1.359345,0.107678,0.026935
Mphys+Gate,loro_R227ea,-0.333736,0.271977,0.069677,0.009034
