Refrigerant,GNN_M0,RF_M0,GNN_Mthermo,RF_Mthermo,GNN_Mreduced,RF_Mreduced,RF_Mstd
R32,0.095245,0.06028119581881531,0.105691,0.07083810174216028,0.103587,0.06408132473867596,0.057332550655384076
R134a,0.152463,0.12957945925925926,0.09558,0.11140143113425924,0.076937,0.08530062071759263,0.12252407777777778
R125,0.109423,0.05512568960784314,0.035256,0.04190190941176471,0.036895,0.041838736470588236,0.09282538607843138
R23,0.092816,0.15362040309278355,0.051344,0.12456554845360833,0.043404,0.04083519931271477,0.15560538487972517
R41,0.040306,0.06726555213675207,0.029841,0.02587979230769232,0.052823,0.027837910256410255,0.058958431623931634
R152a,0.100615,0.13531414285714283,0.040112,0.0400924163265306,0.056141,0.036672406122449,0.13913365510204082
R134,0.152463,0.19942051847826087,0.09558,0.13079543586956516,0.076937,0.1132823188405797,0.19628048442028984
R161,0.085033,0.04142302142857141,0.046591,0.03499378611111112,0.068146,0.03806425153061223,0.05926305714285712
R143a,0.115569,0.08371722289156625,0.062519,0.10452794457831323,0.064599,0.08332496144578314,0.07245552771084336
R245fa,0.076384,0.06112496666666667,0.135328,0.04023727757575758,0.085197,0.016004572727272733,0.06027241454545453
R236fa,0.117331,0.032839360000000005,0.04316,0.03458269575757577,0.030436,0.012554083030303047,0.030652936969696985
R227ea,0.060226,0.039250805454545436,0.034341,0.03685826424242425,0.026702,0.0257517606060606,0.030426723636363635
