model_source,descriptor_mode,scope,chemical_class,N,MAE,RMSE,R2,mean_sigma,pearson_r_sigma_err,spearman_rho_sigma_err
B1,M0,Overall_Unsaturated_Universe,HFO+HCFO,23,0.2298305346810299,0.26230812829434763,-0.8878774822865612,0.07728682471835746,0.6553695564967819,0.5088932806324111
B1,M0,Anchor_R1336mzz_Combined,HFO,23,0.2298305346810299,0.26230812829434763,-0.8878774822865612,0.07728682471835746,0.6553695564967819,0.5088932806324111
B1,M0,Anchor_R1336mzz(E),HFO,11,0.30504641496051443,0.307989592409917,-58.78004308839609,0.08722097264767129,0.0,0.0
B1,M0,Anchor_R1336mzz(Z),HFO,12,0.16088264442483585,0.2119540568402414,-0.8820298158182802,0.0681805224498198,0.0,0.0
B1,M0,Species_R1336MZZ(E),HFO,11,0.30504641496051443,0.307989592409917,-58.78004308839609,0.08722097264767129,0.0,0.0
B1,M0,Species_R1336MZZ(Z),HFO,12,0.16088264442483585,0.2119540568402414,-0.8820298158182802,0.0681805224498198,0.0,0.0
B1,Mreduced,Overall_Unsaturated_Universe,HFO+HCFO,23,0.19971538446778836,0.22779985676385883,-0.42382692953928935,0.0931036448799613,0.4425604674644276,0.3359683794466403
B1,Mreduced,Anchor_R1336mzz_Combined,HFO,23,0.19971538446778836,0.22779985676385883,-0.42382692953928935,0.0931036448799613,0.4425604674644276,0.3359683794466403
B1,Mreduced,Anchor_R1336mzz(E),HFO,11,0.22826270126212728,0.2341773159693105,-33.560004443049095,0.10757205845750438,0.0,0.0
B1,Mreduced,Anchor_R1336mzz(Z),HFO,12,0.17354701073964438,0.22179281822553507,-1.0608101807239247,0.07984093243388019,0.0,0.0
B1,Mreduced,Species_R1336MZZ(E),HFO,11,0.22826270126212728,0.2341773159693105,-33.560004443049095,0.10757205845750438,0.0,0.0
B1,Mreduced,Species_R1336MZZ(Z),HFO,12,0.17354701073964438,0.22179281822553507,-1.0608101807239247,0.07984093243388019,0.0,0.0
