il_pair,cation,anion,n_samples,n_refrigerants,cation_degree,anion_degree,is_valid_l2_candidate,refrigerants,T_min,T_max,P_min,P_max
BMIM__AC,BMIM,AC,88,3,11,2,True,"R32, R125, R1234YF",283.15,343.15,0.0099,1.0004
BMIM__BF4,BMIM,BF4,45,2,11,4,True,"R32, R125",283.0,348.2,0.0097,1.0
BMIM__FS,BMIM,FS,8,1,11,1,False,R32,298.15,298.15,0.01,1.0005
BMIM__HFPS,BMIM,HFPS,40,2,11,2,True,"R32, R134A",283.1,348.1,0.0095,1.0004
BMIM__MESO4,BMIM,MESO4,8,1,11,2,True,R32,298.15,298.25,0.0099,1.0006
BMIM__OTF,BMIM,OTF,50,2,11,3,True,"R32, R152A",273.13,348.24,0.056,0.902
BMIM__PF6,BMIM,PF6,396,11,11,4,True,"R41, R32, R23, R161, R152A, R143A, R134, R134A, R125, R1234YF, R1234ZE(E)",282.6,348.3,0.0095,2.0002
BMIM__SCN,BMIM,SCN,22,2,11,2,True,"R32, R125",298.15,298.15,0.0095,1.0
BMIM__TFES,BMIM,TFES,8,1,11,5,True,R32,298.15,298.15,0.0097,0.9989
BMIM__TPES,BMIM,TPES,40,2,11,2,True,"R32, R134A",283.05,348.1,0.0095,0.9994
BMIM__TTES,BMIM,TTES,40,2,11,1,False,"R32, R134A",282.1,348.15,0.0095,0.9992
BMPY__TF2N,BMPY,TF2N,8,1,1,8,False,R32,298.15,298.15,0.0096,1.0
C7MIM__TFES,C7MIM,TFES,8,1,1,5,False,R32,298.15,298.15,0.0099,0.998
C8H4F13C1IM__BEI,C8H4F13C1IM,BEI,18,1,2,3,True,R134A,303.0,343.0,0.024823,0.34985
C8H4F13C1IM__TF2N,C8H4F13C1IM,TF2N,18,1,2,8,True,R134A,303.0,343.0,0.024809,0.34931
DMIM__TFES,DMIM,TFES,8,1,1,5,False,R32,298.15,298.15,0.0096,1.001
DMPIM__TF2N,DMPIM,TF2N,8,1,2,8,True,R32,298.05,298.15,0.0099,1.0011
DMPIM__TMEM,DMPIM,TMEM,62,2,2,1,False,"R32, R134",283.03,348.15,0.0094,1.0005
DOIM__I,DOIM,I,8,1,1,2,False,R32,297.9,298.0,0.01002,1.00024
EMIM__AC,EMIM,AC,79,4,10,2,True,"R32, R134A, R125, R1234YF",283.15,343.15,0.0259,0.568
EMIM__BEI,EMIM,BEI,94,3,10,3,True,"R32, R134, R134A",283.1,348.164,0.0096,1.0005
EMIM__BF4,EMIM,BF4,196,5,10,4,True,"R32, R134A, R125, R1234YF, R1234ZE(E)",283.15,353.15,0.0369,0.8753
EMIM__OTF,EMIM,OTF,139,5,10,3,True,"R32, R152A, R134A, R125, R1234YF",273.14,348.17,0.0245,0.857
EMIM__PF6,EMIM,PF6,17,1,10,4,True,R23,332.9,348.0,0.00965,1.9999
EMIM__PFBS,EMIM,PFBS,33,3,10,2,True,"R32, R134A, R125",303.15,303.15,0.0155,0.6084
EMIM__PFP,EMIM,PFP,26,3,10,1,False,"R32, R134A, R125",303.15,303.15,0.0245,0.6173
EMIM__SCN,EMIM,SCN,62,3,10,2,True,"R32, R134A, R1234YF",283.15,313.15,0.0578,0.7396
EMIM__TF2N,EMIM,TF2N,348,8,10,8,True,"R41, R32, R23, R152A, R134, R134A, R125, R1234YF",282.7,348.2,0.0096,2.16
EMIM__TFES,EMIM,TFES,8,1,10,5,True,R32,298.05,298.15,0.0099,1.0016
EMPY__PFBS,EMPY,PFBS,30,3,1,2,False,"R32, R134A, R125",303.15,303.15,0.0259,0.5246
HMIM__BF4,HMIM,BF4,280,12,6,4,True,"R32, R161, R152A, R143A, R134A, R125, R245FA, R236FA, R227EA, R1234YF, R1234ZE(E), R1233ZD(E)",283.15,353.23,0.007,1.97
HMIM__CL,HMIM,CL,14,2,6,2,True,"R32, R125",298.15,298.15,0.05,1.0
HMIM__FEP,HMIM,FEP,153,5,6,1,False,"R32, R161, R152A, R134, R125",283.07,348.14,0.01,1.0
HMIM__OTF,HMIM,OTF,90,7,6,3,True,"R32, R161, R152A, R143A, R125, R1234YF, R1233ZD(E)",303.02,353.27,0.009,0.752
HMIM__PF6,HMIM,PF6,142,3,6,4,True,"R134A, R1234YF, R1234ZE(E)",283.15,353.27,0.0506,2.057
HMIM__TF2N,HMIM,TF2N,416,12,6,8,True,"R32, R161, R152A, R143A, R134A, R125, R245FA, R236FA, R227EA, R1234YF, R1234ZE(E), R1233ZD(E)",292.29,353.23,0.009,2.075
M-2-HEA__PE,M-2-HEA,PE,15,3,2,1,False,"R41, R32, R23",288.15,308.36,0.10023,0.1065
M-2-HEA__PR,M-2-HEA,PR,15,3,2,1,False,"R41, R32, R23",288.15,308.23,0.09993,0.10571
OMIM__BEI,OMIM,BEI,18,1,6,3,True,R134A,303.0,343.0,0.024837,0.349476
OMIM__BF4,OMIM,BF4,98,2,6,4,True,"R1234YF, R1234ZE(E)",283.15,343.15,0.045,0.4379
OMIM__I,OMIM,I,8,1,6,2,True,R32,298.0,298.2,0.01007,1.00022
OMIM__PF6,OMIM,PF6,91,2,6,4,True,"R1234YF, R1234ZE(E)",283.15,343.15,0.0538,0.4377
OMIM__TF2N,OMIM,TF2N,18,1,6,8,True,R134A,303.0,343.0,0.024837,0.349628
OMIM__TFES,OMIM,TFES,37,1,6,5,True,R23,298.1,323.2,0.0501,2.0007
P44414__HFPS,P44414,HFPS,32,1,1,2,False,R134A,283.05,348.1,0.0099,0.3504
P4441__MESO4,P4441,MESO4,15,3,1,2,False,"R41, R32, R23",288.15,308.45,0.09953,0.10633
P4442__ET2PO4,P4442,ET2PO4,15,3,1,1,False,"R41, R32, R23",288.15,308.27,0.09908,0.10363
P66614__CL,P66614,CL,81,4,4,2,True,"R41, R32, R23, R1234YF",283.15,343.15,0.064,0.825
P66614__TF2N,P66614,TF2N,15,3,4,8,True,"R41, R32, R23",288.15,308.39,0.09704,0.10686
P66614__TMPP,P66614,TMPP,260,9,4,1,False,"R32, R161, R152A, R143A, R134A, R125, R245FA, R236FA, R227EA",292.5,343.8,0.0109,1.136
P66614__TPES,P66614,TPES,32,1,4,2,True,R134A,282.8,348.1,0.0098,0.3505
PMPY__TF2N,PMPY,TF2N,62,2,1,8,False,"R32, R134",283.0,348.14,0.0095,1.0004
