Refrigerant,N,n_IL_systems,MAE_seed_mean,MAE_ensemble,R2_seed_mean,R2_ensemble,Var_y,SS_tot,Mean_Bias,P_min,P_max,P_range,T_min,T_max,D_FP,D_thermo,D_phys,corr_residual_P,pval_residual_P
R32,287,11,0.1123313060666366,0.111661249009133,0.4349109804828046,0.4669377739690641,0.03381666160336534,9.705381880165852,0.11071154136626044,0.0095,1.2208,1.2113,283.0,348.2,0.5714285714285714,1.493252017429361,0.4299295341437238,0.35900614536852915,3.715982673472801e-10
R134A,288,8,0.0832678030772108,0.0821671038895147,0.6922810085883955,0.7002600347440056,0.04921016110148652,14.172526397228118,-0.07000608506269701,0.0097,2.16,2.1503,282.7,348.2,0.5454545454545454,0.8566240411400958,0.6015221077273478,-0.6895663332936807,5.70892515907523e-42
R125,170,8,0.0386970980642089,0.03039744882310248,0.7887290645858629,0.8411695180602242,0.02023432833833131,3.4398358175163226,-0.0010349085985902025,0.0098,1.0592,1.0493999999999999,283.1,353.15,0.4545454545454546,0.8172316196174106,0.9093746226883844,0.02910757824723106,0.7063250650207775
R23,97,3,0.0374473183411029,0.030533559070228002,0.8426020500071454,0.8973614529059813,0.017280161810061128,1.6761756955759293,0.0026689347446195244,0.0096,2.0002,1.9906,282.6,348.1,0.5,1.6954233983371043,0.562419536849299,0.1843973964220107,0.07059109736524011
R41,39,2,0.0345022487573516,0.028951301442411464,0.931644669882634,0.9628892461607917,0.02732417625085784,1.0656428737834558,0.01821721864577669,0.0097,1.9995,1.9898,283.09,348.18,0.7142857142857143,1.6954233983371043,0.4299295341437238,-0.6930242295985186,1.0104273710119361e-06
R152A,98,4,0.054004653509022,0.045637610718151755,0.8593896488958727,0.9234134392885768,0.03869985469353578,3.792585759966507,0.03595152239942429,0.0097,0.55,0.5403,283.1,348.2,0.5714285714285714,0.7006227415591243,0.4010538330079503,-0.40977690565366576,2.7885686986639743e-05
R134,92,3,0.156355717966495,0.15466223186408373,0.299829505368102,0.34664199894293246,0.0592018562154334,5.446570771819872,-0.14681649089223986,0.0099,0.3505,0.34059999999999996,282.9,348.16,0.5,0.7006227415591243,2.69671155479999,-0.6958957491880003,1.365053061041008e-14
R161,84,3,0.0624532760242887,0.059598634051646865,0.6483279100403818,0.6850259318049041,0.01777926730492302,1.4934584536135336,-0.049370471772826496,0.0099,0.7005,0.6906,283.06,348.16,0.5714285714285714,1.2638150122542662,0.7667319324363066,-0.7477370761250467,3.0442680082111997e-16
R143A,83,3,0.0714297581741766,0.06954748823324286,-0.0133548489937839,0.0368823850343597,0.010245190915807117,0.8503508460119907,0.06860686510335655,0.0095,1.545,1.5354999999999999,284.9,348.2,0.7142857142857143,0.8172316196174106,0.4010538330079503,0.5669785531818954,2.2963766356429146e-08
R245FA,55,2,0.0628288019109856,0.058452202528715136,-1.683534758198715,-1.3035563380222817,0.0023665454356524705,0.13015999896088587,0.05779368662021379,0.011,0.144,0.13299999999999998,303.15,343.15,0.6666666666666667,0.9768609913223318,0.6195165189687075,-0.7354899439131625,1.5999684448167958e-10
R236FA,55,2,0.0440806539695371,0.023198742128231312,0.2861271443828997,0.7880618068103036,0.004500879611758078,0.24754837864669432,-0.01697569872167977,0.03,0.315,0.28500000000000003,303.15,343.15,0.5454545454545454,0.8204072675271212,1.1170025332805609,-0.6324752454230917,2.2186451086425954e-07
R227EA,55,2,0.0420904622701081,0.03826822753656995,0.5020595988566737,0.6771671576691813,0.004927749777775861,0.2710262377776723,0.03826822753656995,0.058,0.485,0.427,303.15,343.15,0.4545454545454546,0.8204072675271212,0.6195165189687075,0.10562770562770565,0.4427759522010799
