Refrigerant,MAE_M0,MAE_Mreduced,Delta_MAE (M0 - Mred),R2_M0,R2_Mreduced,Win
R32,0.095245,0.103587,-0.008342000000000002,0.533293,0.517755,NO (退化)
R134a,0.152463,0.076937,0.07552599999999998,0.070635,0.729237,YES (改善)
R125,0.109423,0.036895,0.07252800000000001,0.023972,0.778957,YES (改善)
R23,0.092816,0.043404,0.049412,-0.107754,0.72643,YES (改善)
R41,0.040306,0.052823,-0.012517,0.889184,0.853835,NO (退化)
R152a,0.100615,0.056141,0.04447399999999999,0.471408,0.846561,YES (改善)
R134,0.208618,0.141374,0.067244,-0.333132,0.4197,YES (改善)
R161,0.085033,0.068146,0.016887,0.362459,0.585379,YES (改善)
R143a,0.115569,0.064599,0.05097,-0.972102,0.217184,YES (改善)
R245fa,0.076384,0.085197,-0.008813000000000001,-2.275114,-3.976988,NO (退化)
R236fa,0.117331,0.030436,0.086895,-2.975945,0.659733,YES (改善)
R227ea,0.060226,0.026702,0.033524,-0.301829,0.797335,YES (改善)
