Refrigerant,D_FP (Chemical),D_xTB (Physical),D_thermo (Thermodynamic),MAE_M0,MAE_Mphys,MAE_Mthermo,MAE_Mreduced
R125,0.4545454545454546,0.9093746226883844,0.8172316196174106,0.109423,0.067515,0.035256,0.036895
R134,0.5,2.69671155479999,0.7006227415591243,0.208618,0.284585,0.149553,0.141374
R134a,0.5454545454545454,0.6015221077273478,0.8566240411400958,0.152463,0.155551,0.09558,0.076937
R143a,0.7142857142857143,0.40105383300795033,0.8172316196174106,0.115569,0.153153,0.062519,0.064599
R152a,0.5714285714285714,0.40105383300795033,0.7006227415591243,0.100615,0.104887,0.040112,0.056141
R161,0.5714285714285714,0.7667319324363066,1.2638150122542662,0.085033,0.061298,0.046591,0.068146
R227ea,0.4545454545454546,0.6195165189687075,0.8204072675271212,0.060226,0.077518,0.034341,0.026702
R23,0.5,0.562419536849299,1.6954233983371045,0.092816,0.109961,0.051344,0.043404
R236fa,0.5454545454545454,1.1170025332805609,0.8204072675271212,0.117331,0.10848,0.04316,0.030436
R245fa,0.6666666666666667,0.6195165189687075,0.9768609913223318,0.076384,0.083481,0.135328,0.085197
R32,0.5714285714285714,0.42992953414372387,1.493252017429361,0.095245,0.110222,0.105691,0.103587
R41,0.7142857142857143,0.42992953414372387,1.6954233983371045,0.040306,0.059045,0.029841,0.052823
