Distance Metric,Model,Spearman_rho,Spearman_p,Pearson_r,Pearson_p
D_FP (Chemical),M0,-0.25534483755168313,0.42313358554063674,-0.32156682616503196,0.3080871617219515
D_FP (Chemical),Mphys,-0.10639368231320129,0.7420834812968672,-0.1344124726222066,0.6770590135227255
D_FP (Chemical),Mthermo,0.12412596269873484,0.7007225797719843,0.07972725309154548,0.8054496043513502
D_FP (Chemical),Mreduced,0.37947080025041796,0.22375572970680283,0.14058372327975605,0.6629884411825349
D_xTB (Physical),M0,0.2811989875378381,0.37594646246525343,0.7632930682550155,0.0038710212839734364
D_xTB (Physical),Mphys,-0.03866486078645274,0.9050376047951211,0.7626755305104196,0.003917351817969187
D_xTB (Physical),Mthermo,0.1335695190804731,0.6789884575548799,0.5123227884846967,0.08857206423886238
D_xTB (Physical),Mreduced,-0.04920982281912167,0.8792878666162605,0.5641302492891673,0.056057347021945016
D_thermo (Thermodynamic),M0,-0.612691249227479,0.03416813855342594,-0.5283822985371434,0.07739413049498217
D_thermo (Thermodynamic),Mphys,-0.32043048091781945,0.30989726294146086,-0.3928516438819667,0.20649504926488843
D_thermo (Thermodynamic),Mthermo,-0.06338185336835989,0.8448536815870231,-0.17255932306212904,0.5917567165199126
D_thermo (Thermodynamic),Mreduced,0.0,1.0,-0.05856736359457378,0.8565265305211318
