Refrigerant,RF_thermo_only (3维),"RF_mol_only (FP+T,P)",RF_full (FP+Mred)
R32,0.10839420756042256,0.04498139210220675,0.06408132473867596
R134a,0.10361682753527338,0.10604723425925926,0.08530062071759263
R125,0.10319867803921567,0.05606005333333334,0.04183873647058824
R23,0.04637677938144332,0.11972925567010316,0.04083519931271478
R41,0.0562181083028083,0.03711450854700857,0.02783791025641026
R152a,0.045774640674971244,0.14836951836734696,0.03667240612244901
R134,0.15406567192028986,0.20860213876811595,0.11328231884057974
R161,0.07086797191043084,0.05072078690476187,0.03806425153061223
R143a,0.1287503833046472,0.08175026144578311,0.08332496144578312
R245fa,0.024735963030303027,0.06253862363636364,0.01600457272727272
R236fa,0.03928490977961433,0.031452701212121216,0.012554083030303044
R227ea,0.06924678666666664,0.03998069090909091,0.025751760606060593
