Target,Mode,Train_Fraction,N_train,MAE_mean,MAE_std
R245fa,M0,25%,337,0.0558781202020202,0.004778235827086813
R245fa,M0,50%,674,0.05877970202020202,0.005228552079946697
R245fa,M0,75%,1011,0.05979760303030302,0.00240274735063205
R245fa,M0,100%,1348,0.059634970101010105,0.00037202685349009405
R245fa,Mreduced,25%,337,0.06908101590187594,0.006562429849955569
R245fa,Mreduced,50%,674,0.04813438303030301,0.007977010495845222
R245fa,Mreduced,75%,1011,0.019167580606060605,0.004177912721910178
R245fa,Mreduced,100%,1348,0.01454024767676767,0.000542307908659938
R134,M0,25%,327,0.1872332658816425,0.011519925676924458
R134,M0,50%,655,0.19650168093512765,0.006344942164094907
R134,M0,75%,983,0.19830555871290545,0.003929719608976662
R134,M0,100%,1311,0.20128315406602257,0.004362120332179505
R134,Mreduced,25%,327,0.12943412493098685,0.0034755357570834906
R134,Mreduced,50%,655,0.12206047579365076,0.0010014946020124715
R134,Mreduced,75%,983,0.1145900802536232,0.0016474098139758742
R134,Mreduced,100%,1311,0.11233445194386932,0.0005007909850934409
R134a,M0,25%,278,0.11464881597222222,0.005757762337970093
R134a,M0,50%,557,0.12108739494598765,0.0038289728280620616
R134a,M0,75%,836,0.12886320628858025,0.0023718169350656
R134a,M0,100%,1115,0.13001967681327162,0.00036512888910540366
R134a,Mreduced,25%,278,0.0923582545138889,0.0035557420048712746
R134a,Mreduced,50%,557,0.08627652619598768,0.002091596724845137
R134a,Mreduced,75%,836,0.08581711070601851,0.0021443505211848762
R134a,Mreduced,100%,1115,0.08566515330687834,0.0012895760149978883
