sample_id,anion,refrigerant,ig_pr_omega_sum,perturbation_delta_y
[emim]__[BF4]__R32__283.15__0.0379,BF4,R32,0.15596297,0.10153668969869614
[emim]__[BF4]__R32__293.15__0.0369,BF4,R32,0.14003563,0.07965838052332402
[emim]__[BF4]__R32__303.15__0.45,BF4,R32,0.019475894,0.009834632277488708
[emim]__[BF4]__R32__313.15__0.8307,BF4,R32,0.07454666,0.0782528817653656
[emim]__[BF4]__R134a__283.15__0.2517,BF4,R134A,0.027066711,0.02877795696258545
[emim]__[BF4]__R134a__283.15__0.3956,BF4,R134A,0.06652064,0.050135356187820446
[emim]__[BF4]__R134a__303.15__0.2685,BF4,R134A,0.01040948,0.011149936914443978
[emim]__[BF4]__R134a__313.15__0.4496,BF4,R134A,0.053359397,0.037646740674972534
[emim]__[BF4]__R125__313.15__0.538,BF4,R125,0.055874266,0.07093937397003172
[emim]__[BF4]__R125__333.15__0.586,BF4,R125,0.04027831,0.051309336721897136
[emim]__[BF4]__R125__353.15__0.536,BF4,R125,0.030700557,0.030763516575098043
[emim]__[PF6]__R23__332.9__0.04997,PF6,R23,0.091193326,0.0416946180164814
[emim]__[PF6]__R23__347.9__0.40035,PF6,R23,0.038834155,0.0030942827463150066
[bmim]__[BF4]__R32__283.2__0.3995,BF4,R32,0.0126267215,0.0006746083498000988
[bmim]__[BF4]__R32__298.2__0.6996,BF4,R32,0.06692668,0.07065652310848236
[bmim]__[BF4]__R32__323.1__0.6995,BF4,R32,0.04658953,0.046816468238830566
[bmim]__[BF4]__R32__348.1__0.8496,BF4,R32,0.047277436,0.05699252486228945
[bmim]__[BF4]__R125__298.15__0.05,BF4,R125,0.099563554,0.05813872963190078
[bmim]__[PF6]__R41__283.12__1.2994,PF6,R41,0.15745164,0.11033692955970759
[bmim]__[PF6]__R41__323.16__0.0999,PF6,R41,0.1675308,0.04227555319666862
[bmim]__[PF6]__R41__348.15__0.9997,PF6,R41,0.1024095,0.056789827346801755
[bmim]__[PF6]__R32__298.1__0.0097,PF6,R32,0.15870208,0.09342979751527308
[bmim]__[PF6]__R32__323.1__0.5497,PF6,R32,0.032315426,0.024839755892753584
[bmim]__[PF6]__R32__298.15__0.05,PF6,R32,0.1485002,0.08976354077458382
[bmim]__[PF6]__R23__282.7__1.2997,PF6,R23,0.1368419,0.08132433891296387
[bmim]__[PF6]__R23__323.1__0.0498,PF6,R23,0.101451166,0.04442622736096383
[bmim]__[PF6]__R23__348.1__0.3997,PF6,R23,0.041566305,0.0048383854329586
[bmim]__[PF6]__R161__297.98__0.01,PF6,R161,0.19842282,0.09421975910663605
