sample_id,split,mode,anion,refrigerant,abs_error,cosine_stability_5seeds,spearman_stability_5seeds
[emim]__[BF4]__R32__283.15__0.0379,B2,M0,BF4,R32,0.003530316427350043,0.9930444955825806,0.9733333333333333
[emim]__[BF4]__R32__293.15__0.0369,B2,M0,BF4,R32,0.0010370716452598565,0.9900706470012665,0.9799999999999999
[emim]__[BF4]__R32__303.15__0.45,B2,M0,BF4,R32,0.008196055889129639,0.9673339307308197,0.9649999999999999
[emim]__[BF4]__R32__313.15__0.8307,B2,M0,BF4,R32,0.07137269973754884,0.9607977926731109,0.9366666666666665
[emim]__[BF4]__R134a__283.15__0.2517,B2,M0,BF4,R134A,0.020984780788421642,0.9892436802387238,0.9566666666666667
[emim]__[BF4]__R134a__283.15__0.3956,B2,M0,BF4,R134A,0.061440664529800404,0.9893539190292359,0.9733333333333333
[emim]__[BF4]__R134a__303.15__0.2685,B2,M0,BF4,R134A,0.02044696062803268,0.9876077234745025,0.9583333333333333
[emim]__[BF4]__R134a__313.15__0.4496,B2,M0,BF4,R134A,0.05638003200292588,0.9884295284748077,0.9616666666666667
[emim]__[BF4]__R125__313.15__0.538,B2,M0,BF4,R125,0.14727749228477477,0.9851519584655761,0.9533333333333331
[emim]__[BF4]__R125__333.15__0.586,B2,M0,BF4,R125,0.10416109338402749,0.9872481048107147,0.9766666666666666
[emim]__[BF4]__R125__353.15__0.536,B2,M0,BF4,R125,0.06912104338407517,0.9863483548164368,0.9783333333333333
[emim]__[PF6]__R23__332.9__0.04997,B2,M0,PF6,R23,0.003422473464161158,0.9855380833148957,0.96
[emim]__[PF6]__R23__347.9__0.40035,B2,M0,PF6,R23,0.01850547417998314,0.9854732155799866,0.9400000000000001
[bmim]__[BF4]__R32__283.2__0.3995,B2,M0,BF4,R32,0.11520219147205352,0.9806617259979248,0.9649999999999999
[bmim]__[BF4]__R32__298.2__0.6996,B2,M0,BF4,R32,0.09921320676803591,0.9702940940856933,0.9333333333333332
[bmim]__[BF4]__R32__323.1__0.6995,B2,M0,BF4,R32,0.01746429204940797,0.9466531038284302,0.9366666666666668
[bmim]__[BF4]__R32__348.1__0.8496,B2,M0,BF4,R32,0.02764114737510681,0.9325982868671417,0.9299999999999999
[bmim]__[BF4]__R125__298.15__0.05,B2,M0,BF4,R125,0.02970810476690531,0.9845255732536315,0.9799999999999999
[bmim]__[PF6]__R41__283.12__1.2994,B2,M0,PF6,R41,0.026197898387908924,0.9676385641098022,0.89
[bmim]__[PF6]__R41__323.16__0.0999,B2,M0,PF6,R41,0.007229989767074584,0.9794106543064117,0.9766666666666666
[bmim]__[PF6]__R41__348.15__0.9997,B2,M0,PF6,R41,0.05805180370807647,0.845536881685257,0.9366666666666665
[bmim]__[PF6]__R32__298.1__0.0097,B2,M0,PF6,R32,0.0038362137973308556,0.9929798722267151,0.9933333333333334
[bmim]__[PF6]__R32__323.1__0.5497,B2,M0,PF6,R32,0.01687377691268921,0.9119247674942017,0.9499999999999998
[bmim]__[PF6]__R32__298.15__0.05,B2,M0,PF6,R32,0.007528043910861017,0.9902268469333648,0.9933333333333334
[bmim]__[PF6]__R23__282.7__1.2997,B2,M0,PF6,R23,0.04422364234924314,0.9838664174079895,0.9799999999999999
[bmim]__[PF6]__R23__323.1__0.0498,B2,M0,PF6,R23,0.004610913898795843,0.9843391537666321,0.95
[bmim]__[PF6]__R23__348.1__0.3997,B2,M0,PF6,R23,0.014287933707237244,0.9855540335178375,0.9400000000000001
[bmim]__[PF6]__R161__297.98__0.01,B2,M0,PF6,R161,0.00965040046721697,0.9941766798496247,0.9933333333333334
[bmim]__[PF6]__R161__323.13__0.3996,B2,M0,PF6,R161,0.004333868622779846,0.9799347996711731,0.9899999999999999
[bmim]__[PF6]__R152a__283.2__0.0097,B2,M0,PF6,R152A,0.03430041037499905,0.9961613953113556,0.9333333333333332
[bmim]__[PF6]__R152a__298.2__0.3482,B2,M0,PF6,R152A,0.06912140250205995,0.9869375348091125,0.9483333333333333
[bmim]__[PF6]__R152a__348.1__0.1002,B2,M0,PF6,R152A,0.01901524290442467,0.9894131422042847,0.9499999999999998
[bmim]__[PF6]__R143a__285.4__0.6998,B2,M0,PF6,R143A,0.10767631530761718,0.9675303399562836,0.9433333333333331
[bmim]__[PF6]__R143a__323.1__0.1002,B2,M0,PF6,R143A,0.015418823808431625,0.9711564421653748,0.9383333333333332
[bmim]__[PF6]__R143a__348.1__0.4002,B2,M0,PF6,R143A,0.020465395599603656,0.976464694738388,0.97
[bmim]__[PF6]__R134__298.08__0.0504,B2,M0,PF6,R134,0.002810248732566828,0.9952473342418671,0.9749999999999999
[bmim]__[PF6]__R134__323.13__0.2004,B2,M0,PF6,R134,0.014776307344436634,0.9825815975666046,0.9266666666666667
[bmim]__[PF6]__R134a__283__0.01,B2,M0,PF6,R134A,0.03747744457796216,0.9914886713027954,0.9633333333333333
[bmim]__[PF6]__R134a__298.2__0.1993,B2,M0,PF6,R134A,0.02017381489276887,0.9833068430423737,0.9800000000000001
[bmim]__[PF6]__R134a__348.2__0.0097,B2,M0,PF6,R134A,0.01118287555873394,0.9920702695846557,0.945
[bmim]__[PF6]__R125__283.3__0.3996,B2,M0,PF6,R125,0.22825307846069337,0.9863690793514251,0.9749999999999999
[bmim]__[PF6]__R125__298.2__0.5995,B2,M0,PF6,R125,0.2125560760498047,0.9866890728473663,0.9649999999999999
[bmim]__[PF6]__R125__348.2__0.0102,B2,M0,PF6,R125,0.011407779809087516,0.9847283124923706,0.9799999999999999
[bmim]__[PF6]__R125__298.15__0.4,B2,M0,PF6,R125,0.17393983155488968,0.9867189168930054,0.9833333333333334
[hmim]__[BF4]__R32__323.2__0.0539,B2,M0,BF4,R32,0.0027324017137289047,0.9878624618053437,0.9833333333333332
[hmim]__[BF4]__R152a__303.2__0.0326,B2,M0,BF4,R152A,0.01100343242287636,0.9928990364074707,0.9233333333333332
[hmim]__[BF4]__R143a__343.2__0.1569,B2,M0,BF4,R143A,0.020209760777652262,0.9781540870666504,0.9516666666666665
[hmim]__[BF4]__R134a__323__0.53,B2,M0,BF4,R134A,0.05817379355430602,0.9878771245479584,0.9633333333333333
[hmim]__[BF4]__R125__303.2__0.0954,B2,M0,BF4,R125,0.0316969744861126,0.984592205286026,0.9633333333333333
[hmim]__[BF4]__R245fa__303.15__0.04,B2,M0,BF4,R245FA,0.02087931782007217,0.9822222650051117,0.9466666666666667
[hmim]__[BF4]__R245fa__323.15__0.048,B2,M0,BF4,R245FA,0.002025467157363889,0.9817901968955993,0.9783333333333333
[hmim]__[BF4]__R245fa__343.15__0.05,B2,M0,BF4,R245FA,0.01909971088171005,0.9809978306293488,0.97
[hmim]__[BF4]__R236fa__313.15__0.05,B2,M0,BF4,R236FA,0.061674244701862335,0.9860601365566254,0.9400000000000001
[hmim]__[BF4]__R236fa__323.15__0.154,B2,M0,BF4,R236FA,0.04224465489387513,0.9922954797744751,0.95
[hmim]__[BF4]__R236fa__343.15__0.177,B2,M0,BF4,R236FA,0.05713498592376709,0.9883128702640533,0.9266666666666665
