case_id,sample_id,split_axis,split_role,model_dir,mode,seed,refrigerant,cation,anion,T_K,P_MPa,x1,pair_match_id,selection_reason,data_source_idx,is_hfo,cation_smiles,anion_smiles,refri_smiles
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1234yf,EMIM,AC,313.15,0.311,0.019,None,Representative HFO zero-shot point in [EMIM][AC],2763,True,C(C)[N+]1=CN(C=C1)C,CC(=O)[O-],C=C(F)C(F)(F)F
Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1234yf,EMIM,BF4,313.15,0.3919,0.02,None,Representative HFO zero-shot point in [EMIM][BF4],2815,True,C(C)[N+]1=CN(C=C1)C,F[B-](F)(F)F,C=C(F)C(F)(F)F
Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1234yf,BMIM,AC,313.15,0.561,0.071,None,Representative HFO zero-shot point in [BMIM][AC],3017,True,C(CCC)[N+]1=CN(C=C1)C,CC(=O)[O-],C=C(F)C(F)(F)F
Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,HFO/HCFO zero-shot,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R1234yf,BMIM,PF6,313.15,0.23,0.0342,None,Representative HFO zero-shot point in [BMIM][PF6],3074,True,C(CCC)[N+]1=CN(C=C1)C,F[P-](F)(F)(F)(F)F,C=C(F)C(F)(F)F
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,M1 LORO,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R134,[emim],[BEI],283.149,0.01,0.039,Pair_C2_01_[emim][BEI],Matched isomer pair Pair_C2_01_[emim][BEI] (R134 arm),61,False,C(C)[N+]1=CN(C=C1)C,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,FC(F)C(F)F
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,M1 LORO,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R134a,[emim],[BEI],283.1,0.0103,0.03,Pair_C2_01_[emim][BEI],Matched isomer pair Pair_C2_01_[emim][BEI] (R134a arm),92,False,C(C)[N+]1=CN(C=C1)C,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C(F)(F)F)F
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,M1 LORO,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R134,[emim],[BEI],283.123,0.05,0.236,Pair_C2_02_[emim][BEI],Matched isomer pair Pair_C2_02_[emim][BEI] (R134 arm),62,False,C(C)[N+]1=CN(C=C1)C,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,FC(F)C(F)F
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,M1 LORO,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R134a,[emim],[BEI],283.15,0.0504,0.1369999999999999,Pair_C2_02_[emim][BEI],Matched isomer pair Pair_C2_02_[emim][BEI] (R134a arm),93,False,C(C)[N+]1=CN(C=C1)C,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C(F)(F)F)F
Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,M1 LORO,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R134,[emim],[BEI],283.13199999999995,0.1,0.43,Pair_C2_03_[emim][BEI],Matched isomer pair Pair_C2_03_[emim][BEI] (R134 arm),63,False,C(C)[N+]1=CN(C=C1)C,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,FC(F)C(F)F
Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,M1 LORO,test,results_hfc_all/HFC_all_M0,M0,"42,43,44,45,46",R134a,[emim],[BEI],283.1,0.1003,0.258,Pair_C2_03_[emim][BEI],Matched isomer pair Pair_C2_03_[emim][BEI] (R134a arm),94,False,C(C)[N+]1=CN(C=C1)C,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C(F)(F)F)F
