case_id,sample_id,seed,atom_idx,local_atom_idx,component,atom_symbol,primary_group_id,overlapping_group_ids,a_i_signed,a_i_abs
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,4,4,Cation,N,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,5,5,Cation,C,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt;Aromatic_C,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,6,6,Cation,C,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt;Aromatic_C,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,2,2,Cation,N,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,3,3,Cation,C,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt;Aromatic_C,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,0,0,Cation,C,Alkyl_Chain,Alkyl_Chain,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,1,1,Cation,C,Alkyl_Chain,Alkyl_Chain,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,7,7,Cation,C,Alkyl_Chain,Alkyl_Chain,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,9,1,Anion,C,Carboxylate_COO,Carboxylate_COO,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,10,2,Anion,O,Carboxylate_COO,Carboxylate_COO,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,11,3,Anion,O,Carboxylate_COO,Carboxylate_COO,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,8,0,Anion,C,Alkyl_Chain,Alkyl_Chain,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,15,3,Refri,C,CF3,CF3;Alkyl_Chain,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,16,4,Refri,F,CF3,CF3,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,17,5,Refri,F,CF3,CF3,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,18,6,Refri,F,CF3,CF3,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,13,1,Refri,C,Halogenated_Alkene,Halogenated_Alkene;Alkene_C=C,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,14,2,Refri,F,Halogenated_Alkene,Halogenated_Alkene,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,12,0,Refri,C,Halogenated_Alkene,Halogenated_Alkene;Alkene_C=C,0.0,0.0
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,4,4,Cation,N,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt,-3.229670350601843e-11,6.585310768913999e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,5,5,Cation,C,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt;Aromatic_C,-2.8670116627993458e-11,6.357470105911034e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,6,6,Cation,C,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt;Aromatic_C,-2.8113868871804115e-11,6.234156940676527e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,2,2,Cation,N,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt,-1.7818435529143306e-12,3.4357267031381866e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,3,3,Cation,C,Imidazolium_Ring,Imidazolium_Ring;Imidazolium_Alt;Aromatic_C,-2.8670121832163886e-11,6.357470799800424e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,0,0,Cation,C,Alkyl_Chain,Alkyl_Chain,-7.685417580116649e-11,9.816897988956796e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,1,1,Cation,C,Alkyl_Chain,Alkyl_Chain,-5.878178499507669e-11,7.69104849251967e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,7,7,Cation,C,Alkyl_Chain,Alkyl_Chain,-5.8068567315716635e-11,7.597757839539199e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,9,1,Anion,C,Carboxylate_COO,Carboxylate_COO,-7.612574459692212e-11,1.0945089279346121e-10
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,10,2,Anion,O,Carboxylate_COO,Carboxylate_COO,-5.0043809374233916e-11,7.147207825575208e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,11,3,Anion,O,Carboxylate_COO,Carboxylate_COO,-2.920149885787815e-11,5.359442750707544e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,8,0,Anion,C,Alkyl_Chain,Alkyl_Chain,-6.710713928992362e-11,8.588321720459646e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,15,3,Refri,C,CF3,CF3;Alkyl_Chain,-1.0864952687539287e-10,1.318561371199678e-10
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,16,4,Refri,F,CF3,CF3,-5.922058676777198e-11,7.663115975109491e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,17,5,Refri,F,CF3,CF3,-5.922058676777198e-11,7.663115975109491e-11
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,18,6,Refri,F,CF3,CF3,-5.922058676777198e-11,7.663115975109491e-11
