case_id,sample_id,seed,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g,group_rank
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0,0.0,0.0,0.0,1
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.0,0.0,0.0,0.0,2
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,0.0,0.0,0.0,0.0,3
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,0.0,0.0,0.0,0.0,4
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,Refri,CF3,Refri:CF3,4,0.0,0.0,0.0,0.0,5
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,42,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0,0.0,0.0,0.0,6
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,Refri,CF3,Refri:CF3,4,-2.863112871787088e-10,3.6174961637325254e-10,9.043740409331313e-11,0.2477668899287846,1
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-1.1953265439089422e-10,2.897013531844017e-10,5.794027063688034e-11,0.1984201227530779,2
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,-1.9370452811195982e-10,2.5105704321015665e-10,8.368568107005221e-11,0.17195214583646007,3
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,-1.671290363047806e-10,2.3613155875068514e-10,7.871051958356172e-11,0.161729492659164,4
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,-1.5537105282903418e-10,2.345173985562887e-10,7.817246618542957e-11,0.16062393391601446,5
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,43,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,-6.710713928992362e-11,8.588321720459646e-11,8.588321720459646e-11,0.05882250225223599,6
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,44,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,-1.0092985898745667e-18,1.8649413499322018e-18,3.729882699864404e-19,1.8649330751611437e-06,1
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,44,Refri,CF3,Refri:CF3,4,-1.6161722672407854e-19,7.185223223844268e-19,1.796305805961067e-19,7.18519134290754e-07,2
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,44,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,-4.2402543527311463e-19,6.542655365340239e-19,2.1808851217800796e-19,6.542626335486157e-07,3
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,44,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,-2.417915945046814e-19,5.768142505611199e-19,1.9227141685370665e-19,5.768116912281594e-07,4
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,44,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,-2.8723904932040706e-20,4.669341500042929e-19,1.5564471666809763e-19,4.6693207821088736e-07,5
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,44,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,2.3274639389345963e-20,1.555561738766956e-19,1.555561738766956e-19,1.5555548367175938e-07,6
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,45,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.011806934606283903,0.035204209852963686,0.007040841970592737,0.28809906138172287,1
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,45,Refri,CF3,Refri:CF3,4,-0.0025482182390987873,0.03208949975669384,0.00802237493917346,0.26260935265201607,2
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,45,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,3,0.0059818970039486885,0.024602822493761778,0.008200940831253925,0.20134097874652895,3
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,45,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,0.01623007981106639,0.01820528879761696,0.006068429599205653,0.1489857785953146,4
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,45,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.003593537607230246,0.009996809647418559,0.0033322698824728527,0.08181042802159579,5
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,45,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,0.0014233788242563605,0.0020961787085980177,0.0020961787085980177,0.017154400594637992,6
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.0,0.0,0.0,0.0,1
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.0,0.0,0.0,0.0,2
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,0.0,0.0,0.0,0.0,3
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,0.0,0.0,0.0,0.0,4
Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,46,Refri,CF3,Refri:CF3,4,0.0,0.0,0.0,0.0,5
