model,seed,sample_id,cation,anion,refrigerant,T_K,P_MPa,true_x1,y_target,y_base,pred_delta,comp_abs_err,comp_rel_err,cat_abs_sum,ani_abs_sum,ref_abs_sum,cf3_signed,cf3_abs,alkene_signed,alkene_abs
V7-A,42,[emim]__[Ac]__R1234yf__313.15__0.311,EMIM,AC,R1234yf,313.15,0.311,0.019,0.10885078459978104,0.027732275426387787,0.08111850917339325,0.00047234445810317993,0.005822893725691254,0.011931127868592739,0.14382435381412506,0.07483992725610733,-0.01806754432618618,0.02943495661020279,0.008687131106853485,0.03919478505849838
V7-A,42,[emim]__[BF4]__R1234yf__313.15__0.3919,EMIM,BF4,R1234yf,313.15,0.3919,0.02,0.03897286579012871,0.0420176237821579,-0.00304475799202919,0.00016076699830591679,0.05280124027157017,0.018834203481674194,0.06986673176288605,0.08367762714624405,-0.022069212049245834,0.035666026175022125,0.008210993371903896,0.041008561849594116
V7-A,42,[bmim]__[Ac]__R1234yf__313.15__0.561,BMIM,AC,R1234yf,313.15,0.561,0.071,0.2642708122730255,0.06545130163431168,0.19881951063871384,0.0007880404591560364,0.003963597217518703,0.02496809884905815,0.3617234528064728,0.24321463704109192,-0.06192151457071304,0.09897416085004807,0.028503891080617905,0.12439915537834167
V7-A,42,[bmim]__[PF6]__R1234yf__313.15__0.23,BMIM,PF6,R1234yf,313.15,0.23,0.0342,0.05236207693815231,0.04291672259569168,0.009445354342460632,8.93082469701767e-05,0.00945525638659214,0.026440737769007683,0.05600378289818764,0.09513852000236511,-0.02319757267832756,0.03876786679029465,0.008699662052094936,0.048227302730083466
V7-A,43,[emim]__[Ac]__R1234yf__313.15__0.311,EMIM,AC,R1234yf,313.15,0.311,0.019,0.13375087082386017,0.05420885980129242,0.07954201102256775,0.0002494305372238159,0.003135833932499484,0.045944273471832275,0.44038259983062744,0.07641474157571793,-0.0040440247394144535,0.017885996028780937,0.029435351490974426,0.053701020777225494
V7-A,43,[emim]__[BF4]__R1234yf__313.15__0.3919,EMIM,BF4,R1234yf,313.15,0.3919,0.02,0.06203748285770416,0.08101110905408859,-0.01897362619638443,0.0009662993252277374,0.050928552888423254,0.08470337092876434,0.4385069012641907,0.18182824552059174,-0.00877438299357891,0.034962598234415054,0.07648421823978424,0.13764984905719757
V7-A,43,[bmim]__[Ac]__R1234yf__313.15__0.561,BMIM,AC,R1234yf,313.15,0.561,0.071,0.2989707589149475,0.13430041074752808,0.16467034816741943,0.0022315531969070435,0.01355163951337636,0.1108260303735733,1.175708293914795,0.20422279834747314,-0.01139659620821476,0.053309764713048935,0.07374248653650284,0.13660675287246704
V7-A,43,[bmim]__[PF6]__R1234yf__313.15__0.23,BMIM,PF6,R1234yf,313.15,0.23,0.0342,0.06357793509960175,0.08575958013534546,-0.022181645035743713,0.002552008256316185,0.11505045059569995,0.05230831727385521,0.25438880920410156,0.12656211853027344,-0.005901604890823364,0.023525869473814964,0.05391969531774521,0.09689638018608093
V7-A,44,[emim]__[Ac]__R1234yf__313.15__0.311,EMIM,AC,R1234yf,313.15,0.311,0.019,0.07880257070064545,0.09018753468990326,-0.011384963989257812,0.0007363706827163696,0.06467922809515832,0.030683448538184166,0.2113972008228302,0.2418363392353058,-0.07239286601543427,0.11253739148378372,-0.010472003370523453,0.11691570281982422
V7-A,44,[emim]__[BF4]__R1234yf__313.15__0.3919,EMIM,BF4,R1234yf,313.15,0.3919,0.02,0.04100387915968895,0.1378524750471115,-0.09684859588742256,0.002561364322900772,0.026447098168342252,0.052143726497888565,0.19598916172981262,0.21229737997055054,-0.06754225492477417,0.10861647874116898,-0.010379916056990623,0.08953295648097992
