split,mode,distance_bin,n_species,distance_mean,MAE_mean,MAE_std,MAE_se,distance_metric
B1,M0,"(0.454, 0.545]",0,,,,,D_FP
B1,M0,"(0.545, 0.571]",0,,,,,D_FP
B1,M0,"(0.571, 0.714]",2,0.6141176470588235,0.023187092072502885,0.010525370739364609,0.00744256102430718,D_FP
B1,M0,"(0.714, 0.923]",5,0.7633496601575143,0.029163239634388854,0.007361744141671304,0.0032922720667475755,D_FP
B1,Mreduced,"(0.454, 0.545]",0,,,,,D_FP
B1,Mreduced,"(0.545, 0.571]",0,,,,,D_FP
B1,Mreduced,"(0.571, 0.714]",2,0.6141176470588235,0.026643545125123298,0.0037424517967209413,0.0026463130437251563,D_FP
B1,Mreduced,"(0.714, 0.923]",5,0.7633496601575143,0.02772375972443463,0.009464567795159728,0.004232683393526491,D_FP
B1,Mthermo,"(0.454, 0.545]",0,,,,,D_FP
B1,Mthermo,"(0.545, 0.571]",0,,,,,D_FP
B1,Mthermo,"(0.571, 0.714]",2,0.6141176470588235,0.025419832346468142,0.003778849187212839,0.0026720498853594716,D_FP
B1,Mthermo,"(0.714, 0.923]",5,0.7633496601575143,0.027163524890988888,0.011346059863364184,0.005074112226252858,D_FP
B2,M0,"(0.454, 0.545]",0,,,,,D_FP
B2,M0,"(0.545, 0.571]",0,,,,,D_FP
B2,M0,"(0.571, 0.714]",0,,,,,D_FP
B2,M0,"(0.714, 0.923]",2,0.8251748251748252,0.05156660928882337,0.002450361265407649,0.001732667067126598,D_FP
B2,Mreduced,"(0.454, 0.545]",0,,,,,D_FP
B2,Mreduced,"(0.545, 0.571]",0,,,,,D_FP
B2,Mreduced,"(0.571, 0.714]",0,,,,,D_FP
B2,Mreduced,"(0.714, 0.923]",2,0.8251748251748252,0.04648561197465538,0.01075744718813374,0.007606663854985525,D_FP
B2,Mthermo,"(0.454, 0.545]",0,,,,,D_FP
B2,Mthermo,"(0.545, 0.571]",0,,,,,D_FP
B2,Mthermo,"(0.571, 0.714]",0,,,,,D_FP
B2,Mthermo,"(0.714, 0.923]",2,0.8251748251748252,0.04926898556291802,0.009679702703459218,0.0068445834214857695,D_FP
M1_LORO,M0,"(0.454, 0.545]",6,0.5,0.1234795,0.05150777066326983,0.021027959318884626,D_FP
M1_LORO,M0,"(0.545, 0.571]",3,0.5714285714285714,0.093631,0.007915391841216703,0.004569953610267831,D_FP
M1_LORO,M0,"(0.571, 0.714]",3,0.6984126984126985,0.07741966666666666,0.03764218705566048,0.021732726829471825,D_FP
M1_LORO,M0,"(0.714, 0.923]",0,,,,,D_FP
M1_LORO,Mphys,"(0.454, 0.545]",6,0.5,0.133935,0.07997484347718349,0.03264959312967519,D_FP
M1_LORO,Mphys,"(0.545, 0.571]",3,0.5714285714285714,0.09213566666666666,0.0268390912724953,0.015495556570980097,D_FP
M1_LORO,Mphys,"(0.571, 0.714]",3,0.6984126984126985,0.09855966666666667,0.048832402739711,0.028193400866948364,D_FP
M1_LORO,Mphys,"(0.714, 0.923]",0,,,,,D_FP
M1_LORO,Mphys+Gate,"(0.454, 0.545]",6,0.5,0.12658916666666667,0.05011819101849813,0.0204606658044432,D_FP
M1_LORO,Mphys+Gate,"(0.545, 0.571]",3,0.5714285714285714,0.11050733333333333,0.03907165384691738,0.022558029866201628,D_FP
M1_LORO,Mphys+Gate,"(0.571, 0.714]",3,0.6984126984126985,0.08770033333333332,0.028017573669633367,0.016175953700202996,D_FP
M1_LORO,Mphys+Gate,"(0.714, 0.923]",0,,,,,D_FP
M1_LORO,Mreduced,"(0.454, 0.545]",6,0.5,0.059291333333333335,0.04404005389491101,0.017979276714533813,D_FP
M1_LORO,Mreduced,"(0.545, 0.571]",3,0.5714285714285714,0.075958,0.02466883128565275,0.014242556383365077,D_FP
M1_LORO,Mreduced,"(0.571, 0.714]",3,0.6984126984126985,0.06753966666666666,0.016386110256352275,0.009460525167475874,D_FP
M1_LORO,Mreduced,"(0.714, 0.923]",0,,,,,D_FP
M1_LORO,Mthermo,"(0.454, 0.545]",6,0.5,0.06820566666666666,0.0458494060361382,0.018717941633036944,D_FP
M1_LORO,Mthermo,"(0.545, 0.571]",3,0.5714285714285714,0.06413133333333333,0.03613722153588088,0.020863834581505966,D_FP
M1_LORO,Mthermo,"(0.571, 0.714]",3,0.6984126984126985,0.075896,0.05400078600353888,0.03117736833559455,D_FP
M1_LORO,Mthermo,"(0.714, 0.923]",0,,,,,D_FP
M1_LORO,M0,"(0.673, 0.793]",3,0.7116797744161092,0.13955199999999998,0.059974823742967344,0.034626480632602555,D_thermo
M1_LORO,M0,"(0.793, 0.83]",3,0.8102987377788075,0.10941933333333333,0.046424991570632866,0.026803481380430993,D_thermo
M1_LORO,M0,"(0.83, 1.355]",3,1.0744503921714788,0.092916,0.021581716080979294,0.012460209588927471,D_thermo
M1_LORO,M0,"(1.355, 1.863]",3,1.6780057635261,0.07612233333333333,0.031041622224576678,0.017921888947442018,D_thermo
M1_LORO,Mphys,"(0.673, 0.793]",3,0.7116797744161092,0.152329,0.11605129791605089,0.06700224809163743,D_thermo
M1_LORO,Mphys,"(0.793, 0.83]",3,0.8102987377788075,0.12874066666666667,0.04437633137533265,0.025620686865196345,D_thermo
M1_LORO,Mphys,"(0.83, 1.355]",3,1.0744503921714788,0.08441966666666667,0.023605001638070975,0.013628354049961836,D_thermo
M1_LORO,Mphys,"(1.355, 1.863]",3,1.6780057635261,0.093076,0.02947199944014658,0.01701566681032513,D_thermo
M1_LORO,Mphys+Gate,"(0.673, 0.793]",3,0.7116797744161092,0.150577,0.05456923576521848,0.03150556295852105,D_thermo
M1_LORO,Mphys+Gate,"(0.793, 0.83]",3,0.8102987377788075,0.112925,0.042047859029919706,0.02427634272977158,D_thermo
M1_LORO,Mphys+Gate,"(0.83, 1.355]",3,1.0744503921714788,0.08730833333333332,0.02085751668663682,0.01204209287365688,D_thermo
M1_LORO,Mphys+Gate,"(1.355, 1.863]",3,1.6780057635261,0.10057566666666667,0.03992535425432483,0.02305091402622561,D_thermo
M1_LORO,Mreduced,"(0.673, 0.793]",3,0.7116797744161092,0.07813666666666667,0.05560415788709809,0.032103075524178536,D_thermo
M1_LORO,Mreduced,"(0.793, 0.83]",3,0.8102987377788075,0.056079333333333335,0.02617875753990883,0.015114312712716309,D_thermo
M1_LORO,Mreduced,"(0.83, 1.355]",3,1.0744503921714788,0.061259666666666664,0.028022454752097168,0.01617877179447741,D_thermo
M1_LORO,Mreduced,"(1.355, 1.863]",3,1.6780057635261,0.06660466666666666,0.03237204232564472,0.01869000735092894,D_thermo
M1_LORO,Mthermo,"(0.673, 0.793]",3,0.7116797744161092,0.07497366666666667,0.06463321827306244,0.03731600596854444,D_thermo
M1_LORO,Mthermo,"(0.793, 0.83]",3,0.8102987377788075,0.06414666666666667,0.030651929047505848,0.017696899486758812,D_thermo
M1_LORO,Mthermo,"(0.83, 1.355]",3,1.0744503921714788,0.07502633333333333,0.052250944415707296,0.030167096823820783,D_thermo
M1_LORO,Mthermo,"(1.355, 1.863]",3,1.6780057635261,0.06229199999999999,0.03909219427200269,0.0225698888861539,D_thermo
B1,M0,"(0.179, 0.426]",0,,,,,D_phys
B1,M0,"(0.426, 0.646]",0,,,,,D_phys
B1,M0,"(0.646, 0.939]",5,0.8463093557989516,0.027283161793024868,0.009685268770341213,0.00433138387016775,D_phys
B1,M0,"(0.939, 2.309]",2,1.0162184230552318,0.02788728667591285,0.0016869842400737021,0.0011928779959109494,D_phys
B1,Mreduced,"(0.179, 0.426]",0,,,,,D_phys
B1,Mreduced,"(0.426, 0.646]",0,,,,,D_phys
B1,Mreduced,"(0.646, 0.939]",5,0.8463093557989516,0.026291732049155397,0.009253507892676378,0.004138294535671042,D_phys
B1,Mreduced,"(0.939, 2.309]",2,1.0162184230552318,0.030223614313321392,0.0030643353739968422,0.0021668123227829824,D_phys
B1,Mthermo,"(0.179, 0.426]",0,,,,,D_phys
B1,Mthermo,"(0.426, 0.646]",0,,,,,D_phys
B1,Mthermo,"(0.646, 0.939]",5,0.8463093557989516,0.024971740414657034,0.01011375017524695,0.004523006579860518,D_phys
B1,Mthermo,"(0.939, 2.309]",2,1.0162184230552318,0.030899293537297777,0.008614500862577118,0.006091371976465643,D_phys
B2,M0,"(0.179, 0.426]",0,,,,,D_phys
