split,mode,distance_metric,n_species,spearman_rho,p_value
B1,M0,D_FP,7,0.23424374030084538,0.6131550369752419
B1,M0,D_thermo,0,,
B1,M0,D_phys,7,0.09009374626955591,0.8476720796198264
B1,Mreduced,D_FP,7,-0.054056247761733546,0.9083652825239955
B1,Mreduced,D_thermo,0,,
B1,Mreduced,D_phys,7,0.4504687313477795,0.310429301851323
B1,Mthermo,D_FP,7,-0.054056247761733546,0.9083652825239955
B1,Mthermo,D_thermo,0,,
B1,Mthermo,D_phys,7,0.4504687313477795,0.310429301851323
B2,M0,D_FP,2,,
B2,M0,D_thermo,0,,
B2,M0,D_phys,2,,
B2,Mreduced,D_FP,2,,
B2,Mreduced,D_thermo,0,,
B2,Mreduced,D_phys,2,,
B2,Mthermo,D_FP,2,,
B2,Mthermo,D_thermo,0,,
B2,Mthermo,D_phys,2,,
M1_LORO,M0,D_FP,12,-0.25534483755168313,0.42313358554063674
M1_LORO,M0,D_thermo,12,-0.6153846153846154,0.033169901090105904
M1_LORO,M0,D_phys,12,-0.06293706293706294,0.8459309212287789
M1_LORO,Mphys,D_FP,12,-0.10639368231320129,0.7420834812968672
M1_LORO,Mphys,D_thermo,12,-0.35664335664335667,0.2551377517589572
M1_LORO,Mphys,D_phys,12,-0.1258741258741259,0.696683109395766
M1_LORO,Mphys+Gate,D_FP,12,-0.19505508424086904,0.543513494156186
M1_LORO,Mphys+Gate,D_thermo,12,-0.5874125874125874,0.044609296463363195
M1_LORO,Mphys+Gate,D_phys,12,-0.1398601398601399,0.6646331617926677
M1_LORO,Mreduced,D_FP,12,0.37947080025041796,0.22375572970680283
M1_LORO,Mreduced,D_thermo,12,-0.04895104895104895,0.8799185788786748
M1_LORO,Mreduced,D_phys,12,0.09090909090909093,0.7787253962454419
M1_LORO,Mthermo,D_FP,12,0.12412596269873484,0.7007225797719843
M1_LORO,Mthermo,D_thermo,12,-0.11188811188811189,0.729194990751066
M1_LORO,Mthermo,D_phys,12,0.0979020979020979,0.7621216559962992
