split,mode,distance_metric,n_species,linear_SSE,broken_stick_SSE,delta_SSE,candidate_breakpoint,slope_before,slope_after
B1,M0,D_FP,7,0.0003481197540076247,0.0002868749923537368,6.124476165388792e-05,0.7646153846153846,-0.0025409662617847935,0.882182936988358
B1,Mreduced,D_FP,7,0.00037380463917722324,0.0003689285909614805,4.876048215742717e-06,0.7646153846153846,-0.006857578933024994,0.24277845972104137
B1,Mthermo,D_FP,7,0.0005318394990955936,0.000531683553360348,1.5594573524559726e-07,0.7646153846153846,0.00874023053118135,-0.035903454743958466
M1_LORO,M0,D_FP,12,0.018774869305696218,0.013664475306603436,0.005110393999092782,0.5,1.1749134447892469,-0.3308592629945699
M1_LORO,Mphys,D_FP,12,0.04194682243847826,0.031776789638895686,0.010170032799582576,0.5,1.7846696633048906,-0.3395205608029479
M1_LORO,Mphys+Gate,D_FP,12,0.018633559017124584,0.01360773970546036,0.005025819311664225,0.5,1.1859991321437846,-0.3072616676687354
M1_LORO,Mreduced,D_FP,12,0.011785981752871034,0.008937280184580362,0.002848701568290672,0.5,1.0457391618825995,-0.07849222595034866
M1_LORO,Mthermo,D_FP,12,0.019050358171746017,0.015723218536770046,0.003327139634975971,0.5,1.1112638577708842,-0.10371226474010875
M1_LORO,M0,D_thermo,12,0.01402450229449372,0.011920157743595698,0.0021043445508980227,0.790698755994066,-0.38901947059856834,-0.04354395951128859
M1_LORO,Mphys,D_thermo,12,0.03491129004914631,0.026119230984035523,0.008792059065110786,0.790698755994066,-0.7357783366529904,-0.029616665017122012
M1_LORO,Mphys+Gate,D_thermo,12,0.015749264954951506,0.011444564801098955,0.00430470015385255,0.8033965693727754,-0.4799994342386141,-0.02245541195627898
M1_LORO,Mreduced,D_thermo,12,0.011977292113998334,0.009086219734091846,0.002891072379906488,0.790698755994066,-0.3900074594391052,0.014930346555070306
M1_LORO,Mthermo,D_thermo,12,0.01862868071946886,0.017085182037588607,0.0015434986818802544,1.399446576127238,0.029564765631737724,-0.12201724236621918
B1,M0,D_phys,7,0.0003711146627247497,0.0003383750688289001,3.27395938958496e-05,0.8543370148945322,0.07080711722580488,-0.00888293058460915
B1,Mreduced,D_phys,7,0.00031523025157220805,0.0002053170289850211,0.00010991322258718697,0.8543370148945322,0.14006802599043242,-0.005945273189335354
B1,Mthermo,D_phys,7,0.0004776398416925754,0.00033507486860431514,0.00014256497308826028,0.8953138037700561,0.12709435895931073,-0.039492861445150074
M1_LORO,M0,D_phys,12,0.019313630680309734,0.018188058926236584,0.00112557175407315,0.6854570650560853,-0.02424011244344138,0.06680603987424522
M1_LORO,Mphys,D_phys,12,0.03644946868226982,0.03287512551573988,0.0035743431665299433,0.6854570650560853,-0.0380417733953063,0.12420390096479121
M1_LORO,Mphys+Gate,D_phys,12,0.018897643435848627,0.017021032319174494,0.0018766111166741324,0.6854570650560853,-0.04229501168430387,0.07526568367045193
M1_LORO,Mreduced,D_phys,12,0.009404216682584851,0.005600319403749812,0.00380389727883504,0.5774363331534607,-0.08265394775767353,0.0921543891931121
M1_LORO,Mthermo,D_phys,12,0.011402958744444124,0.00560394056233154,0.005799018182112584,0.6854570650560853,-0.05741854510594311,0.14923946299696209
