split,chemical_system,cation,anion,refrigerant,n_state_points,mode,system_mae,system_rmse
B1,[C7mim]__[TFES]__R32,[C7mim],[TFES],R32,8,M0,0.023732655053026984,0.02763227208205893
B1,[C7mim]__[TFES]__R32,[C7mim],[TFES],R32,8,Mthermo,0.013960275379940865,0.016044563795109
B1,[C7mim]__[TFES]__R32,[C7mim],[TFES],R32,8,Mreduced,0.01436328964773565,0.016977425203344707
B1,[P44414]__[HFPS]__R134a,[P44414],[HFPS],R134a,32,M0,0.04315967396833002,0.0662202564813883
B1,[P44414]__[HFPS]__R134a,[P44414],[HFPS],R134a,32,Mthermo,0.05278656561858952,0.07118349288659391
B1,[P44414]__[HFPS]__R134a,[P44414],[HFPS],R134a,32,Mreduced,0.047106472065206614,0.06567951319608187
B1,[P66614]__[TPES]__R134a,[P66614],[TPES],R134a,32,M0,0.06519438243994954,0.08912913991314116
B1,[P66614]__[TPES]__R134a,[P66614],[TPES],R134a,32,Mthermo,0.06949220705137123,0.08930056308034302
B1,[P66614]__[TPES]__R134a,[P66614],[TPES],R134a,32,Mreduced,0.0674952604371356,0.0863644624075704
B1,[bmim]__[FS]__R32,[bmim],[FS],R32,8,M0,0.028265222860500226,0.031651195572776035
B1,[bmim]__[FS]__R32,[bmim],[FS],R32,8,Mthermo,0.019383197813294825,0.0205959562900401
B1,[bmim]__[FS]__R32,[bmim],[FS],R32,8,Mreduced,0.02302472274750473,0.02483497959904118
B1,[bmim]__[HFPS]__R134a,[bmim],[HFPS],R134a,32,M0,0.017016386185423484,0.028760991082910425
B1,[bmim]__[HFPS]__R134a,[bmim],[HFPS],R134a,32,Mthermo,0.023271015021600772,0.02896679059292913
B1,[bmim]__[HFPS]__R134a,[bmim],[HFPS],R134a,32,Mreduced,0.019517768986406753,0.026947398279620064
B1,[bmim]__[HFPS]__R32,[bmim],[HFPS],R32,8,M0,0.021017241431400185,0.02326601389994773
B1,[bmim]__[HFPS]__R32,[bmim],[HFPS],R32,8,Mthermo,0.028685667063109575,0.029731648275388555
B1,[bmim]__[HFPS]__R32,[bmim],[HFPS],R32,8,Mreduced,0.0250168755184859,0.025588941104074933
B1,[bmim]__[OTf]__R152a,[bmim],[OTf],R152a,24,M0,0.07299843961372972,0.08391311814137634
B1,[bmim]__[OTf]__R152a,[bmim],[OTf],R152a,24,Mthermo,0.07728840817386905,0.08875045716874051
B1,[bmim]__[OTf]__R152a,[bmim],[OTf],R152a,24,Mreduced,0.07895718235522507,0.08950885510867784
B1,[bmim]__[OTf]__R32,[bmim],[OTf],R32,26,M0,0.015898121205660025,0.020771122658061636
B1,[bmim]__[OTf]__R32,[bmim],[OTf],R32,26,Mthermo,0.01138197814042753,0.014531054640646258
B1,[bmim]__[OTf]__R32,[bmim],[OTf],R32,26,Mreduced,0.012782650956740752,0.01958866644162998
B1,[bmim]__[TFES]__R32,[bmim],[TFES],R32,8,M0,0.035487327515147625,0.04048577504262957
B1,[bmim]__[TFES]__R32,[bmim],[TFES],R32,8,Mthermo,0.026974039070773875,0.03074885935479221
B1,[bmim]__[TFES]__R32,[bmim],[TFES],R32,8,Mreduced,0.03232905508484693,0.0365555968575138
B1,[bmim]__[TPES]__R134a,[bmim],[TPES],R134a,32,M0,0.02426338000805117,0.04148208160238969
B1,[bmim]__[TPES]__R134a,[bmim],[TPES],R134a,32,Mthermo,0.01912420375156216,0.03262157027853471
B1,[bmim]__[TPES]__R134a,[bmim],[TPES],R134a,32,Mreduced,0.020850611577043307,0.03213262105359497
B1,[bmim]__[TPES]__R32,[bmim],[TPES],R32,8,M0,0.011040849424898642,0.01248121567466364
B1,[bmim]__[TPES]__R32,[bmim],[TPES],R32,8,Mthermo,0.010833056527189919,0.012522693344612902
B1,[bmim]__[TPES]__R32,[bmim],[TPES],R32,8,Mreduced,0.007600379502400762,0.010103760953256498
B1,[bmim]__[TTES]__R134a,[bmim],[TTES],R134a,32,M0,0.0234457932470832,0.039091078566890806
B1,[bmim]__[TTES]__R134a,[bmim],[TTES],R134a,32,Mthermo,0.015385494678048419,0.026866250405846333
B1,[bmim]__[TTES]__R134a,[bmim],[TTES],R134a,32,Mreduced,0.017077834473457187,0.026643375695732753
B1,[bmim]__[TTES]__R32,[bmim],[TTES],R32,8,M0,0.010170003911480315,0.011135773205337448
B1,[bmim]__[TTES]__R32,[bmim],[TTES],R32,8,Mthermo,0.008693497045896937,0.010426880929107983
B1,[bmim]__[TTES]__R32,[bmim],[TTES],R32,8,Mreduced,0.006876305257901535,0.008789074614051855
B1,[dmim]__[TFES]__R32,[dmim],[TFES],R32,8,M0,0.02822980911005289,0.03282195327869994
B1,[dmim]__[TFES]__R32,[dmim],[TFES],R32,8,Mthermo,0.018356285896152277,0.02107789164851321
B1,[dmim]__[TFES]__R32,[dmim],[TFES],R32,8,Mreduced,0.017634347802959402,0.02009498770185475
B1,[emim]__[OTf]__R125,[emim],[OTf],R125,8,M0,0.004719283699523657,0.0058385722281415475
