split,eval_type,anion,n_samples,pct_of_split,mae_m0,r2_m0,mae_thermo,r2_thermo,mae_reduced,r2_reduced,mae_improvement_m0_minus_red,pct_mae_reduction,win_rate_red_vs_m0_pct,wilcoxon_p
B1,raw,[FS],8,1.5594541910331383,0.028265222860500226,0.9777172607368341,0.019383197813294825,0.9905647749693709,0.02302472274750473,0.986281205369705,0.005240500112995497,18.54045212683935,75.0,
B1,raw,[HFPS],72,14.035087719298245,0.0290801646718238,0.9386961738794013,0.03699066551376342,0.9297600587154707,0.03239042663610438,0.940346771519384,-0.0033102619642805774,-11.38322977753953,29.166666666666668,0.013757506169923547
B1,raw,[OTf],189,36.84210526315789,0.030629653096810063,0.9022676066014984,0.028091882231827608,0.9072248901645634,0.029289858168848458,0.8982231873957658,0.0013397949279616052,4.374175978183503,57.67195767195767,0.008572293025891953
B1,raw,[PFBS],63,12.280701754385964,0.015744531048195703,0.974181309375884,0.02274778246110867,0.9391077928197742,0.023997232081398145,0.9349831644696757,-0.008252701033202442,-52.416302574780005,38.095238095238095,0.0008147196645554601
B1,raw,[TFES],69,13.450292397660817,0.0266944086800019,0.9513376260464154,0.024807921560832134,0.9613177505042663,0.028056801990538408,0.9492863704245443,-0.0013623933105365062,-5.103665441209575,59.42028985507246,0.6473911857960587
B1,raw,[TPES],72,14.035087719298245,0.04098576657965572,0.9041820894255086,0.040588744415435946,0.9103609678834949,0.0401093186176796,0.9159016142574004,0.0008764479619761192,2.1384203227545964,50.0,0.9820915695312028
B1,raw,[TTES],40,7.797270955165692,0.020790635379962626,0.9690480836322596,0.014047095151618122,0.9851311537918283,0.015037528630346056,0.985524108147781,0.005753106749616569,27.67162544325719,75.0,0.0011065220933232922
B1,clipped,[FS],8,1.5594541910331383,0.028265222860500226,0.9777172607368341,0.019383197813294825,0.9905647749693709,0.02302472274750473,0.986281205369705,0.005240500112995497,18.54045212683935,75.0,
B1,clipped,[HFPS],72,14.035087719298245,0.029112252480505658,0.9386865935452059,0.03699066551376342,0.9297600587154707,0.03239042663610438,0.940346771519384,-0.0032781741555987197,-11.260462095105394,29.166666666666668,0.013974362044180145
B1,clipped,[OTf],189,36.84210526315789,0.030639329177657607,0.9022666920954003,0.028091882231827608,0.9072248901645634,0.029289858168848458,0.8982231873957658,0.0013494710088091492,4.404375177356011,57.67195767195767,0.007988409496272744
B1,clipped,[PFBS],63,12.280701754385964,0.015744531048195703,0.974181309375884,0.02274778246110867,0.9391077928197742,0.023997232081398145,0.9349831644696757,-0.008252701033202442,-52.416302574780005,38.095238095238095,0.0008147196645554601
B1,clipped,[TFES],69,13.450292397660817,0.0266944086800019,0.9513376260464154,0.024807921560832134,0.9613177505042663,0.028056801990538408,0.9492863704245443,-0.0013623933105365062,-5.103665441209575,59.42028985507246,0.6473911857960587
B1,clipped,[TPES],72,14.035087719298245,0.04100826812985663,0.9041778741003028,0.040588744415435946,0.9103609678834949,0.0401093186176796,0.9159016142574004,0.000898949512177033,2.1921177196033312,50.0,0.9686656735478321
B1,clipped,[TTES],40,7.797270955165692,0.02084649614524096,0.9690362284806837,0.014047095151618122,0.9851311537918283,0.015037528630346056,0.985524108147781,0.0058089675148949044,27.865438270407044,75.0,0.0006754665791959269
B2,raw,[BF4],255,42.642140468227424,0.04983394222169677,0.7940889037278104,0.042424402141432255,0.8215735257583776,0.03887894811966986,0.8521438680277165,0.01095499410202691,21.982997157421973,73.33333333333333,9.852204324154455e-17
B2,raw,[PF6],343,57.35785953177257,0.053299276355949964,0.8064906525612927,0.0561135689844038,0.8081118119841254,0.05409227582964091,0.8276144296084792,-0.0007929994736909432,-1.4878240905092857,51.31195335276968,0.9211134403735652
B2,clipped,[BF4],255,42.642140468227424,0.04985059127814192,0.794082178905136,0.04235010540021547,0.8216193692335929,0.03885487502641684,0.8521528397872211,0.010995716251725081,22.057343694028344,74.11764705882354,6.409061083432636e-17
B2,clipped,[PF6],343,57.35785953177257,0.053284537979895824,0.8064884100078498,0.05538844723388846,0.8085868612545736,0.0534886798918459,0.8280321938567444,-0.00020414191195007592,-0.383116603220053,53.93586005830904,0.5516590693258121
