dataset,split,mode,decile,n_samples,sigma_min,sigma_max,mean_sigma,mean_mae,rmse,rmse_over_sigma_ratio
Split_B,B1,M0,D1,52,0.0020464369130421,0.0042003374735389,0.0035624750320638904,0.015511572796206591,0.025100500806333026,7.04580399312757
Split_B,B1,M0,D2,51,0.0042258512032963,0.0056679335024919,0.004974035200337184,0.01371424864320189,0.02113658559293583,4.249383999434303
Split_B,B1,M0,D3,51,0.0056947695756418,0.0071923215256733,0.006419522696347256,0.02250254567091659,0.03304460334869141,5.14751717717175
Split_B,B1,M0,D4,51,0.0072832667117291,0.0090521782578702,0.008128170466281122,0.023682141391669947,0.03372638928533084,4.1493211080207155
Split_B,B1,M0,D5,52,0.0090775118698889,0.0108740247436283,0.009954729383957372,0.025551925814495596,0.03821028123891627,3.8384048189691997
Split_B,B1,M0,D6,51,0.0108742921090297,0.0125407689133809,0.011741888712559725,0.030912943398032064,0.04862276790507995,4.140966508486028
Split_B,B1,M0,D7,51,0.0125479586654622,0.0140773730095602,0.013238986287226083,0.02133783148784258,0.030023302377362924,2.267794657838081
Split_B,B1,M0,D8,51,0.0141062058938728,0.0162729355877837,0.01526218165774827,0.04069564185452224,0.05948938528295901,3.8978297216608984
Split_B,B1,M0,D9,51,0.0162996681348029,0.0192153353770397,0.017854007233375598,0.03873766074139696,0.05774492094485538,3.23428349669923
Split_B,B1,M0,D10,52,0.019333833330882,0.0381798434761435,0.025089128319749313,0.054370699650966144,0.08007863180375553,3.191766201806236
Split_B,B1,Mreduced,D1,52,0.0011262111819631,0.0029927247515429,0.0022616432712549016,0.00765933547025685,0.011458494525505618,5.066446451189328
Split_B,B1,Mreduced,D2,51,0.0029959859618326,0.003897794883543,0.0034417902242877877,0.009260290945131353,0.011821286739085281,3.4346331323930324
Split_B,B1,Mreduced,D3,51,0.0039389583922858,0.0048431664513484,0.004377919755626983,0.01841495992506247,0.02838116431576105,6.482796830454113
Split_B,B1,Mreduced,D4,51,0.0048814532162691,0.0059536945197963,0.005398536650716529,0.01133875934516678,0.01513337404861388,2.8032363263858326
Split_B,B1,Mreduced,D5,52,0.006061932618057,0.0073984604313883,0.00680833765054301,0.022600389975839463,0.03239029761272184,4.7574458370375465
Split_B,B1,Mreduced,D6,51,0.0074086496109542,0.0093676802730452,0.008391278992940994,0.03438005858630523,0.04426383139503645,5.2749803018434465
Split_B,B1,Mreduced,D7,51,0.0094090750294506,0.0118585013689372,0.010598410993190477,0.03098710715843762,0.04110638011990587,3.87854180653278
Split_B,B1,Mreduced,D8,51,0.0119023587763639,0.0141707802261972,0.013009149395869257,0.046177056402552326,0.057454535873185296,4.416471371404851
Split_B,B1,Mreduced,D9,51,0.0141860974906773,0.0186048661597712,0.016002803649142215,0.0502516390646205,0.0660976219231417,4.130377612093283
Split_B,B1,Mreduced,D10,52,0.0186921672695741,0.0299601826305663,0.021904324543198603,0.06104614561280374,0.0862767011511836,3.938797609624211
Split_B,B2,M0,D1,60,0.0019944473618536,0.0083370430926533,0.00642503701699394,0.022141997993458014,0.03275249162224181,5.097634696206872
Split_B,B2,M0,D2,60,0.008338547005946,0.0104001997904623,0.00940129137856079,0.030098226437112276,0.0428845535807019,4.561559880858298
Split_B,B2,M0,D3,60,0.0104158611966831,0.0120331503025394,0.01115458225932177,0.032195018969165726,0.06015728994746996,5.393056283860126
Split_B,B2,M0,D4,59,0.0120342090227514,0.0137153140286649,0.012798616218779021,0.03705903576308131,0.05375413246131569,4.199995651283291
Split_B,B2,M0,D5,60,0.0137168738408794,0.0157793688295737,0.014671136361303221,0.034998806848501124,0.0471371649360047,3.2129184662433032
Split_B,B2,M0,D6,60,0.0157846676323536,0.0177099514982877,0.016918251930803527,0.05733078464555239,0.07890354100519568,4.663811682667631
Split_B,B2,M0,D7,59,0.0177281759899139,0.0208775928484043,0.01924636369168429,0.06669091898474397,0.09074760303275735,4.715051865717697
Split_B,B2,M0,D8,60,0.0209526935101257,0.0246398091909065,0.02262050716307296,0.0502518732209379,0.06719137173347353,2.9703742382558365
Split_B,B2,M0,D9,60,0.0249686668508855,0.0308752342220061,0.027882516535196765,0.08532015879328049,0.11083054799880647,3.974911943794687
Split_B,B2,M0,D10,60,0.0312270308971759,0.0639227099891418,0.04217644403102984,0.10211729930713767,0.11671949651113252,2.767409609621433
Split_B,B2,Mreduced,D1,60,0.0,0.0036362107817743,0.002439755391147655,0.010116893758919658,0.014062935459815087,5.764075985174856
Split_B,B2,Mreduced,D2,60,0.0036415122147295,0.004889714249546,0.004353572731761036,0.019192362861552535,0.02629533123011903,6.039943019277978
Split_B,B2,Mreduced,D3,60,0.0048946800876263,0.0061073317339694,0.005510468061460659,0.021163035539599712,0.028434026617636447,5.1600020725098705
Split_B,B2,Mreduced,D4,59,0.0061161310925621,0.0073365910460566,0.006670890861581368,0.02350269428185987,0.03743113775293399,5.6111152962350745
Split_B,B2,Mreduced,D5,60,0.0073564268279341,0.0088248540810671,0.008135048642397872,0.04134921994991595,0.050558998099998004,6.214959531587426
Split_B,B2,Mreduced,D6,60,0.0088348683496006,0.0106181211005051,0.009570381454465272,0.053722213574995556,0.07598148962553791,7.939233142069492
Split_B,B2,Mreduced,D7,59,0.0108044388520076,0.0132082277963435,0.012032849045949413,0.063867695793762,0.08425955119258877,7.002460586917514
Split_B,B2,Mreduced,D8,60,0.0132537784975858,0.0168953342516214,0.015046409092062367,0.05684724103659387,0.06663771178722536,4.428811643994156
Split_B,B2,Mreduced,D9,60,0.016959445875654,0.021466758211946,0.01897319724719289,0.08505415615936117,0.09949761191081564,5.2441141371434625
Split_B,B2,Mreduced,D10,60,0.0214857540155165,0.042695382485082,0.02745434346939052,0.09755083245535688,0.11845498738530834,4.314617376204116
M1_LORO,ALL_12_REFRIGERANTS,M0,D1,141,0.0,0.0106540280789729,0.0055337008494046585,0.09831802187477572,0.15324754951985253,27.693500912023392
M1_LORO,ALL_12_REFRIGERANTS,M0,D2,140,0.010666318982284,0.016960239425776,0.01371092437129833,0.06992606041271102,0.10124747582860288,7.384438356362653
M1_LORO,ALL_12_REFRIGERANTS,M0,D3,140,0.0170035284170438,0.0241230116469129,0.020371435833681478,0.10794529357825268,0.14704712190374133,7.218299343466912
M1_LORO,ALL_12_REFRIGERANTS,M0,D4,140,0.0242573392394151,0.0307615925161954,0.027633947933076188,0.128065340267328,0.18593241225527887,6.728405680779649
M1_LORO,ALL_12_REFRIGERANTS,M0,D5,141,0.030786512104736,0.0406150594156343,0.03559818232473314,0.10460464398720108,0.14216688024715524,3.9936556015777125
M1_LORO,ALL_12_REFRIGERANTS,M0,D6,140,0.0407996397917297,0.0531719346998025,0.0465246212671216,0.11057064318164647,0.1694256364292972,3.641633866432531
M1_LORO,ALL_12_REFRIGERANTS,M0,D7,140,0.0532495502527171,0.066360628344866,0.059155086856276434,0.06508744027099703,0.07900828410890956,1.3356126802901764
M1_LORO,ALL_12_REFRIGERANTS,M0,D8,140,0.0664455091528183,0.0874148800975967,0.07678236731614001,0.08314161035897474,0.10609009461421942,1.3816986675783152
M1_LORO,ALL_12_REFRIGERANTS,M0,D9,140,0.0874174697522382,0.1282053151367592,0.10383452123363912,0.10268313157571742,0.12898919300691272,1.2422573097503171
M1_LORO,ALL_12_REFRIGERANTS,M0,D10,141,0.1286229625414452,0.3338017910677852,0.18318343633729947,0.1298336498122266,0.1792176823690405,0.978350913993355
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,D1,141,0.000619741899524,0.0106008166704906,0.008092805832206755,0.026012744553261614,0.03925437650921285,4.8505274095410895
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,D2,140,0.0107126770119127,0.0151729675141197,0.0129690126901565,0.04150819739443246,0.05916962684471552,4.562384836713543
