dataset,split,mode,distance_metric,n_species,spearman_dist_to_sigma,p_val_sigma,spearman_dist_to_mae,p_val_mae
Split_B,B1,M0,D_FP,7,0.10811249552346709,0.8175332656241182,0.23424374030084538,0.6131550369752419
Split_B,B1,M0,D_phys,7,-0.2522624895547565,0.585241090716058,0.09009374626955591,0.8476720796198264
Split_B,B1,Mreduced,D_FP,7,0.10811249552346709,0.8175332656241182,-0.054056247761733546,0.9083652825239955
Split_B,B1,Mreduced,D_phys,7,0.396412483586046,0.37863470950041306,0.4504687313477795,0.310429301851323
Split_B,B1,Mthermo,D_FP,7,-0.594618725379069,0.1590899937011847,-0.054056247761733546,0.9083652825239955
Split_B,B1,Mthermo,D_phys,7,0.48650622985560193,0.268248562317831,0.4504687313477795,0.310429301851323
M1_LORO,ALL_12_REFRIGERANTS,M0,D_FP,12,-0.16313697954690864,0.612439283185475,-0.1418582430842684,0.6600947535200516
M1_LORO,ALL_12_REFRIGERANTS,M0,D_thermo,12,-0.2377622377622378,0.45680085263992326,-0.5454545454545455,0.06661188226688901
M1_LORO,ALL_12_REFRIGERANTS,M0,D_phys,12,-0.4755244755244756,0.11817595701303207,0.1328671328671329,0.6805975082860817
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,D_FP,12,-0.27662357401432336,0.3840906129730415,0.12767241877584157,0.6925353379991641
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,D_thermo,12,-0.4125874125874127,0.18256397857316675,-0.2797202797202798,0.37856866966230307
M1_LORO,ALL_12_REFRIGERANTS,Mreduced,D_phys,12,0.18881118881118883,0.5567370561768314,-0.07692307692307693,0.8121826980280591
