dataset,split,mode,quantile,n_samples,sigma_range,mean_sigma,mean_mae
M1_LORO,loro_R125,M0,Q1,43,"[0.0061, 0.0246]",0.019088683995263377,0.037932848131695625
M1_LORO,loro_R125,M0,Q2,42,"[0.0246, 0.0289]",0.026892317257549238,0.07833839320533334
M1_LORO,loro_R125,M0,Q3,42,"[0.0289, 0.0352]",0.03099375846142069,0.10172167834604073
M1_LORO,loro_R125,M0,Q4,43,"[0.0352, 0.0697]",0.044565755429317865,0.16516761988141512
M1_LORO,loro_R125,Mreduced,Q1,43,"[0.0006, 0.0180]",0.012400468716766028,0.019628771828205948
M1_LORO,loro_R125,Mreduced,Q2,42,"[0.0180, 0.0266]",0.022942814665033798,0.018974719762003843
M1_LORO,loro_R125,Mreduced,Q3,42,"[0.0266, 0.0381]",0.03257206708233439,0.04256320953635233
M1_LORO,loro_R125,Mreduced,Q4,43,"[0.0381, 0.1071]",0.056677425925825364,0.04044037397171176
M1_LORO,loro_R134,M0,Q1,23,"[0.0000, 0.0281]",0.01148016242306255,0.08116286669898291
M1_LORO,loro_R134,M0,Q2,23,"[0.0281, 0.1080]",0.06220760828140503,0.13619831459515772
M1_LORO,loro_R134,M0,Q3,23,"[0.1080, 0.1540]",0.1317731134236525,0.16318388872820397
M1_LORO,loro_R134,M0,Q4,23,"[0.1540, 0.2320]",0.1871475031280814,0.3120632839267669
M1_LORO,loro_R134,Mreduced,Q1,23,"[0.0050, 0.0199]",0.014870848680943282,0.0553645615344462
M1_LORO,loro_R134,Mreduced,Q2,23,"[0.0199, 0.0297]",0.023973789462003757,0.09115660704834305
M1_LORO,loro_R134,Mreduced,Q3,23,"[0.0297, 0.0569]",0.04055399553432228,0.20068516827633848
M1_LORO,loro_R134,Mreduced,Q4,23,"[0.0569, 0.1387]",0.10260593507450237,0.27144259059720716
M1_LORO,loro_R134a,M0,Q1,72,"[0.0024, 0.0107]",0.007888643599674757,0.14015130207408222
M1_LORO,loro_R134a,M0,Q2,72,"[0.0107, 0.0152]",0.012920444108997647,0.07531211768218782
M1_LORO,loro_R134a,M0,Q3,72,"[0.0152, 0.0211]",0.018053009674934756,0.10652687377684439
M1_LORO,loro_R134a,M0,Q4,72,"[0.0211, 0.0519]",0.03145460988352795,0.3118555919836379
