dataset,split,mode,coverage,retained_samples,retained_mae,risk_reduction_pct
M1_LORO,loro_R125,M0,1.0,170,0.09585790076306748,0.0
M1_LORO,loro_R125,M0,0.95,162,0.09165318926155315,4.386400565882555
M1_LORO,loro_R125,M0,0.9,153,0.08633364716657359,9.93580447795852
M1_LORO,loro_R125,M0,0.85,144,0.08171291556807572,14.756201713569753
M1_LORO,loro_R125,M0,0.8,136,0.07665124024514466,20.036596216931592
M1_LORO,loro_R125,M0,0.75,128,0.07292606753126166,23.92273672723813
M1_LORO,loro_R125,M0,0.7,119,0.07059325602692121,26.35635094763137
M1_LORO,loro_R125,M0,0.6,102,0.06600118217300442,31.146852113797152
M1_LORO,loro_R125,M0,0.5,85,0.057897940991610726,39.60024105397697
M1_LORO,loro_R125,Mreduced,1.0,170,0.030397448823102476,0.0
M1_LORO,loro_R125,Mreduced,0.95,162,0.03105718118474922,-2.170354379033736
M1_LORO,loro_R125,Mreduced,0.9,153,0.03080010856608282,-1.3246497932231625
M1_LORO,loro_R125,Mreduced,0.85,144,0.027197586287931903,10.526747010224861
M1_LORO,loro_R125,Mreduced,0.8,136,0.027321657613227964,10.118583397488504
M1_LORO,loro_R125,Mreduced,0.75,128,0.027066254415876755,10.958796004926466
M1_LORO,loro_R125,Mreduced,0.7,119,0.026627001414631153,12.403828460780995
M1_LORO,loro_R125,Mreduced,0.6,102,0.021631646299889926,28.83729675547778
M1_LORO,loro_R125,Mreduced,0.5,85,0.019305593160200203,36.489429515783286
M1_LORO,loro_R134,M0,1.0,92,0.17315208848727787,0.0
M1_LORO,loro_R134,M0,0.95,87,0.15464747353703126,10.68691409494966
M1_LORO,loro_R134,M0,0.9,83,0.14455142901783966,16.51765203602474
M1_LORO,loro_R134,M0,0.85,78,0.1384241528140429,20.056319260501756
M1_LORO,loro_R134,M0,0.8,74,0.13589920074351738,21.514547164412395
M1_LORO,loro_R134,M0,0.75,69,0.12684835667411484,26.741653662794327
M1_LORO,loro_R134,M0,0.7,64,0.12062150569399818,30.337828005545138
M1_LORO,loro_R134,M0,0.6,55,0.1161060008542104,32.945653807264854
M1_LORO,loro_R134,M0,0.5,46,0.1086805906470703,37.23402842175047
M1_LORO,loro_R134,Mreduced,1.0,92,0.15466223186408373,0.0
M1_LORO,loro_R134,Mreduced,0.95,87,0.13911758049594602,10.050709330121563
M1_LORO,loro_R134,Mreduced,0.9,83,0.13056828496102468,15.578429596330064
M1_LORO,loro_R134,Mreduced,0.85,78,0.125139498221091,19.088521668908246
M1_LORO,loro_R134,Mreduced,0.8,74,0.12407901462268185,19.774198828501476
M1_LORO,loro_R134,Mreduced,0.75,69,0.11573544561970925,25.168902436752056
M1_LORO,loro_R134,Mreduced,0.7,64,0.10568463777308351,31.667455913892052
M1_LORO,loro_R134,Mreduced,0.6,55,0.08713611309162596,43.66038040353597
M1_LORO,loro_R134,Mreduced,0.5,46,0.07326058429139466,52.63188471521888
M1_LORO,loro_R134a,M0,1.0,288,0.15846147137918806,0.0
M1_LORO,loro_R134a,M0,0.95,274,0.14558548495627222,8.125625939762003
M1_LORO,loro_R134a,M0,0.9,259,0.1386536362087426,12.500095447837026
M1_LORO,loro_R134a,M0,0.85,245,0.1228752636756482,22.457325048045504
M1_LORO,loro_R134a,M0,0.8,230,0.11160933994394526,29.566891577782133
M1_LORO,loro_R134a,M0,0.75,216,0.10733009784437147,32.267385308105915
M1_LORO,loro_R134a,M0,0.7,202,0.10486834660935503,33.82091829854852
M1_LORO,loro_R134a,M0,0.6,173,0.10266182660192487,35.21338297038669
M1_LORO,loro_R134a,M0,0.5,144,0.10773170987813502,32.01394071348738
M1_LORO,loro_R134a,Mreduced,1.0,288,0.0821671038895147,0.0
M1_LORO,loro_R134a,Mreduced,0.95,274,0.07592837920677543,7.592727974358347
M1_LORO,loro_R134a,Mreduced,0.9,259,0.0672973935528295,18.096914254979257
M1_LORO,loro_R134a,Mreduced,0.85,245,0.060444672574878344,26.436895407492077
M1_LORO,loro_R134a,Mreduced,0.8,230,0.053107296091139955,35.366717850308774
