sample_id,dataset,split,mode,cation,anion,species,species_type,refrigerant,T_K,P_MPa,true_x1,pred_mu,pred_sigma,abs_error
[emim]__[OTf]__R32__273.21__0.101,Split_B,B1,M0,emim,OTf,OTF,anion,R32,273.21,0.101,0.1230000033974647,0.1285747587680816,0.005124349327424806,0.005574755370616913
[emim]__[OTf]__R32__273.14__0.195,Split_B,B1,M0,emim,OTf,OTF,anion,R32,273.14,0.195,0.2039999961853027,0.25460322499275206,0.009175159461748864,0.05060322880744936
[emim]__[OTf]__R32__273.15__0.297,Split_B,B1,M0,emim,OTf,OTF,anion,R32,273.15,0.297,0.2849999964237213,0.38257524371147156,0.009192808220600604,0.09757524728775024
[emim]__[OTf]__R32__273.16__0.399,Split_B,B1,M0,emim,OTf,OTF,anion,R32,273.16,0.399,0.3689999878406524,0.4801774561405182,0.011341247776186282,0.1111774682998658
[emim]__[OTf]__R32__273.16__0.494,Split_B,B1,M0,emim,OTf,OTF,anion,R32,273.16,0.494,0.4460000097751617,0.5498358368873596,0.014860465332882983,0.10383582711219791
[emim]__[OTf]__R32__273.19__0.59,Split_B,B1,M0,emim,OTf,OTF,anion,R32,273.19,0.59,0.531000018119812,0.6079991340637207,0.019023230368195636,0.07699911594390874
[emim]__[OTf]__R32__273.16__0.692,Split_B,B1,M0,emim,OTf,OTF,anion,R32,273.16,0.692,0.6299999952316284,0.6606375694274902,0.022080707678594054,0.030637574195861772
[emim]__[OTf]__R32__298.16__0.102,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.16,0.102,0.0610000006854534,0.06064112111926077,0.006558998314677551,0.0003588795661926339
[emim]__[OTf]__R32__298.14__0.204,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.14,0.204,0.1159999966621398,0.12859885692596432,0.003888031250658565,0.012598860263824521
[emim]__[OTf]__R32__298.14__0.305,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.14,0.305,0.1739999949932098,0.19466035664081574,0.003205067534361517,0.02066036164760593
[emim]__[OTf]__R32__298.15__0.397,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.15,0.397,0.2240000069141388,0.25032131373882294,0.004628961230820178,0.026321306824684143
[emim]__[OTf]__R32__298.12__0.505,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.12,0.505,0.2739999890327453,0.3127143085002899,0.0069309246998005055,0.03871431946754461
[emim]__[OTf]__R32__298.16__0.603,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.16,0.603,0.3210000097751617,0.36820980310440066,0.009444751075600116,0.04720979332923897
[emim]__[OTf]__R32__298.15__0.698,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.15,0.698,0.3630000054836273,0.4199203133583069,0.011385205676243708,0.056920307874679554
[emim]__[OTf]__R32__298.16__0.799,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.16,0.799,0.4070000052452087,0.46932430267333985,0.014605315779980303,0.06232429742813117
[emim]__[OTf]__R32__298.11__0.857,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.11,0.857,0.4320000112056732,0.4944754302501678,0.015463033800842291,0.06247541904449461
[emim]__[OTf]__R32__323.13__0.097,Split_B,B1,M0,emim,OTf,OTF,anion,R32,323.13,0.097,0.0390000008046627,0.0413021340966224,0.00554444652947764,0.0023021332919597043
[emim]__[OTf]__R32__323.2__0.195,Split_B,B1,M0,emim,OTf,OTF,anion,R32,323.2,0.195,0.0729999989271164,0.07537498921155922,0.005484082015402071,0.002374990284442824
[emim]__[OTf]__R32__323.2__0.303,Split_B,B1,M0,emim,OTf,OTF,anion,R32,323.2,0.303,0.1089999973773956,0.11470166742801664,0.004559512446607263,0.005701670050621041
[emim]__[OTf]__R32__323.16__0.399,Split_B,B1,M0,emim,OTf,OTF,anion,R32,323.16,0.399,0.135000005364418,0.14540301561355587,0.003528984994930147,0.010403010249137867
[emim]__[OTf]__R32__323.14__0.501,Split_B,B1,M0,emim,OTf,OTF,anion,R32,323.14,0.501,0.1710000038146972,0.17677272260189053,0.005667933502491961,0.0057727187871933205
[emim]__[OTf]__R32__323.17__0.598,Split_B,B1,M0,emim,OTf,OTF,anion,R32,323.17,0.598,0.1969999969005584,0.20752282738685607,0.00877920484621443,0.01052283048629768
[emim]__[OTf]__R32__348.14__0.107,Split_B,B1,M0,emim,OTf,OTF,anion,R32,348.14,0.107,0.0289999991655349,0.03454941958189004,0.004803303252467686,0.005549420416355141
[emim]__[OTf]__R32__348.16__0.209,Split_B,B1,M0,emim,OTf,OTF,anion,R32,348.16,0.209,0.0520000010728836,0.059738043695688206,0.003815745752990979,0.007738042622804607
[emim]__[OTf]__R32__348.16__0.311,Split_B,B1,M0,emim,OTf,OTF,anion,R32,348.16,0.311,0.0750000029802322,0.0815284982323646,0.0038895248991190714,0.0065284952521324074
[emim]__[OTf]__R32__348.15__0.408,Split_B,B1,M0,emim,OTf,OTF,anion,R32,348.15,0.408,0.096000000834465,0.10335776507854455,0.0046852005608319725,0.007357764244079551
[emim]__[OTf]__R32__348.15__0.51,Split_B,B1,M0,emim,OTf,OTF,anion,R32,348.15,0.51,0.1140000000596046,0.12419062405824657,0.0057493934059184865,0.01019062399864197
[emim]__[OTf]__R32__303.15__0.0402,Split_B,B1,M0,emim,OTf,OTF,anion,R32,303.15,0.0402,0.0229000002145767,0.025135695189237563,0.0057830536632027954,0.0022356949746608623
[emim]__[OTf]__R32__303.15__0.0902,Split_B,B1,M0,emim,OTf,OTF,anion,R32,303.15,0.0902,0.0526000000536441,0.04879144132137296,0.0063977477578129665,0.003808558732271136
[emim]__[OTf]__R32__303.15__0.1536,Split_B,B1,M0,emim,OTf,OTF,anion,R32,303.15,0.1536,0.0888999998569488,0.08464360833168026,0.0063169341688160295,0.004256391525268535
[emim]__[OTf]__R32__303.15__0.2307,Split_B,B1,M0,emim,OTf,OTF,anion,R32,303.15,0.2307,0.1308999955654144,0.1294052273035049,0.003359111197685572,0.0014947682619095015
[emim]__[OTf]__R32__303.15__0.3117,Split_B,B1,M0,emim,OTf,OTF,anion,R32,303.15,0.3117,0.1722999960184097,0.17376008629798884,0.0033441915662105266,0.0014600902795791348
[emim]__[OTf]__R32__303.15__0.3908,Split_B,B1,M0,emim,OTf,OTF,anion,R32,303.15,0.3908,0.2135999947786331,0.21440815031528468,0.004516189496410467,0.0008081555366515891
[emim]__[OTf]__R32__303.15__0.444,Split_B,B1,M0,emim,OTf,OTF,anion,R32,303.15,0.444,0.2380000054836273,0.24086799621582028,0.004561640825013296,0.0028679907321929876
[emim]__[OTf]__R32__303.15__0.5093,Split_B,B1,M0,emim,OTf,OTF,anion,R32,303.15,0.5093,0.2689000070095062,0.2739961862564087,0.006582312228771564,0.005096179246902477
[emim]__[OTf]__R32__298.15__0.0492,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.15,0.0492,0.0296000000089406,0.031277022138237895,0.005344705235351401,0.0016770221292972953
[emim]__[OTf]__R32__298.15__0.0561,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.15,0.0561,0.0335999988019466,0.0347158376127481,0.005407250446518118,0.0011158388108015033
[emim]__[OTf]__R32__298.15__0.1729,Split_B,B1,M0,emim,OTf,OTF,anion,R32,298.15,0.1729,0.1006999984383583,0.10777411162853237,0.005094715273819877,0.007074113190174064
