sample_id,npy_idx,cation,anion,refrigerant,T_K,P_MPa,x1,pair,split_composite,split_star
[emim]__[Ac]__R32__303.15__0.0294,0,[emim],[Ac],R32,303.15,0.0294,0.0117,EMIM__AC,train,train
[emim]__[Ac]__R32__303.15__0.0928,1,[emim],[Ac],R32,303.15,0.0928,0.0444,EMIM__AC,train,train
[emim]__[Ac]__R32__303.15__0.2102,2,[emim],[Ac],R32,303.15,0.2102,0.1056,EMIM__AC,train,train
[emim]__[Ac]__R32__303.15__0.2507,3,[emim],[Ac],R32,303.15,0.2507,0.1223,EMIM__AC,train,train
[emim]__[Ac]__R32__303.15__0.3221,4,[emim],[Ac],R32,303.15,0.3221,0.1505,EMIM__AC,val,train
[emim]__[Ac]__R32__303.15__0.3539,5,[emim],[Ac],R32,303.15,0.3539,0.1633,EMIM__AC,train,train
[emim]__[Ac]__R32__303.15__0.4248,6,[emim],[Ac],R32,303.15,0.4248,0.1897,EMIM__AC,train,train
[emim]__[Ac]__R32__303.15__0.4277,7,[emim],[Ac],R32,303.15,0.4277,0.1899,EMIM__AC,train,train
[emim]__[Ac]__R32__303.15__0.5246,8,[emim],[Ac],R32,303.15,0.5246,0.2229,EMIM__AC,train,val
[emim]__[Ac]__R134a__303.15__0.0259,9,[emim],[Ac],R134a,303.15,0.0259,0.0111,EMIM__AC,train,train
[emim]__[Ac]__R134a__303.15__0.0503,10,[emim],[Ac],R134a,303.15,0.0503,0.0266,EMIM__AC,train,train
[emim]__[Ac]__R134a__303.15__0.0902,11,[emim],[Ac],R134a,303.15,0.0902,0.0455,EMIM__AC,train,train
[emim]__[Ac]__R134a__303.15__0.1477,12,[emim],[Ac],R134a,303.15,0.1477,0.0857,EMIM__AC,val,train
[emim]__[Ac]__R134a__303.15__0.2,13,[emim],[Ac],R134a,303.15,0.2,0.1115,EMIM__AC,train,train
[emim]__[Ac]__R134a__303.15__0.245,14,[emim],[Ac],R134a,303.15,0.245,0.1407,EMIM__AC,train,train
[emim]__[Ac]__R134a__303.15__0.2963,15,[emim],[Ac],R134a,303.15,0.2963,0.1662,EMIM__AC,train,train
[emim]__[Ac]__R134a__303.15__0.3454,16,[emim],[Ac],R134a,303.15,0.3454,0.1986,EMIM__AC,train,train
[emim]__[Ac]__R134a__303.15__0.4017,17,[emim],[Ac],R134a,303.15,0.4017,0.2288,EMIM__AC,train,train
[emim]__[Ac]__R134a__303.15__0.4545,18,[emim],[Ac],R134a,303.15,0.4545,0.2616,EMIM__AC,train,train
[emim]__[Ac]__R134a__303.15__0.5007,19,[emim],[Ac],R134a,303.15,0.5007,0.2851,EMIM__AC,train,train
[emim]__[Ac]__R125__303.15__0.0486,20,[emim],[Ac],R125,303.15,0.0486,0.0168,EMIM__AC,train,train
[emim]__[Ac]__R125__303.15__0.0956,21,[emim],[Ac],R125,303.15,0.0956,0.0465,EMIM__AC,train,train
[emim]__[Ac]__R125__303.15__0.1488,22,[emim],[Ac],R125,303.15,0.1488,0.0698,EMIM__AC,train,train
[emim]__[Ac]__R125__303.15__0.2054,23,[emim],[Ac],R125,303.15,0.2054,0.1062,EMIM__AC,train,train
[emim]__[Ac]__R125__303.15__0.2399,24,[emim],[Ac],R125,303.15,0.2399,0.1248,EMIM__AC,train,train
[emim]__[Ac]__R125__303.15__0.3034,25,[emim],[Ac],R125,303.15,0.3034,0.1724,EMIM__AC,val,train
[emim]__[Ac]__R125__303.15__0.3499,26,[emim],[Ac],R125,303.15,0.3499,0.2009,EMIM__AC,train,train
[emim]__[Ac]__R125__303.15__0.3969,27,[emim],[Ac],R125,303.15,0.3969,0.2399,EMIM__AC,train,train
[emim]__[Ac]__R125__303.15__0.4553,28,[emim],[Ac],R125,303.15,0.4553,0.2833,EMIM__AC,train,train
[emim]__[Ac]__R125__303.15__0.494,29,[emim],[Ac],R125,303.15,0.494,0.3067,EMIM__AC,train,val
[emim]__[BEI]__R32__283.15__0.0101,30,[emim],[BEI],R32,283.15,0.0101,0.0139999999999999,EMIM__BEI,train,train
[emim]__[BEI]__R32__283.15__0.1,31,[emim],[BEI],R32,283.15,0.1,0.145,EMIM__BEI,train,train
[emim]__[BEI]__R32__283.15__0.2495,32,[emim],[BEI],R32,283.15,0.2495,0.325,EMIM__BEI,train,train
[emim]__[BEI]__R32__283.15__0.3995,33,[emim],[BEI],R32,283.15,0.3995,0.47,EMIM__BEI,val,train
[emim]__[BEI]__R32__283.15__0.5496,34,[emim],[BEI],R32,283.15,0.5496,0.593,EMIM__BEI,train,train
[emim]__[BEI]__R32__283.15__0.6994,35,[emim],[BEI],R32,283.15,0.6994,0.703,EMIM__BEI,train,train
[emim]__[BEI]__R32__283.15__0.8505,36,[emim],[BEI],R32,283.15,0.8505,0.802,EMIM__BEI,train,train
[emim]__[BEI]__R32__298.15__0.0096,37,[emim],[BEI],R32,298.15,0.0096,0.01,EMIM__BEI,train,train
[emim]__[BEI]__R32__298.15__0.0997,38,[emim],[BEI],R32,298.15,0.0997,0.104,EMIM__BEI,train,train
[emim]__[BEI]__R32__298.15__0.2496,39,[emim],[BEI],R32,298.15,0.2496,0.238,EMIM__BEI,train,train
[emim]__[BEI]__R32__298.15__0.3996,40,[emim],[BEI],R32,298.15,0.3996,0.349,EMIM__BEI,train,train
[emim]__[BEI]__R32__298.15__0.5493,41,[emim],[BEI],R32,298.15,0.5493,0.445,EMIM__BEI,train,train
[emim]__[BEI]__R32__298.15__0.6993,42,[emim],[BEI],R32,298.15,0.6993,0.529,EMIM__BEI,train,train
