sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,ae_a,ae_b,delta_ae,pred_a,pred_b
[emim]__[Ac]__R32__303.15__0.5246,8,8,[emim],[Ac],R32,303.15,0.5246,0.2229,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.015675430000000018,0.002051000000000025,0.013624429999999993,0.23857543,0.224951
[emim]__[Ac]__R134a__303.15__0.2,13,13,[emim],[Ac],R134a,303.15,0.2,0.1115,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.0027307099999999973,0.015507480000000004,-0.012776770000000007,0.10876929,0.12700748
[emim]__[Ac]__R125__303.15__0.2054,23,23,[emim],[Ac],R125,303.15,0.2054,0.1062,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.011500756,0.026482980000000003,-0.014982224000000002,0.117700756,0.13268298
[emim]__[BEI]__R32__298.15__0.5493,41,41,[emim],[BEI],R32,298.15,0.5493,0.445,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.011514520000000028,0.01508290000000001,-0.003568379999999982,0.43348548,0.4299171
[emim]__[BEI]__R32__323.15__0.6995,50,50,[emim],[BEI],R32,323.15,0.6995,0.348,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.011277599999999999,0.016587539999999956,-0.0053099399999999575,0.3367224,0.33141246
[emim]__[BEI]__R32__323.15__0.9993,52,52,[emim],[BEI],R32,323.15,0.9993,0.4539999999999999,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.005989850000000019,0.011277800000000004,-0.005287949999999986,0.44801015,0.4427222
[emim]__[BEI]__R32__348.05__0.9994,60,60,[emim],[BEI],R32,348.05,0.9994,0.321,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.0020613500000000173,0.003532499999999994,-0.0014711499999999766,0.32306135,0.3174675
[emim]__[BEI]__R134__283.149__0.25,66,66,[emim],[BEI],R134,283.149,0.25,0.823,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.004246599999999989,0.00564639999999994,-0.001399799999999951,0.8187534,0.8173536
[emim]__[BEI]__R134__298.229__0.3,74,74,[emim],[BEI],R134,298.229,0.3,0.677,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.021829699999999952,0.026428999999999925,-0.004599299999999973,0.6988297,0.703429
[emim]__[BEI]__R134__323.132__0.3,82,82,[emim],[BEI],R134,323.13199999999995,0.3,0.407,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.009460599999999986,0.0014197799999999816,0.008040820000000004,0.3975394,0.40558022
[emim]__[BEI]__R134__348.148__0.05,85,85,[emim],[BEI],R134,348.148,0.05,0.048,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.0038135299999999955,0.004717335999999996,-0.000903806,0.05181353,0.052717336
[emim]__[BEI]__R134a__283.15__0.1502,95,95,[emim],[BEI],R134a,283.15,0.1502,0.368,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.01673964,0.022905679999999984,-0.006166039999999984,0.35126036,0.34509432
[emim]__[BEI]__R134a__298.1__0.2503,105,105,[emim],[BEI],R134a,298.1,0.2503,0.37,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.011489650000000018,0.004319130000000004,0.0071705200000000135,0.35851035,0.36568087
[emim]__[BEI]__R134a__348.1__0.1004,118,118,[emim],[BEI],R134a,348.1,0.1004,0.053,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.0016647050000000024,0.006202123000000004,-0.004537418000000001,0.054664705,0.059202123
[emim]__[BF4]__R32__283.15__0.0379,124,124,[emim],[BF4],R32,283.15,0.0379,0.026,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.009558430000000003,0.011943490000000005,-0.0023850600000000013,0.03555843,0.03794349
[emim]__[BF4]__R32__283.15__0.6549,129,129,[emim],[BF4],R32,283.15,0.6549,0.46,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.0019888200000000023,0.003165269999999998,-0.0011764499999999956,0.45801118,0.45683473
[emim]__[BF4]__R32__283.15__0.7509,131,131,[emim],[BF4],R32,283.15,0.7509,0.5245,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.010863650000000002,0.019094500000000014,-0.008230850000000012,0.51363635,0.5054055
[emim]__[BF4]__R32__323.15__0.6768,154,154,[emim],[BF4],R32,323.15,0.6768,0.1551,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.010615370000000013,0.014941980000000021,-0.0043266100000000085,0.16571537,0.17004198
[emim]__[BF4]__R134a__283.15__0.2517,159,159,[emim],[BF4],R134a,283.15,0.2517,0.2073,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.014860279999999976,0.03422594999999998,-0.01936567,0.22216028,0.24152595
[emim]__[BF4]__R134a__283.15__0.389,166,166,[emim],[BF4],R134a,283.15,0.389,0.4096,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.045091130000000035,0.02700857000000001,0.018082560000000025,0.36450887,0.38259143
[emim]__[BF4]__R134a__303.15__0.3952,178,178,[emim],[BF4],R134a,303.15,0.3952,0.1607,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.014845600000000014,0.01884575999999999,-0.004000159999999975,0.1458544,0.17954576
[emim]__[BF4]__R134a__323.15__0.4084,189,189,[emim],[BF4],R134a,323.15,0.4084,0.0805,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.012215699999999996,0.0032028850000000025,0.009012814999999993,0.0682843,0.083702885
[emim]__[BF4]__R125__333.15__0.586,202,202,[emim],[BF4],R125,333.15,0.5860000000000001,0.0465,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.011602226,0.004436663,0.007165563,0.034897774,0.042063337
[emim]__[BF4]__R125__353.15__0.132,215,215,[emim],[BF4],R125,353.15,0.132,0.0105,F[B-](F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.003049240600000001,0.007624833999999999,-0.004575593399999998,0.0074507594,0.018124834
[emim]__[OTf]__R32__273.16__0.399,220,220,[emim],[OTf],R32,273.16,0.399,0.369,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.03602164000000002,0.03236169999999999,0.003659940000000028,0.40502164,0.4013617
[emim]__[OTf]__R32__298.14__0.204,225,225,[emim],[OTf],R32,298.14,0.204,0.116,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.00937897,0.013353909999999983,-0.003974939999999982,0.12537897,0.12935391
[emim]__[OTf]__R32__298.12__0.505,228,228,[emim],[OTf],R32,298.12,0.505,0.274,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.0023009999999999975,0.00394158,-0.0016405800000000026,0.271699,0.27794158
[emim]__[OTf]__R32__323.17__0.598,238,238,[emim],[OTf],R32,323.17,0.598,0.197,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.00570511999999998,0.011444330000000003,-0.005739210000000022,0.20270512,0.20844433
[emim]__[OTf]__R152a__298.15__0.173,263,263,[emim],[OTf],R152a,298.15,0.173,0.135,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.031220250000000005,0.035017909999999985,-0.0037976599999999805,0.16622025,0.17001791
[emim]__[OTf]__R152a__323.14__0.116,267,267,[emim],[OTf],R152a,323.14,0.116,0.061,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.007609920000000006,0.015452753999999999,-0.007842833999999993,0.06860992,0.076452754
[emim]__[OTf]__R152a__323.14__0.756,273,273,[emim],[OTf],R152a,323.14,0.756,0.473,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,CC(F)F,Table S3. VLE HFCs,0.046958639999999996,0.05614322999999999,-0.009184589999999992,0.42604136,0.41685677
[emim]__[OTf]__R134a__293.15__0.3653,305,305,[emim],[OTf],R134a,293.15,0.3653,0.3483,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.022539699999999996,0.008705130000000005,0.01383456999999999,0.3257603,0.33959487
[emim]__[OTf]__R134a__303.15__0.2178,308,308,[emim],[OTf],R134a,303.15,0.2178,0.1403,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.013606410000000013,0.01761003,-0.0040036199999999855,0.12669359,0.15791003
[emim]__[OTf]__R134a__313.15__0.1247,313,313,[emim],[OTf],R134a,313.15,0.1247,0.0574,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.003517329999999999,0.013225510000000003,-0.009708180000000004,0.06091733,0.07062551
[emim]__[OTf]__R134a__313.15__0.4049,317,317,[emim],[OTf],R134a,313.15,0.4049,0.1869,FC(F)(F)S(=O)(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.0022409800000000035,0.02374179999999998,-0.021500819999999976,0.18465902,0.2106418
