model_key,Control_Gap_EZ,Stereo_Gap_EZ,Delta_Gap_EZ,Gap_Bootstrap_CI_95
V6_Seed42,0.06071704626083374,0.060717031359672546,-1.4901161193847656e-08,"[-5.96e-08, +5.96e-08]"
V7A_Seed42,0.04273015260696411,0.042733922600746155,3.769993782043457e-06,"[-3.96e-06, +4.25e-06]"
V7A_Seed43,0.026803091168403625,0.02680937945842743,6.288290023803711e-06,"[-6.90e-06, +7.05e-06]"
V7A_Seed44,0.045347660779953,0.0453498512506485,2.1904706954956055e-06,"[-7.65e-06, +1.24e-05]"
V7A_Seed45,0.022872596979141235,0.022870957851409912,-1.6391277313232422e-06,"[-2.03e-06, +2.00e-06]"
V7A_Seed46,0.00853341817855835,0.008543550968170166,1.0132789611816406e-05,"[-1.07e-05, +1.07e-05]"
V7A_Ensemble,0.011118292808532715,0.011121600866317749,3.3080577850341797e-06,"[-4.71e-06, +5.25e-06]"
V7B_Seed42,0.04933573305606842,0.04933330416679382,-2.428889274597168e-06,"[-2.70e-06, +2.62e-06]"
V7B_Seed43,0.07455955445766449,0.07455654442310333,-3.0100345611572266e-06,"[-3.16e-06, +3.04e-06]"
V7B_Seed44,0.021467894315719604,0.021467506885528564,-3.8743019104003906e-07,"[-4.77e-07, +4.77e-07]"
V7B_Seed45,0.05686533451080322,0.056855931878089905,-9.402632713317871e-06,"[-1.01e-05, +9.73e-06]"
V7B_Seed46,0.046254947781562805,0.04625070095062256,-4.246830940246582e-06,"[-4.46e-06, +4.32e-06]"
V7B_Ensemble,0.049696698784828186,0.049692824482917786,-3.874301910400391e-06,"[-4.11e-06, +4.04e-06]"
