model_key,family,seed,cohort,N,Control_MAE,Stereo_MAE,Delta_MAE,Bootstrap_CI_95,Control_R2,Stereo_R2,Delta_R2,Mean_Pert_True,Max_Pert_True,Mean_Pert_Z(s=2),Mean_Pert_E(s=3),Mean_Pert_Null_Unseen,Specificity_Ratio
V6_Seed42,V6-M0-Stereo,42,R1336mzz(E),11,0.169450581073761,0.169450581073761,0.0,"[-2.17e-08, +3.25e-08]",-18.124130249023438,-18.124134063720703,-3.814697265625e-06,3.5220924843315515e-08,8.940696716308594e-08,2.30290666536348e-08,3.5220924843315515e-08,2.79961209770363e-08,1.2580195253720658
V6_Seed42,V6-M0-Stereo,42,R1336mzz(Z),12,0.23016762733459473,0.23016761243343353,-1.4901161193847656e-08,"[-1.99e-08, +1.99e-08]",-2.1715457439422607,-2.1715457439422607,0.0,2.60770320892334e-08,8.940696716308594e-08,2.60770320892334e-08,3.8494665233201886e-08,2.4835268064293814e-08,1.0499577481499076
V6_Seed42,V6-M0-Stereo,42,R1336mzz(Combined),23,0.20112904906272888,0.20112904906272888,0.0,"[-1.30e-08, +2.01e-08]",-0.48196661472320557,-0.48196661472320557,0.0,3.045019880687505e-08,8.940696716308594e-08,2.4619309257900568e-08,3.692896299867243e-08,2.6346981485403376e-08,1.155693798545603
V6_Seed42,V6-M0-Stereo,42,Full HFO Universe,1106,0.05950001999735832,0.05950001999735832,0.0,"[-2.89e-09, -5.86e-10]",0.452742338180542,0.452742338180542,0.0,8.679993612759063e-09,8.940696716308594e-08,2.5517902457750097e-08,2.7966622795361218e-08,2.4846496415875663e-08,0.34933071193495396
V7A_Seed42,V7-A,Seed42,R1336mzz(E),11,0.23469790816307068,0.23469705879688263,-8.493661880493164e-07,"[-1.23e-06, -5.36e-07]",-36.818572998046875,-36.818363189697266,0.000209808349609375,8.886510727279529e-07,1.817941665649414e-06,1.1717730785676395e-06,8.886510727279529e-07,1.202026965074765e-06,0.7392931766547375
V7A_Seed42,V7-A,Seed42,R1336mzz(Z),12,0.2774280607700348,0.2774309813976288,2.9206275939941406e-06,"[+2.60e-06, +3.18e-06]",-3.0768046379089355,-3.0768704414367676,-6.580352783203125e-05,2.905726432800293e-06,3.6656856536865234e-06,2.905726432800293e-06,2.196679588450934e-06,2.958708137157373e-06,0.9820926282709953
V7A_Seed42,V7-A,Seed42,R1336mzz(Combined),23,0.2569919228553772,0.25699299573898315,1.0728836059570312e-06,"[+3.26e-07, +1.96e-06]",-1.180567979812622,-1.180586338043213,-1.8358230590820312e-05,1.941038135555573e-06,3.6656856536865234e-06,2.0764443888765527e-06,1.5711007108620834e-06,2.118556494679069e-06,0.9162074385192044
V7A_Seed42,V7-A,Seed42,Full HFO Universe,1106,0.0636577382683754,0.06365775316953659,1.4901161193847656e-08,"[-9.83e-08, +1.17e-07]",0.15487462282180786,0.15486931800842285,-5.304813385009766e-06,8.390425136894919e-07,1.233816146850586e-05,4.7100702431635e-06,2.3418265300279018e-06,5.227576821198454e-06,0.16050311298802172
V7A_Seed43,V7-A,Seed43,R1336mzz(E),11,0.2449655681848526,0.24496130645275116,-4.26173210144043e-06,"[-4.99e-06, -3.75e-06]",-40.272308349609375,-40.27095413208008,0.001354217529296875,4.305080892663682e-06,6.735324859619141e-06,1.720406771710259e-06,4.305080892663682e-06,4.106850610696711e-06,1.0482679436117592
V7A_Seed43,V7-A,Seed43,R1336mzz(Z),12,0.2717686593532562,0.2717706859111786,2.0265579223632812e-06,"[+1.69e-06, +2.39e-06]",-2.9396543502807617,-2.9397006034851074,-4.6253204345703125e-05,2.0427007711987244e-06,2.8908252716064453e-06,2.0427007711987244e-06,5.3520002438744996e-06,5.101991064293543e-06,0.40037317688019
V7A_Seed43,V7-A,Seed43,R1336mzz(Combined),23,0.25894975662231445,0.25894880294799805,-9.5367431640625e-07,"[-2.33e-06, +4.47e-07]",-1.2056171894073486,-1.2056045532226562,1.2636184692382812e-05,3.124708655377617e-06,6.735324859619141e-06,1.8885601775764371e-06,4.8512997636862565e-06,4.626054760592524e-06,0.6754584936039317
V7A_Seed43,V7-A,Seed43,Full HFO Universe,1106,0.07218427211046219,0.07218354940414429,-7.227063179016113e-07,"[-8.15e-07, -6.25e-07]",-0.06672430038452148,-0.06671833992004395,5.9604644775390625e-06,9.313411055700271e-07,8.314847946166992e-06,3.080661826970754e-06,8.238633199653123e-06,7.798245860612951e-06,0.11942954900209747
V7A_Seed44,V7-A,Seed44,R1336mzz(E),11,0.29360106587409973,0.2936110496520996,9.98377799987793e-06,"[+5.90e-07, +1.90e-05]",-56.28541946411133,-56.28966522216797,-0.004245758056640625,1.4865940102026798e-05,3.4689903259277344e-05,1.4156103134155273e-05,1.4865940102026798e-05,1.3215071703598369e-05,1.1249230659154006
V7A_Seed44,V7-A,Seed44,R1336mzz(Z),12,0.24825340509414673,0.2482611984014511,7.793307304382324e-06,"[+5.48e-06, +9.84e-06]",-2.4025754928588867,-2.4027304649353027,-0.00015497207641601562,7.819384336471558e-06,1.1876225471496582e-05,7.819384336471558e-06,8.148451343004126e-06,7.269696652656421e-06,1.0756134175145888
V7A_Seed44,V7-A,Seed44,R1336mzz(Combined),23,0.26994141936302185,0.2699503004550934,8.881092071533203e-06,"[+4.44e-06, +1.37e-05]",-1.3555223941802979,-1.355663537979126,-0.000141143798828125,1.1189476026629563e-05,3.4689903259277344e-05,1.0849988939298782e-05,1.1361163160472643e-05,1.0113137250300497e-05,1.1064296511814309
V7A_Seed44,V7-A,Seed44,Full HFO Universe,1106,0.0611245296895504,0.061124034225940704,-4.954636096954346e-07,"[-1.18e-06, +1.96e-07]",0.1329212188720703,0.132892906665802,-2.8312206268310547e-05,5.891522960155271e-06,6.0677528381347656e-05,1.0399417078588158e-05,1.1153317245771177e-05,9.766358743945602e-06,0.6032465641875998
V7A_Seed45,V7-A,Seed45,R1336mzz(E),11,0.2627677023410797,0.26276859641075134,8.940696716308594e-07,"[+6.18e-07, +1.30e-06]",-46.32460403442383,-46.32493209838867,-0.00032806396484375,9.292905929214612e-07,2.5331974029541016e-06,9.143894317276136e-07,9.292905929214612e-07,9.338060635855072e-07,0.9951633792030826
V7A_Seed45,V7-A,Seed45,R1336mzz(Z),12,0.28564029932022095,0.28563955426216125,-7.450580596923828e-07,"[-8.52e-07, -5.84e-07]",-3.2394251823425293,-3.239408493041992,1.6689300537109375e-05,7.127721914912399e-07,1.1771917343139648e-06,7.127721914912399e-07,7.313986429835495e-07,7.260177312673477e-07,0.9817545481877796
V7A_Seed45,V7-A,Seed45,R1336mzz(Combined),23,0.27470123767852783,0.2747012972831726,5.960464477539063e-08,"[-3.31e-07, +4.32e-07]",-1.4340760707855225,-1.4340767860412598,-7.152557373046875e-07,8.163244729075814e-07,2.5331974029541016e-06,8.091978429547453e-07,8.260426511697005e-07,8.253947498815251e-07,0.989009784730239
V7A_Seed45,V7-A,Seed45,Full HFO Universe,1106,0.06841326504945755,0.06841271370649338,-5.513429641723633e-07,"[-6.12e-07, -4.92e-07]",-0.05149102210998535,-0.05148434638977051,6.67572021484375e-06,5.718118245567894e-07,5.125999450683594e-06,3.406953692319803e-05,3.425729664741084e-05,3.426192415645346e-05,0.016689424833708878
V7A_Seed46,V7-A,Seed46,R1336mzz(E),11,0.25698333978652954,0.25697892904281616,-4.410743713378906e-06,"[-4.95e-06, -3.94e-06]",-43.499595642089844,-43.49816131591797,0.001434326171875,4.408034328662325e-06,6.467103958129883e-06,4.643743523047306e-06,4.408034328662325e-06,4.595879545377102e-06,0.9591272630217232
V7A_Seed46,V7-A,Seed46,R1336mzz(Z),12,0.2655167579650879,0.26552248001098633,5.7220458984375e-06,"[+5.40e-06, +6.05e-06]",-2.7944090366363525,-2.7945363521575928,-0.00012731552124023438,5.723287813452771e-06,6.541609764099121e-06,5.723287813452771e-06,5.427747964859009e-06,5.661613613483496e-06,1.0108932176030485
V7A_Seed46,V7-A,Seed46,R1336mzz(Combined),23,0.2614355683326721,0.261436402797699,8.344650268554688e-07,"[-1.10e-06, +3.17e-06]",-1.2231850624084473,-1.223198413848877,-1.33514404296875e-05,5.09425353811821e-06,6.541609764099121e-06,5.2069840421609115e-06,4.940058715874329e-06,5.1519145927159116e-06,0.9888076476487254
V7A_Seed46,V7-A,Seed46,Full HFO Universe,1106,0.09319806098937988,0.09319636970758438,-1.691281795501709e-06,"[-1.86e-06, -1.54e-06]",-0.44287943840026855,-0.44286108016967773,1.8358230590820312e-05,1.829302846090286e-06,1.195073127746582e-05,1.863970646809321e-05,1.78693953785114e-05,1.840833283495158e-05,0.09937362406026237
V7A_Ensemble,V7-A,Ensemble,R1336mzz(E),11,0.25860312581062317,0.25860339403152466,2.682209014892578e-07,"[-1.75e-06, +2.21e-06]",-44.316131591796875,-44.31639862060547,-0.00026702880859375,3.0344183414854342e-06,5.513429641723633e-06,2.8664414912782377e-06,3.0344183414854342e-06,2.7815503926831298e-06,1.0909086021086905
V7A_Ensemble,V7-A,Ensemble,R1336mzz(Z),12,0.2697214186191559,0.2697249948978424,3.5762786865234375e-06,"[+3.14e-06, +3.91e-06]",-2.8834009170532227,-2.883479595184326,-7.867813110351562e-05,3.550201654434204e-06,4.5299530029296875e-06,3.550201654434204e-06,4.063049800606677e-06,4.041525698994519e-06,0.8784308304377771
V7A_Ensemble,V7-A,Ensemble,R1336mzz(Combined),23,0.2644039988517761,0.2644059658050537,1.9669532775878906e-06,"[+8.00e-07, +3.19e-06]",-1.2705967426300049,-1.2706291675567627,-3.24249267578125e-05,3.303522589703789e-06,5.513429641723633e-06,3.2231860132014845e-06,3.571095703591709e-06,3.4389290703984443e-06,0.9606251136479299
V7A_Ensemble,V7-A,Ensemble,Full HFO Universe,1106,0.07146311551332474,0.07146244496107101,-6.705522537231445e-07,"[-8.60e-07, -5.18e-07]",-0.01856207847595215,-0.018564462661743164,-2.384185791015625e-06,1.6225559420490754e-06,1.5109777450561523e-05,1.0364310583099723e-05,1.1606631233007647e-05,1.1146756150992587e-05,0.14556304762633063
V7B_Seed42,V7-B,Seed42,R1336mzz(E),11,0.2262699455022812,0.22627145051956177,1.5050172805786133e-06,"[+1.32e-06, +1.77e-06]",-33.105010986328125,-33.105472564697266,-0.000461578369140625,1.5483660718018655e-06,2.1457672119140625e-06,1.7217614640685497e-06,1.5483660718018655e-06,1.8310366840523784e-06,0.8456221765873679
V7B_Seed42,V7-B,Seed42,R1336mzz(Z),12,0.2756056785583496,0.2756047546863556,-9.238719940185547e-07,"[-9.80e-07, -8.49e-07]",-3.009431838989258,-3.0094094276428223,2.2411346435546875e-05,9.102125773097214e-07,1.1175870895385742e-06,9.102125773097214e-07,8.183221211766067e-07,9.665058087193756e-07,0.941754956197107
V7B_Seed42,V7-B,Seed42,R1336mzz(Combined),23,0.2520103454589844,0.2520105838775635,2.384185791015625e-07,"[-2.73e-07, +7.68e-07]",-1.0802204608917236,-1.0802226066589355,-2.1457672119140625e-06,1.2154164323874284e-06,2.1457672119140625e-06,1.2983446140424348e-06,1.1674735560518457e-06,1.379977106807928e-06,0.880750517991077
V7B_Seed42,V7-B,Seed42,Full HFO Universe,1106,0.12333047389984131,0.1233295202255249,-9.5367431640625e-07,"[-1.07e-06, -8.21e-07]",-1.3733105659484863,-1.3732998371124268,1.0728836059570312e-05,1.1020492820534855e-06,9.059906005859375e-06,7.553450359409908e-06,6.844557447038824e-06,7.98665587353753e-06,0.1379863063486481
V7B_Seed43,V7-B,Seed43,R1336mzz(E),11,0.20515991747379303,0.20516233146190643,2.4139881134033203e-06,"[+2.31e-06, +2.55e-06]",-27.43871307373047,-27.43935203552246,-0.0006389617919921875,2.4302439669554587e-06,2.7418136596679688e-06,4.4161623691252316e-07,2.4302439669554587e-06,2.4650132672832115e-06,0.9858944831317045
V7B_Seed43,V7-B,Seed43,R1336mzz(Z),12,0.2797194719314575,0.27971887588500977,-5.960464477539062e-07,"[-6.30e-07, -5.46e-07]",-3.1180901527404785,-3.1180758476257324,1.430511474609375e-05,5.873541226719681e-07,7.003545761108398e-07,5.873541226719681e-07,2.273668769703363e-06,2.295606691404828e-06,0.2558599733182323
V7B_Seed43,V7-B,Seed43,R1336mzz(Combined),23,0.24406053125858307,0.2440614104270935,8.791685104370117e-07,"[+1.88e-07, +1.46e-06]",-0.9993646144866943,-0.9993728399276733,-8.225440979003906e-06,1.4687361726828385e-06,2.7418136596679688e-06,5.176534045858716e-07,2.348552470721188e-06,2.376627435296541e-06,0.6179915004255088
V7B_Seed43,V7-B,Seed43,Full HFO Universe,1106,0.12109901010990143,0.121103934943676,4.92483377456665e-06,"[+4.36e-06, +5.45e-06]",-1.393627405166626,-1.3936834335327148,-5.602836608886719e-05,4.949210051563568e-06,4.00543212890625e-05,1.3404769561020657e-05,2.2950200218474492e-05,2.2840515157440677e-05,0.21668556075740353
