model,coverage,N_retained,risk_MAE
V6,1.0,1106,0.037315526840867995
V6,0.9,996,0.033783977315261046
V6,0.8,885,0.029557828784180788
V6,0.7,775,0.026520037834838712
V6,0.6,664,0.02334425037801205
V6,0.5,553,0.01948088740325497
V6,0.4,443,0.018422498410835215
V6,0.3,332,0.018862720587349398
V6,0.2,222,0.020172193698198195
V6,0.1,111,0.022137687279279276
V7A,1.0,1106,0.05662213338336347
V7A,0.9,996,0.054129886128514056
V7A,0.8,885,0.05113321269152543
V7A,0.7,775,0.046922113104516126
V7A,0.6,664,0.04683909770632531
V7A,0.5,553,0.04586017247016275
V7A,0.4,443,0.04434842413318285
V7A,0.3,332,0.042656909582530114
V7A,0.2,222,0.03545748238288289
V7A,0.1,111,0.030591912900900905
V7B,1.0,1106,0.06078475975018083
V7B,0.9,996,0.05329770829688755
V7B,0.8,885,0.0469756655341243
V7B,0.7,775,0.041647832519612904
V7B,0.6,664,0.03868340493027109
V7B,0.5,553,0.03564581732314648
V7B,0.4,443,0.03379124503769752
V7B,0.3,332,0.032463568728012045
V7B,0.2,222,0.03409424608873874
V7B,0.1,111,0.0362855434009009
