subset,N,mae,rmse,r2,mean_sigma,spearman_rho_error_sigma,spearman_p,pearson_r
ALL_V6_Ensemble,1106,0.037315528839826584,0.06463722105771082,0.6230148077011108,0.03468339517712593,0.33370785383207524,3.550864564550891e-30,0.318280965089798
ALL_V7A_Ensemble,1106,0.056622132658958435,0.08453951653747353,0.35512059926986694,0.027621742337942123,0.20743112390498114,3.247938859370011e-12,0.22955144941806793
ALL_V7B_Ensemble,1106,0.060784757137298584,0.08960210396518825,0.27557170391082764,0.028225714340806007,0.6455614688620519,2.0982277098376627e-131,0.4856169819831848
R1233ZD(E)_V6_Ensemble,90,0.029740439727902412,0.035081704897966574,-0.40740907192230225,0.017193779349327087,-0.6848993702926287,9.739962995091852e-14,-0.6361187100410461
R1233ZD(E)_V7A_Ensemble,90,0.033056244254112244,0.03679067448595932,-0.5478698015213013,0.008255873806774616,0.521027287319422,1.4034154093962074e-07,0.4787522256374359
R1233ZD(E)_V7B_Ensemble,90,0.018543047830462456,0.02234794348932378,0.42887115478515625,0.012576579116284847,0.29415154134255256,0.004891373290664084,0.20788024365901947
R1234YF_V6_Ensemble,685,0.03185027092695236,0.05682561934760233,0.7245359420776367,0.03043215163052082,0.3176709463215614,1.5852649378084312e-17,0.29568320512771606
R1234YF_V7A_Ensemble,685,0.05318908020853996,0.08125827109896314,0.4367362856864929,0.03704836592078209,0.43150648108428374,1.945529443381868e-32,0.34441107511520386
R1234YF_V7B_Ensemble,685,0.06756515800952911,0.0951607868603839,0.22751039266586304,0.03434321656823158,0.7404504109969546,5.7115861030787544e-120,0.585509717464447
R1234ZE(E)_V6_Ensemble,308,0.03907885402441025,0.05370240577213915,0.5432674884796143,0.047995541244745255,0.5150502070586824,2.88399877874727e-22,0.6401903033256531
R1234ZE(E)_V7A_Ensemble,308,0.05562729015946388,0.06636059116994308,0.3025791049003601,0.012986766174435616,0.456177199354202,3.098426463813177e-17,0.5014262199401855
R1234ZE(E)_V7B_Ensemble,308,0.043586645275354385,0.05279088524627985,0.5586405992507935,0.020292164757847786,0.5268165944298894,2.1496819142784805e-23,0.5264379978179932
R1336MZZ(E)_V6_Ensemble,11,0.11964542418718338,0.12638619086930966,-9.066615104675293,0.07739982008934021,0.09090909090909091,0.7903727377532903,0.1719016283750534
R1336MZZ(E)_V7A_Ensemble,11,0.25860312581062317,0.26815401184851523,-44.316131591796875,0.023207353428006172,-0.4272727272727273,0.18994372496542714,-0.12087240815162659
R1336MZZ(E)_V7B_Ensemble,11,0.22851671278476715,0.23517770796044313,-33.855918884277344,0.0191876869648695,0.6090909090909091,0.046695709354098905,0.6709461808204651
R1336MZZ(Z)_V6_Ensemble,12,0.2853759229183197,0.32069417264944367,-3.3084912300109863,0.027695506811141968,0.8671328671328673,0.000259811849861481,0.6529358625411987
R1336MZZ(Z)_V7A_Ensemble,12,0.2697214186191559,0.30446303486816795,-2.8834009170532227,0.01444031298160553,0.20979020979020982,0.512840943181826,0.1424037218093872
R1336MZZ(Z)_V7B_Ensemble,12,0.27821341156959534,0.3115540970689792,-3.066399097442627,0.00829932652413845,-0.1328671328671329,0.6805975082860817,-0.09045545756816864
