sample_id,n_common_groups,spearman_v7a,spearman_v7b,delta_spearman_b_minus_a,pearson_v7a,pearson_v7b,delta_pearson_b_minus_a
[bmim]__[Ac]__R1234yf__313.15__0.561,7,0.5214285714285716,0.7071428571428573,0.18571428571428572,0.7593002422410301,0.683384921707535,-0.07591532053349515
[bmim]__[BF4]__R32__283.1__0.01,4,0.56,0.56,0.0,0.7729747153352571,0.4745446000658339,-0.2984301152694232
[bmim]__[BF4]__R32__283.1__0.0998,4,0.56,0.68,0.12,0.6606496273402603,0.6635405777970154,0.002890950456755026
[bmim]__[BF4]__R32__283.2__0.2499,4,0.8400000000000001,0.64,-0.20000000000000007,0.8578080151532923,0.7054769639457757,-0.15233105120751655
[bmim]__[BF4]__R32__283.2__0.3995,4,0.32,0.64,0.32,0.3464153837977972,0.7680163760446255,0.4216009922468283
[bmim]__[PF6]__R1234yf__313.15__0.23,6,0.8971428571428574,0.6685714285714287,-0.22857142857142865,0.8902309162914713,0.7462801291165017,-0.14395078717496967
[bmim]__[PF6]__R32__283.2__0.0098,4,0.56,0.4399999999999999,-0.12000000000000016,0.707086532352745,0.4483136717962247,-0.25877286055652027
[bmim]__[PF6]__R32__283.2__0.0996,4,0.48,0.64,0.16000000000000003,0.6311902693101892,0.5961421254632678,-0.03504814384692134
[bmim]__[PF6]__R32__283.2__0.2497,4,0.6599999999999999,0.5800000000000001,-0.07999999999999985,0.6800206009734564,0.5732471267523412,-0.10677347422111516
[bmim]__[PF6]__R32__283.2__0.3996,4,0.32,0.64,0.32,0.5491772458235115,0.6493624095493836,0.10018516372587216
[emim]__[Ac]__R1234yf__313.15__0.311,7,0.7392857142857143,0.5071428571428572,-0.2321428571428571,0.7758666128523111,0.5974236945594404,-0.17844291829287062
[emim]__[BEI]__R134__283.123__0.05,8,0.611904761904762,0.7976190476190478,0.18571428571428583,0.7331433458699113,0.9368534430015724,0.2037100971316611
[emim]__[BEI]__R134__283.132__0.1,8,0.6428571428571429,0.8261904761904763,0.18333333333333335,0.7773101918224088,0.9277847933094622,0.15047460148705338
[emim]__[BEI]__R134__283.149__0.01,8,0.6166666666666667,0.8357142857142857,0.21904761904761905,0.725070603636146,0.9412334166967872,0.21616281306064122
[emim]__[BEI]__R134__283.149__0.15,8,0.7333333333333334,0.8428571428571431,0.10952380952380969,0.819240934518519,0.9220051649066356,0.10276423038811666
[emim]__[BEI]__R134a__283.15__0.0504,9,0.8383333333333333,0.7983333333333335,-0.039999999999999813,0.7460250245261242,0.8281840140866337,0.08215898956050949
[emim]__[BEI]__R134a__283.15__0.1502,9,0.8300000000000001,0.8850000000000001,0.05500000000000005,0.7459981206515491,0.8770653721275631,0.13106725147601395
[emim]__[BEI]__R134a__283.1__0.0103,9,0.7933333333333332,0.7583333333333333,-0.03499999999999992,0.7241996170771114,0.7130813149481428,-0.011118302128968693
[emim]__[BEI]__R134a__283.1__0.1003,9,0.8333333333333333,0.7916666666666667,-0.04166666666666652,0.7500451192509486,0.861621427198026,0.1115763079470774
[emim]__[BF4]__R1234yf__313.15__0.3919,6,0.9314285714285716,0.6685714285714286,-0.262857142857143,0.9235683646158832,0.82094787323202,-0.1026204913838632
[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,7,0.7678571428571429,0.7,-0.06785714285714295,0.7471426933360246,0.6138747450654193,-0.13326794827060529
[emim]__[Tf2N]__R1336mzz(E)__293.1__0.223,7,0.7857142857142858,0.7571428571428573,-0.02857142857142847,0.7542859792365433,0.6131652943912655,-0.14112068484527773
[emim]__[Tf2N]__R1336mzz(E)__303__0.228,7,0.7642857142857143,0.7571428571428573,-0.0071428571428570065,0.7250909400172273,0.6228020516135091,-0.10228888840371819
[emim]__[Tf2N]__R1336mzz(E)__303__0.293,7,0.7678571428571429,0.7571428571428573,-0.010714285714285565,0.7203124251961934,0.6273394166393198,-0.09297300855687363
[emim]__[Tf2N]__R1336mzz(E)__322.5__0.336,7,0.7714285714285716,0.7571428571428573,-0.014285714285714235,0.6933240457420139,0.6519411911332151,-0.04138285460879876
[emim]__[Tf2N]__R1336mzz(E)__322.5__0.488,7,0.7785714285714287,0.7714285714285716,-0.0071428571428571175,0.6853224621966377,0.656765977535499,-0.028556484661138692
[emim]__[Tf2N]__R1336mzz(E)__332.9__0.381,7,0.692857142857143,0.7714285714285716,0.07857142857142863,0.655757362527076,0.6512039915235796,-0.004553371003496398
[emim]__[Tf2N]__R1336mzz(E)__332.9__0.623,7,0.7142857142857145,0.7714285714285716,0.05714285714285705,0.6638846698081982,0.6915824387474785,0.02769776893928033
