model_family,seed,case_id,sample_id,component,edge_idx,src_atom_idx,dst_atom_idx,edge_signed,edge_abs
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,0,0,1,-2.1240049363768776e-07,2.587774474704929e-07
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,1,1,0,-1.5947460269671865e-05,1.6351670637959614e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,2,0,2,-2.169108938687714e-06,2.2117881144367857e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,3,2,0,1.474250530009158e-05,1.5231160432449542e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,4,2,3,-3.593460746742494e-07,3.654202146208263e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,5,3,2,-2.102008522797405e-08,4.1177631260325143e-07
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,6,3,4,-3.258213610024541e-08,1.7197432953253156e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,7,4,3,6.739796845067758e-07,3.230641141271917e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,8,4,5,4.887950808551977e-07,7.084468620632833e-07
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,9,5,4,-8.213279443225474e-07,1.7012000625982182e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,10,5,6,2.2329203375193174e-07,4.735240963782417e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,11,6,5,-5.492235573001381e-07,7.005044153629569e-07
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,12,4,7,-4.4598951376428886e-07,5.259061595097592e-07
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,13,7,4,-5.989461442368338e-06,6.229658993106568e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,14,6,2,7.302553939325662e-08,5.027201268603676e-07
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,15,2,6,-2.576789484010078e-07,4.197184352960903e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Anion,0,0,1,0.00041050685103982687,0.00042057628161273897
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Anion,1,1,0,1.3187008107706788e-06,4.067994268552866e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Anion,2,1,2,4.19292473452515e-06,1.5684849131503142e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Anion,3,2,1,-0.00019011652329936624,0.0006805099546909332
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Anion,4,1,3,9.365197001898196e-06,3.286349601694383e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Anion,5,3,1,0.0006415643729269505,0.000703144003637135
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,0,0,1,1.260260341950925e-05,4.2355433834018186e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,1,1,0,-0.00012868802878074348,0.00015831566997803748
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,2,1,2,-6.1139844547142275e-06,1.0851469596673269e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,3,2,1,-1.9035476725548506e-05,3.0774583137826994e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,4,1,3,-6.1139844547142275e-06,1.0851469596673269e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,5,3,1,-1.9035476725548506e-05,3.0774583137826994e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,6,0,4,-0.0004521992814261466,0.0004548535216599703
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,7,4,0,0.00024334632325917482,0.000279573374427855
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,8,4,5,-6.538619800267043e-06,6.997508990025381e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,9,5,4,0.00013314979150891304,0.00013586212298832834
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,10,4,6,-6.538619800267043e-06,6.997508990025381e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,11,6,4,0.00013314979150891304,0.00013586212298832834
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,12,4,7,-6.538619800267043e-06,6.997508990025381e-06
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,13,7,4,0.00013314979150891304,0.00013586212298832834
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,14,0,8,-7.3123665060848e-06,1.2687660273513757e-05
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,15,8,0,-9.920217416947708e-05,0.00015978494775481522
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,0,0,1,-1.6201959169848124e-06,1.7755698991095414e-06
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,1,1,0,-0.00012668910494539887,0.0001274423411814496
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,2,0,2,1.2247920494701248e-05,6.523908814415336e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,3,2,0,0.00012255214096512645,0.00012328181765042245
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,4,2,3,1.785650965757668e-05,0.0001768294896464795
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,5,3,2,-9.605564628145657e-06,1.9491806597216055e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,6,3,4,-2.9694625482079573e-05,5.797168705612421e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,7,4,3,-2.435519127175212e-05,0.0001774638658389449
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,8,4,5,1.580396929057315e-05,3.308508894406259e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,9,5,4,1.3416049569059396e-06,1.547246938571334e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,10,5,6,-3.379857662366703e-05,3.915275738108903e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,11,6,5,-1.7558766558067873e-05,3.418395863263868e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,12,4,7,2.0680149646068458e-06,3.4224294722662307e-06
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,13,7,4,-4.930949580739252e-05,7.194746285676956e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,14,6,2,-1.5655326933483593e-05,3.024394391104579e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,15,2,6,3.4897551813628525e-05,4.075130709679797e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,0,0,1,-2.4225453671533614e-05,2.490995393600315e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,1,1,0,-2.7289468562230468e-05,2.7530317311175168e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,2,1,2,-2.7289468562230468e-05,2.7530317311175168e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,3,2,1,-2.4225453671533614e-05,2.490995393600315e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,4,1,3,-2.7289468562230468e-05,2.7530317311175168e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,5,3,1,-2.4225453671533614e-05,2.490995393600315e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,6,1,4,-2.7289468562230468e-05,2.7530317311175168e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,7,4,1,-2.4225453671533614e-05,2.490995393600315e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,0,0,1,1.613204767636489e-05,6.332159682642668e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,1,1,0,-0.00018226035172119737,0.0002246320655103773
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,2,1,2,-9.535559001960792e-06,1.6791103917057626e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,3,2,1,-2.667891385499388e-05,4.572766556520946e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,4,1,3,-9.535559001960792e-06,1.6791103917057626e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,5,3,1,-2.667891385499388e-05,4.572766556520946e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,6,0,4,-0.0006322355475276709,0.0006355246878229082
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,7,4,0,0.00034288945607841015,0.0003966042131651193
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,8,4,5,-1.0287845725542866e-05,1.1009331501554698e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,9,5,4,0.00018388076568953693,0.0001874522858997807
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,10,4,6,-1.0287845725542866e-05,1.1009331501554698e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,11,6,4,0.00018388076568953693,0.0001874522858997807
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,12,4,7,-1.0287845725542866e-05,1.1009331501554698e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,13,7,4,0.00018388076568953693,0.0001874522858997807
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,14,0,8,-1.1285622349532787e-05,1.9562143279472366e-05
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,15,8,0,-0.00014362920774146914,0.000238310283748433
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,0,0,1,-2.089250756398542e-06,4.960375918017235e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,1,1,0,-5.770310053776484e-06,8.40549182612449e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,2,1,2,-3.3734029329934856e-06,3.7275144677550998e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,3,2,1,2.232626002296456e-06,5.019421678298386e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,4,2,3,-2.237189633547132e-08,3.2582141784587293e-07
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,5,3,2,3.151338432871853e-06,3.593353312680847e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,6,0,4,-2.9794423426210415e-06,7.756802915537264e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,7,4,0,5.651037099596579e-06,8.378413440368604e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,8,4,5,-2.695290277188178e-06,2.441759170324076e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,9,5,4,1.1032993825210724e-06,2.132508143404266e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,10,5,6,3.2792595447972417e-06,7.686901881243102e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,11,6,5,3.7579125091724563e-06,2.3852848244132474e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,12,6,7,-8.827788633425371e-07,3.6125102269579656e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,13,7,6,-1.7378004031343153e-06,3.7419929412862984e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,14,7,8,4.055640602018684e-06,8.489072570228018e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,15,8,7,9.595388519301196e-07,3.597958311729599e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,16,6,9,-8.999875831250392e-07,1.1078764146077447e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,17,9,6,-4.350919880380388e-06,7.397825356747489e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,18,8,4,1.8159125829697587e-06,3.501337687339401e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,19,4,8,-4.270287718100008e-06,7.793688382662367e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Anion,0,0,1,0.0006866079056635499,0.0007042903453111649
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Anion,1,1,0,1.7117356492235558e-06,6.482710887212306e-06
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Anion,2,1,2,7.2967627602338325e-06,2.70190885203192e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Anion,3,2,1,-0.0003192814765498042,0.0011275280267000198
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Anion,4,1,3,1.4862584976071957e-05,5.6557375501142815e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Anion,5,3,1,0.001054592663422227,0.001154511352069676
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,0,0,1,1.7534308426547796e-05,7.321070006582886e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,1,1,0,-0.00020552313071675599,0.0002533448860049248
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,2,1,2,-1.0688881047826726e-05,1.8999329768121243e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,3,2,1,-2.9279734008014202e-05,5.2152765420032665e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,4,1,3,-1.0688881047826726e-05,1.8999329768121243e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,5,3,1,-2.9279734008014202e-05,5.2152765420032665e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,6,0,4,-0.0007119327783584595,0.0007158605149015784
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,7,4,0,0.0003874743706546724,0.00044688174966722727
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,8,4,5,-1.162808075605426e-05,1.2482436432037503e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,9,5,4,0.00020782976935151964,0.00021186232334002852
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,10,4,6,-1.162808075605426e-05,1.2482436432037503e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,11,6,4,0.00020782976935151964,0.00021186232334002852
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,12,4,7,-1.162808075605426e-05,1.2482436432037503e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,13,7,4,0.00020782976935151964,0.00021186232334002852
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,14,0,8,-1.2588327990670223e-05,2.194592889281921e-05
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri,15,8,0,-0.0001606970909051597,0.00026739598251879215
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,0,0,1,1.1492942576296628e-05,2.680351462913677e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,1,1,0,-6.423849845305085e-05,6.451552326325327e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,2,1,2,4.111797898076475e-05,4.223320138407871e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,3,2,1,-1.224481275130529e-05,2.7102667445433326e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,4,2,3,-1.5607419072694029e-06,2.4666803710715612e-06
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,5,3,2,-4.254140367265791e-05,4.35995461884886e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,6,0,4,6.544402822328266e-06,3.458655555732548e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,7,4,0,6.30733702564612e-05,6.333859346341342e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,8,4,5,1.0005250260292087e-05,0.00010122732783202082
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,9,5,4,-5.000578312319703e-06,1.0153147741220891e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,10,5,6,-1.716945189400576e-05,3.336411464260891e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,11,6,5,-1.3772109923593234e-05,0.00010173551709158346
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,12,6,7,9.337612937088124e-06,1.922641968121752e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,13,7,6,3.5809330256597605e-07,8.93344622454606e-06
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,14,7,8,-1.9268696632934734e-05,2.2736217943020165e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,15,8,7,-1.0392523108748719e-05,1.991411772905849e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,16,6,9,1.0978367299685488e-06,1.885087726805068e-06
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,17,9,6,-3.0468225304502994e-05,4.290612559998408e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,18,8,4,-8.507766324328259e-06,1.6352332750102505e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Cation,19,4,8,1.9873821656801738e-05,2.37626773014199e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,0,0,1,-1.6921198039199226e-05,1.7819771528593265e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,1,1,0,-9.558982128510252e-06,1.0283249139320105e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,2,1,2,-9.558982128510252e-06,1.0283249139320105e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,3,2,1,-1.6921198039199226e-05,1.7819771528593265e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,4,1,3,-9.558982128510252e-06,1.0283249139320105e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,5,3,1,-1.6921198039199226e-05,1.7819771528593265e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,6,1,4,-9.558982128510252e-06,1.0283249139320105e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,7,4,1,-1.6921198039199226e-05,1.7819771528593265e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,8,1,5,-9.558982128510252e-06,1.0283249139320105e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,9,5,1,-1.6921198039199226e-05,1.7819771528593265e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,10,1,6,-9.558982128510252e-06,1.0283249139320105e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Anion,11,6,1,-1.6921198039199226e-05,1.7819771528593265e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,0,0,1,9.888948625302874e-06,4.5147869968786836e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,1,1,0,-0.00012386019807308912,0.00015291437739506364
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,2,1,2,-6.964105523366015e-06,1.2156498087279033e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,3,2,1,-1.7633556126384065e-05,3.226659100619145e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,4,1,3,-6.964105523366015e-06,1.2156498087279033e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,5,3,1,-1.7633556126384065e-05,3.226659100619145e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,6,0,4,-0.00042569346260279417,0.000427819206379354
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,7,4,0,0.00023275664716493338,0.00026983756106346846
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,8,4,5,-7.599700438731816e-06,8.134891686495394e-06
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,9,5,4,0.0001232059148605913,0.00012554085697047412
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,10,4,6,-7.599700438731816e-06,8.134891686495394e-06
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,11,6,4,0.0001232059148605913,0.00012554085697047412
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,12,4,7,-7.599700438731816e-06,8.134891686495394e-06
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,13,7,4,0.0001232059148605913,0.00012554085697047412
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,14,0,8,-8.152299415087327e-06,1.402620728185866e-05
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri,15,8,0,-9.834597585722804e-05,0.0001668078766670078
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,0,0,1,8.933574235925335e-07,9.668531220086152e-07
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,1,1,0,6.727065920131281e-05,6.771084008505568e-05
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,2,0,2,-5.160024556971621e-06,3.699544686242007e-05
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,3,2,0,-6.487302016466856e-05,6.530545942950994e-05
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,4,2,3,-1.1234457815589849e-05,0.00010282046423526481
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,5,3,2,5.7098636716546025e-06,1.1205829650862142e-05
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,6,3,4,1.764673288562335e-05,3.4823773603420705e-05
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,7,4,3,1.4604134776163846e-05,0.00010322263551643118
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,8,4,5,-9.149472134595271e-06,1.930669714056421e-05
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,9,5,4,-1.7642671537032584e-06,1.0082519111165311e-05
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,10,5,6,2.0197163394186646e-05,2.2919944967725314e-05
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,11,6,5,1.0091775948239956e-05,1.9848796000587754e-05
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Cation,12,4,7,-1.101229827327188e-06,1.8557111616246402e-06
