model_family,seed,case_id,sample_id,top_group_name,top_group_component,top_k_atoms,delta_y_top,delta_y_rand_comp_mean,delta_y_rand_glob_mean,r_faith_comp,r_faith_glob,y_orig,y_base,comp_abs_err,comp_rel_err
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri:Halogenated_Alkene,Refri,2,0.03103916347026825,0.034736510117848715,0.04912059580286344,0.8935602156049449,0.6318971291561339,0.13597768545150757,0.07391615957021713,0.0017645955085754395,0.028433002307270187
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri:Halogenated_Alkene,Refri,2,0.050014711916446686,0.05739964172244072,0.03258394139508406,0.8713418832524376,1.5349497260019134,0.0924919992685318,0.10932587832212448,0.0022545121610164642,0.1339270737207362
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Refri:Halogenated_Alkene,Refri,2,0.045707106590270996,0.05010293523470561,0.060092356304327646,0.9122640495243942,0.7606143177144699,0.3015249967575073,0.18604153394699097,0.0038791969418525696,0.03359093022883719
V7-A,42,Case1_R1234yf,[bmim]__[PF6]__R1234yf__313.15__0.23,Refri:Halogenated_Alkene,Refri,2,0.037526071071624756,0.04342621564865112,0.01643887385725975,0.8641340377259046,2.2827640991388507,0.056696705520153046,0.07991543412208557,0.0013934839516878128,0.06001551487069069
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,Refri:CHF2,Refri,6,0.0007651746273040771,0.0007651736338933309,0.027924672762552897,1.0000012982814648,0.027401382061321037,0.2713657021522522,0.2558073401451111,0.0020644040778279305,0.13268775189061627
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.0103,Refri:CH2F,Refri,2,0.002983376383781433,0.01326648195584615,0.018076433489720028,0.2248807478659967,0.16504231243835038,0.11857226490974426,0.04718245938420296,0.0011655651032924652,0.016326772355129308
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,Refri:CHF2,Refri,6,0.016459226608276367,0.0164592444896698,0.03411561846733093,0.9999989135957338,0.48245429359686676,0.360630601644516,0.34334176778793335,0.002473672851920128,0.1430792193643696
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.0504,Refri:CH2F,Refri,2,0.0035955607891082764,0.015861602624257405,0.02251906245946884,0.22668332288248902,0.15966742823240454,0.17790526151657104,0.08511756360530853,0.0016775503754615784,0.018079448172816003
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,Refri:CHF2,Refri,6,0.031611621379852295,0.03161161740620931,0.039580357074737546,1.0000001257019826,0.7986694339356691,0.47171342372894287,0.4542750120162964,0.002770473249256611,0.15887187978521233
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.1__0.1003,Refri:CH2F,Refri,2,0.004462391138076782,0.019255045056343078,0.02820502718289693,0.2317517889477367,0.15821261611060256,0.27014443278312683,0.1452575922012329,0.0024527832865715027,0.01964004594193495
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,Refri:CHF2,Refri,6,0.04523879289627075,0.04523878892262777,0.045222763220469156,1.000000087837077,1.0003544603350187,0.5806627869606018,0.5623042583465576,0.00327348243445158,0.1783085400399344
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134a__283.15__0.1502,Refri:CH2F,Refri,2,0.004702717065811157,0.019456927975018818,0.03233251670996348,0.24169884741563932,0.14544853121074808,0.3726397752761841,0.21880291402339935,0.0027107447385787964,0.017620905136152647
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,Refri:CH2F,Refri,3,0.015711359679698944,0.01571135881046454,0.004701906815171242,1.0000000553252213,3.3414868259414328,0.030049361288547516,0.0227339044213295,0.00035317521542310715,0.048277943788549126
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,Refri:CH2F,Refri,3,0.01915857568383217,0.019158572951952616,0.0033117259542147317,1.0000001425930605,5.785072783407588,0.03595615550875664,0.03064984455704689,0.00010358588770031929,0.01952126225602042
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,Refri:CH2F,Refri,3,0.027876362204551697,0.027876360217730205,0.009326652064919472,1.0000000712726294,2.9888926927384403,0.08713356405496597,0.07114027440547943,0.0006175413727760315,0.038612529774064173
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,Refri:CH2F,Refri,3,0.037731513381004333,0.0377315084139506,0.009127775331338246,1.0000001316420664,4.133703121664413,0.10045947879552841,0.08656294643878937,0.0009377831593155861,0.06748324943530344
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,Refri:CH2F,Refri,3,0.03736835718154907,0.03736835718154907,0.020837723712126412,1.0,1.793303227252348,0.22567886114120483,0.18516287207603455,0.003042161464691162,0.07508545477682456
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,Refri:CH2F,Refri,3,0.04936954379081726,0.04936954379081726,0.02269570380449295,1.0,2.175281463668196,0.26003631949424744,0.22528298199176788,0.0028742291033267975,0.08270368574303776
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,Refri:CH2F,Refri,3,0.048436909914016724,0.048436909914016724,0.02433563619852066,1.0,1.9903695764880458,0.33673542737960815,0.29347920417785645,0.0034041181206703186,0.07869660984485731
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,Refri:CH2F,Refri,3,0.06003585457801819,0.060035863518714906,0.028474520643552145,0.9999998510774029,2.108406154735844,0.379179984331131,0.33860665559768677,0.0034590549767017365,0.08525440442480801
