model_family,seed,case_id,sample_id,component,group_name,full_group_id,n_atoms,A_g_signed,A_g_abs,A_tilde_g,P_g_atom,P_g_graph
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.00694138091057539,0.012429011054337025,0.0024858022108674048,0.024190905591360126,0.024025435085925993
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.004453890025615692,0.00604732520878315,0.0020157750695943832,0.011770065419233679,0.011689555879540837
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Anion,Carboxylate_COO,Anion:Carboxylate_COO,3,0.1593635380268097,0.19961218535900116,0.06653739511966705,0.3885103577263049,0.3858528712168983
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Anion,Alkyl_Chain,Anion:Alkyl_Chain,1,0.019330982118844986,0.027977697551250458,0.027977697551250458,0.05445371616189529,0.05408124213846337
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,CF3,Refri:CF3,4,-0.06311249732971191,0.09552065283060074,0.023880163207650185,0.1859143164768394,0.18464262634524503
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,2,-0.0317724384367466,0.11963695287704468,0.05981847643852234,0.2328524948311717,0.23125973841840336
V7-A,42,Case1_R1234yf,[emim]__[Ac]__R1234yf__313.15__0.311,Refri,Unclassified,Refri:Unclassified,3,-0.03567223250865936,0.052564725279808044,0.017521575093269348,0.10230808397550703,0.10160827675657137
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.042627424001693726,0.09405924379825592,0.018811848759651185,0.12023597853378831,0.11969648830940695
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Cation,Alkyl_Chain,Cation:Alkyl_Chain,3,0.017113668844103813,0.02458643913269043,0.00819547971089681,0.03142885747753879,0.03128783844497157
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Anion,BF4_Core,Anion:BF4_Core,5,0.1080068051815033,0.28230589628219604,0.05646117925643921,0.3608717688412607,0.3592525630601029
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,CF3,Refri:CF3,4,-0.09057052433490753,0.1364862322807312,0.0341215580701828,0.17447041919518316,0.17368758291982428
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,Halogenated_Alkene,Refri:Halogenated_Alkene,2,-0.04488823935389519,0.16947084665298462,0.08473542332649231,0.21663466829454797,0.2156626440532834
V7-A,42,Case1_R1234yf,[emim]__[BF4]__R1234yf__313.15__0.3919,Refri,Unclassified,Refri:Unclassified,3,-0.050907909870147705,0.07538005709648132,0.025126685698827107,0.09635836480216656,0.09592601172048448
V7-A,42,Case1_R1234yf,[bmim]__[Ac]__R1234yf__313.15__0.561,Cation,Imidazolium_Ring,Cation:Imidazolium_Ring,5,0.006317020393908024,0.010862085968255997,0.0021724171936511995,0.01231067834813479,0.012230146705484122
