model_family,sample_id,n_groups,mean_spearman_rank_r,mean_pearson_r
V7-A,[emim]__[Ac]__R1234yf__313.15__0.311,7,0.7392857142857143,0.7758666128523111
V7-A,[emim]__[BF4]__R1234yf__313.15__0.3919,6,0.9314285714285715,0.9235683646158831
V7-A,[bmim]__[Ac]__R1234yf__313.15__0.561,7,0.5214285714285716,0.7593002422410301
V7-A,[bmim]__[PF6]__R1234yf__313.15__0.23,6,0.8971428571428574,0.8902309162914713
V7-A,[emim]__[BEI]__R134__283.149__0.01,8,0.6166666666666667,0.725070603636146
V7-A,[emim]__[BEI]__R134a__283.1__0.0103,9,0.7933333333333332,0.7241996170771114
V7-A,[emim]__[BEI]__R134__283.123__0.05,8,0.611904761904762,0.7331433458699113
V7-A,[emim]__[BEI]__R134a__283.15__0.0504,9,0.8383333333333333,0.7460250245261242
V7-A,[emim]__[BEI]__R134__283.132__0.1,8,0.6428571428571429,0.7773101918224088
V7-A,[emim]__[BEI]__R134a__283.1__0.1003,9,0.8333333333333333,0.7500451192509486
V7-A,[emim]__[BEI]__R134__283.149__0.15,8,0.7333333333333334,0.819240934518519
V7-A,[emim]__[BEI]__R134a__283.15__0.1502,9,0.8300000000000001,0.7459981206515491
V7-A,[bmim]__[BF4]__R32__283.1__0.01,4,0.56,0.7729747153352571
V7-A,[bmim]__[PF6]__R32__283.2__0.0098,4,0.56,0.707086532352745
V7-A,[bmim]__[BF4]__R32__283.1__0.0998,4,0.56,0.6606496273402603
V7-A,[bmim]__[PF6]__R32__283.2__0.0996,4,0.48,0.6311902693101892
V7-A,[bmim]__[BF4]__R32__283.2__0.2499,4,0.8400000000000001,0.8578080151532923
V7-A,[bmim]__[PF6]__R32__283.2__0.2497,4,0.6599999999999999,0.6800206009734564
V7-A,[bmim]__[BF4]__R32__283.2__0.3995,4,0.32,0.34641538379779724
V7-A,[bmim]__[PF6]__R32__283.2__0.3996,4,0.32,0.5491772458235115
V7-A,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,7,0.7678571428571429,0.7471426933360246
V7-A,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.223,7,0.7857142857142858,0.7542859792365433
V7-A,[emim]__[Tf2N]__R1336mzz(E)__303__0.228,7,0.7642857142857143,0.7250909400172273
V7-A,[emim]__[Tf2N]__R1336mzz(E)__303__0.293,7,0.7678571428571429,0.7203124251961934
V7-A,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.336,7,0.7714285714285716,0.6933240457420139
V7-A,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.488,7,0.7785714285714287,0.6853224621966377
V7-A,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.381,7,0.692857142857143,0.655757362527076
V7-A,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.623,7,0.7142857142857145,0.6638846698081982
V7-A,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.453,7,0.7142857142857144,0.6506108995500508
V7-A,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.8,7,0.7142857142857145,0.6449132759114469
V7-A,[emim]__[Tf2N]__R1336mzz(E)__352.8__0.511,7,0.7214285714285716,0.6297884903495214
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.05,7,0.7571428571428572,0.6978140703358453
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.06,7,0.7571428571428572,0.7050538616982099
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__303__0.07,7,0.7035714285714286,0.6316864032422126
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__303__0.09,7,0.7571428571428572,0.6627653394875882
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.13,7,0.6357142857142859,0.5708516190529156
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.17,7,0.6535714285714287,0.6094202569383128
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.18,7,0.7000000000000002,0.5890092192064076
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.24,7,0.6785714285714286,0.6116267658312169
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.24,7,0.6785714285714286,0.6017272894107075
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.31,7,0.6535714285714287,0.6361100403034149
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.31,7,0.6285714285714287,0.6163007925812841
V7-A,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.41,7,0.6857142857142858,0.6288626091307674
V7-B,[emim]__[Ac]__R1234yf__313.15__0.311,7,0.5071428571428572,0.5974236945594404
V7-B,[emim]__[BF4]__R1234yf__313.15__0.3919,6,0.6685714285714286,0.82094787323202
V7-B,[bmim]__[Ac]__R1234yf__313.15__0.561,7,0.7071428571428573,0.683384921707535
V7-B,[bmim]__[PF6]__R1234yf__313.15__0.23,6,0.6685714285714287,0.7462801291165017
V7-B,[emim]__[BEI]__R134__283.149__0.01,8,0.8357142857142857,0.9412334166967872
V7-B,[emim]__[BEI]__R134a__283.1__0.0103,9,0.7583333333333333,0.7130813149481428
V7-B,[emim]__[BEI]__R134__283.123__0.05,8,0.7976190476190478,0.9368534430015725
V7-B,[emim]__[BEI]__R134a__283.15__0.0504,9,0.7983333333333335,0.8281840140866337
V7-B,[emim]__[BEI]__R134__283.132__0.1,8,0.8261904761904763,0.9277847933094622
V7-B,[emim]__[BEI]__R134a__283.1__0.1003,9,0.7916666666666667,0.861621427198026
V7-B,[emim]__[BEI]__R134__283.149__0.15,8,0.8428571428571431,0.9220051649066356
V7-B,[emim]__[BEI]__R134a__283.15__0.1502,9,0.8850000000000001,0.8770653721275631
V7-B,[bmim]__[BF4]__R32__283.1__0.01,4,0.56,0.4745446000658339
V7-B,[bmim]__[PF6]__R32__283.2__0.0098,4,0.43999999999999995,0.4483136717962247
V7-B,[bmim]__[BF4]__R32__283.1__0.0998,4,0.68,0.6635405777970154
V7-B,[bmim]__[PF6]__R32__283.2__0.0996,4,0.64,0.5961421254632678
V7-B,[bmim]__[BF4]__R32__283.2__0.2499,4,0.64,0.7054769639457757
V7-B,[bmim]__[PF6]__R32__283.2__0.2497,4,0.5800000000000001,0.5732471267523412
V7-B,[bmim]__[BF4]__R32__283.2__0.3995,4,0.64,0.7680163760446255
V7-B,[bmim]__[PF6]__R32__283.2__0.3996,4,0.64,0.6493624095493836
V7-B,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.194,7,0.7,0.6138747450654193
V7-B,[emim]__[Tf2N]__R1336mzz(E)__293.1__0.223,7,0.7571428571428573,0.6131652943912655
V7-B,[emim]__[Tf2N]__R1336mzz(E)__303__0.228,7,0.7571428571428573,0.6228020516135091
V7-B,[emim]__[Tf2N]__R1336mzz(E)__303__0.293,7,0.7571428571428573,0.6273394166393198
V7-B,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.336,7,0.7571428571428573,0.6519411911332151
V7-B,[emim]__[Tf2N]__R1336mzz(E)__322.5__0.488,7,0.7714285714285716,0.656765977535499
V7-B,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.381,7,0.7714285714285716,0.6512039915235796
V7-B,[emim]__[Tf2N]__R1336mzz(E)__332.9__0.623,7,0.7714285714285716,0.6915824387474785
V7-B,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.453,7,0.7714285714285716,0.6696447278257847
V7-B,[emim]__[Tf2N]__R1336mzz(E)__342.9__0.8,7,0.7892857142857145,0.7322315963310148
V7-B,[emim]__[Tf2N]__R1336mzz(E)__352.8__0.511,7,0.7750000000000002,0.6843479211387429
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.05,7,0.6,0.6129083618706282
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__293.1__0.06,7,0.6,0.6163177207737978
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__303__0.07,7,0.6285714285714287,0.6052028518985021
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__303__0.09,7,0.6321428571428573,0.6189347276837079
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.13,7,0.6892857142857144,0.6145269930103147
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__322.5__0.17,7,0.7142857142857144,0.6452220754127602
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.18,7,0.7071428571428574,0.6417441367706969
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__332.9__0.24,7,0.7714285714285716,0.6569521700476484
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.24,7,0.7714285714285716,0.6440938028267105
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__342.9__0.31,7,0.7714285714285716,0.666800219928402
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.31,7,0.7714285714285716,0.6646367098474398
V7-B,[emim]__[Tf2N]__R1336mzz(Z)__352.8__0.41,7,0.7714285714285716,0.6767325415488805
