model_family,seed,case_id,sample_id,refrigerant,refri_smiles,n_heavy_atoms,top_group_name,top_k_atoms,n_distinct_refri_groups,distinct_refri_groups,delta_y_top,delta_y_random,abs_diff_deltas,r_faith,tie_mechanism
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.000765174627304,0.0007651736338933,9.934106999466216e-10,1.0000012982814648,Monogroup_Molecular_Isomorphism
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.123__0.05,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0164592266082763,0.0164592444896698,1.788139349784279e-08,0.9999989135957338,Monogroup_Molecular_Isomorphism
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.132__0.1,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0316116213798522,0.0316116174062093,3.973642900834129e-09,1.0000001257019826,Monogroup_Molecular_Isomorphism
V7-A,42,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.15,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0452387928962707,0.0452387889226277,3.9736430049175375e-09,1.000000087837077,Monogroup_Molecular_Isomorphism
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.01,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0157113596796989,0.0157113588104645,8.692343997362961e-10,1.0000000553252213,Monogroup_Molecular_Isomorphism
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0098,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0191585756838321,0.0191585729519526,2.731879500394996e-09,1.0000001425930605,Monogroup_Molecular_Isomorphism
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.1__0.0998,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0278763622045516,0.0278763602177302,1.98682139837536e-09,1.0000000712726294,Monogroup_Molecular_Isomorphism
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.0996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0377315133810043,0.0377315084139506,4.967053698901047e-09,1.0000001316420664,Monogroup_Molecular_Isomorphism
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.2499,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.037368357181549,0.037368357181549,0.0,1.0,Monogroup_Molecular_Isomorphism
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.2497,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0493695437908172,0.0493695437908172,0.0,1.0,Monogroup_Molecular_Isomorphism
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[BF4]__R32__283.2__0.3995,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0484369099140167,0.0484369099140167,0.0,1.0,Monogroup_Molecular_Isomorphism
V7-A,42,Case3_BF4_vs_PF6,[bmim]__[PF6]__R32__283.2__0.3996,R32,C(F)F,3,Refri:CH2F,3,1,CH2F,0.0600358545780181,0.0600358635187149,8.9406968009631e-09,0.9999998510774027,Monogroup_Molecular_Isomorphism
V7-A,43,Case2_R134_vs_R134a,[emim]__[BEI]__R134__283.149__0.01,R134,FC(F)C(F)F,6,Refri:CHF2,6,1,CHF2,0.0829498469829559,0.0829498502115408,3.228584899428455e-09,0.9999999610778691,Monogroup_Molecular_Isomorphism
