sample_id,npy_idx,excel_pos,cation,anion,refrigerant,T_K,P_MPa,x1,anion_smiles,cation_smiles,refri_smiles,sheet,ens_ae_v6,ens_ae_v7,delta_ae,abs_err_v7,pred_v7,pred_v6
[emim]__[Ac]__R32__303.15__0.5246,8,8,[emim],[Ac],R32,303.15,0.5246,0.2229,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.02532651104927061,0.007027688000000004,0.018298823049270607,0.007027688000000004,0.229927688,0.19757348895072938
[emim]__[Ac]__R134a__303.15__0.2,13,13,[emim],[Ac],R134a,303.15,0.2,0.1115,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(C(F)(F)F)F,Table S3. VLE HFCs,0.034601155459880836,0.003940032000000024,0.030661123459880812,0.003940032000000024,0.10755996799999998,0.07689884454011917
[emim]__[Ac]__R125__303.15__0.2054,23,23,[emim],[Ac],R125,303.15,0.2054,0.1062,CC(=O)[O-],C(C)[N+]1=CN(C=C1)C,C(F)(F)(C(F)(F)F),Table S3. VLE HFCs,0.041953045976161965,0.007462648200000005,0.03449039777616196,0.007462648200000005,0.11366264820000001,0.06424695402383804
[emim]__[BEI]__R32__298.15__0.5493,41,41,[emim],[BEI],R32,298.15,0.5493,0.445,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.00871955037117006,0.007377398000000035,0.0013421523711700245,0.007377398000000035,0.43762260199999997,0.45371955037117007
[emim]__[BEI]__R32__323.15__0.6995,50,50,[emim],[BEI],R32,323.15,0.6995,0.348,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.007768146276473986,0.01448359999999993,-0.006715453723525944,0.01448359999999993,0.33351640000000005,0.340231853723526
[emim]__[BEI]__R32__323.15__0.9993,52,52,[emim],[BEI],R32,323.15,0.9993,0.4539999999999999,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.003575215578079216,0.00073287199999994,0.002842343578079276,0.00073287199999994,0.45473287199999995,0.4504247844219208
[emim]__[BEI]__R32__348.05__0.9994,60,60,[emim],[BEI],R32,348.05,0.9994,0.321,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,C(F)F,Table S3. VLE HFCs,0.0008299865722656286,0.0022586019999999984,-0.0014286154277343699,0.0022586019999999984,0.323258602,0.32182998657226564
[emim]__[BEI]__R134__283.149__0.25,66,66,[emim],[BEI],R134,283.149,0.25,0.823,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.022490070343017532,0.010394633999999958,0.012095436343017574,0.010394633999999958,0.812605366,0.8005099296569824
[emim]__[BEI]__R134__298.229__0.3,74,74,[emim],[BEI],R134,298.229,0.3,0.677,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.010706351280212356,0.024075211999999957,-0.0133688607197876,0.024075211999999957,0.701075212,0.6877063512802124
[emim]__[BEI]__R134__323.132__0.3,82,82,[emim],[BEI],R134,323.13199999999995,0.3,0.407,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,C(C)[N+]1=CN(C=C1)C,FC(F)C(F)F,Table S3. VLE HFCs,0.020417756557464584,0.007206173999999954,0.01321158255746463,0.007206173999999954,0.399793826,0.3865822434425354
